"x" "a" "b" "w"
"91" 0.000569892120399595 296.10250517555 1.77862700745221 1.77862700745221
"92" 0.0116784967427608 241.05841563452 1.93063381826579 1.93063381826579
"93" 0.0227871013651217 20.5306058436363 2.05707231606578 2.05707231606578
"94" 0.0338957059874829 4.46442519989083 2.15406655536383 2.15406655536383
"95" 0.0450043106098439 2.46830449596589 2.21901612239188 2.21901612239188
"96" 0.0561129152322051 1.44402236345086 2.25117881413019 1.44402236345086
"97" 0.067221519854566 0.898810387645504 2.25161866738511 0.898810387645504
"98" 0.078330124476927 0.68528959620935 2.22300117234772 0.68528959620935
"99" 0.0894387290992882 0.921530349629927 2.1692682851823 0.921530349629927
"100" 0.100547333721649 0.20500422525628 2.09523543329746 0.20500422525628
"101" 0.11165593834401 0.405217504570346 2.00615729676433 0.405217504570346
"102" 0.122764542966371 0.165600761493298 1.90730857665507 0.165600761493298
"103" 0.133873147588732 0.470574826559027 1.80363398289863 0.470574826559027
"104" 0.144981752211093 0.259116417414084 1.70012890132126 0.259116417414084
"105" 0.156090356833455 0.325537879401969 1.60006925863422 0.325537879401969
"106" 0.167198961455816 0 1.5057721963828 0
"107" 0.178307566078177 0 1.41877875753087 0
"108" 0.189416170700538 0 1.33995454988748 0
"109" 0.200524775322899 1.30503083425454e-16 1.26961051884807 1.30503083425454e-16
"110" 0.21163337994526 8.43163079323972e-16 1.20762728439099 8.43163079323972e-16
"111" 0.222741984567621 0 1.15357052746817 0
"112" 0.233850589189982 6.06613678584733e-17 1.10678929566928 6.06613678584733e-17
"113" 0.244959193812343 0.0454891631562915 1.06649347915246 0.0454891631562915
"114" 0.256067798434704 0.338233525304805 1.03217745832206 0.338233525304805
"115" 0.267176403057065 0.234444269358839 1.00249367979621 0.234444269358839
"116" 0.278285007679426 1.8384920080446e-15 0.976362783115111 1.8384920080446e-15
"117" 0.289393612301787 4.389507509299e-16 0.952898542932104 4.389507509299e-16
"118" 0.300502216924148 0 0.931275388093742 0
"119" 0.311610821546509 0.0163202940446273 0.910761864011707 0.0163202940446273
"120" 0.322719426168871 0.174772768361169 0.89075507376128 0.174772768361169
"121" 0.333828030791232 0.454098329071578 0.87081216024138 0.454098329071578
"122" 0.344936635413593 0.241184570465941 0.85067413828022 0.241184570465941
"123" 0.356045240035954 0.349957953696539 0.83027740233356 0.349957953696539
"124" 0.367153844658315 0 0.809749056799283 0
"125" 0.378262449280676 0 0.78943852451627 0
"126" 0.389371053903037 0 0.769837118342546 0
"127" 0.400479658525398 0 0.751421915269322 0
"128" 0.411588263147759 0 0.734647722587985 0
"129" 0.42269686777012 0 0.719890084222314 0
"130" 0.433805472392481 0 0.707409355904973 0
"131" 0.444914077014842 0 0.697332420334577 0
"132" 0.456022681637203 5.60883572090829e-18 0.689652349064737 5.60883572090829e-18
"133" 0.467131286259564 4.39686722919047e-17 0.684243921007567 4.39686722919047e-17
"134" 0.478239890881925 0 0.6808909070183 0
"135" 0.489348495504287 3.94304908593039e-16 0.679319602875706 3.94304908593039e-16
"136" 0.500457100126648 3.17708469804165e-15 0.679320322732834 3.17708469804165e-15
"137" 0.511565704749009 0 0.680493152038116 0
"138" 0.52267430937137 7.74294265769231e-16 0.682524840889946 7.74294265769231e-16
"139" 0.533782913993731 7.7032016477638e-15 0.685169108412904 7.7032016477638e-15
"140" 0.544891518616092 1.10438613414389e-14 0.688185493203603 1.10438613414389e-14
"141" 0.556000123238453 2.35558950908437e-15 0.691323294483897 2.35558950908437e-15
"142" 0.567108727860814 2.65998605026384e-17 0.694306057016847 2.65998605026384e-17
"143" 0.578217332483175 0 0.696820318545004 0
"144" 0.589325937105536 6.85748716418823e-17 0.698511508941257 6.85748716418823e-17
"145" 0.600434541727897 6.8363568168425e-16 0.698988799436309 6.8363568168425e-16
"146" 0.611543146350258 1.01896426590094e-15 0.697839445206134 1.01896426590094e-15
"147" 0.622651750972619 2.85722610506549e-15 0.694464927563583 2.85722610506549e-15
"148" 0.63376035559498 1.78675597801584e-15 0.688526370930634 1.78675597801584e-15
"149" 0.644868960217341 3.12318215730448e-17 0.679826206896287 3.12318215730448e-17
