#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
lesl21 14A 8 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
344 24.10 13.48 9.31 3.85 26.12
345 24.20 40.56 12.15 6.15 32.87
346 24.41 20.37 9.54 3.90 26.52
347 24.17 62.68 13.11 7.44 30.00
348 24.17 73.66 11.30 7.20 31.90
349 24.42 72.40 11.46 9.80 28.06
350 24.48 54.33 12.20 6.80 30.82
351 24.63 29.28 10.21 5.44 29.45
352 24.78 61.03 12.80 7.44 29.39
353 24.63 24.61 11.09 5.50 27.65
354 24.73 26.70 10.53 4.85 28.12
355 24.52 31.82 11.54 5.03 30.76
356 24.49 46.75 12.43 7.43 34.93
357 24.78 49.41 12.71 6.64 32.73
358 24.81 51.88 12.22 6.02 31.32
359 24.89 58.30 12.40 7.19 31.72
360 24.82 63.02 13.17 8.00 27.83
361 24.99 14.24 8.43 4.23 25.89
362 25.00 18.40 8.92 4.34 29.52
363 24.84 33.47 12.45 5.74 32.65
364 24.94 37.54 13.29 6.06 33.59
365 24.92 69.37 10.54 10.04 28.00
366 25.29 40.71 11.65 6.04 33.27
367 24.84 30.56 8.50 3.50 35.50
368 25.48 46.45 13.01 6.34 32.08
369 25.21 66.34 10.53 10.21 29.63
370 25.38 56.03 12.40 6.71 32.03
371 25.25 22.04 9.45 4.79 27.52
372 25.31 34.74 11.23 5.33 33.15
373 25.42 31.70 10.28 4.97 32.07
374 25.48 44.16 12.91 5.69 32.31
375 25.54 53.06 11.98 6.39 30.82
376 25.42 68.04 11.11 10.66 30.23
377 25.76 75.96 11.05 64.50 23.60
378 25.97 79.16 10.35 49.47 23.41
379 25.54 24.76 10.86 5.07 27.86
380 25.85 71.85 11.41 52.32 25.09
381 25.65 27.43 10.39 4.88 28.84
382 25.86 37.62 12.91 6.68 33.79
383 25.87 12.57 7.96 3.65 23.69
384 25.75 60.79 12.75 8.98 30.17
385 25.86 64.32 12.98 12.24 30.18
386 25.95 22.83 9.70 5.11 27.65
387 26.03 28.96 11.00 5.17 27.80
388 25.85 30.54 10.52 5.38 28.34
389 25.97 32.90 11.88 5.59 30.44
390 25.98 58.48 11.57 8.77 31.86
391 26.15 20.42 11.53 5.21 26.18
392 26.25 17.94 9.13 4.97 28.37
393 26.15 35.24 12.78 5.59 34.02
