#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ba3 14A 8 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
371 28.99 39.64 28.99 22.85 163.34
372 28.98 27.78 23.17 19.35 141.30
373 29.10 20.45 20.46 15.63 108.44
374 29.25 30.25 25.09 19.30 151.63
375 29.31 32.64 25.29 23.07 165.65
376 29.22 48.68 38.10 26.75 119.04
377 29.30 36.94 28.32 23.34 162.40
378 29.42 59.52 234.24 29.88 160.14
379 29.51 11.32 17.48 10.66 51.08
380 29.64 25.42 21.73 18.40 136.30
381 29.52 43.72 33.38 24.53 168.68
382 29.29 55.22 63.05 28.57 147.79
383 29.59 76.19 118.27 23.46 99.33
384 29.60 86.03 32.79 19.18 88.31
385 29.47 53.02 57.41 28.57 121.65
386 29.66 46.58 43.07 28.11 159.03
387 29.68 72.93 121.63 25.88 129.42
388 29.76 13.46 21.22 11.72 77.56
389 29.85 57.01 233.24 29.21 135.52
390 29.82 68.80 190.65 29.04 122.32
391 29.83 41.05 34.19 24.94 162.80
392 29.92 18.65 23.29 15.17 111.36
393 29.68 50.56 51.61 28.67 159.08
394 29.91 82.20 41.86 19.60 81.95
395 29.89 63.81 233.40 29.36 150.65
396 30.13 15.87 26.58 13.95 102.99
397 30.14 66.33 196.70 27.86 149.82
398 30.20 22.83 24.54 17.83 114.68
399 30.09 27.92 25.41 18.61 145.25
400 30.07 34.94 30.64 22.48 119.25
401 30.06 38.34 32.58 24.42 127.22
402 30.24 61.65 227.95 29.61 111.91
403 30.55 53.81 227.29 31.55 147.95
404 30.31 48.57 87.53 29.42 182.94
405 30.53 70.98 106.07 26.57 123.93
406 30.41 78.65 51.81 21.90 105.32
407 30.35 32.33 30.73 22.47 127.92
408 30.46 44.88 58.83 28.02 183.27
409 30.56 20.90 33.06 15.31 83.69
410 30.50 51.22 206.79 27.22 151.45
411 30.61 59.21 221.69 28.36 124.21
412 30.73 29.98 33.34 21.09 155.32
413 30.66 42.37 53.98 25.93 175.95
414 30.64 74.50 82.65 25.74 130.26
415 30.88 85.11 28.63 19.99 81.00
416 30.78 25.36 31.24 17.56 94.22
417 30.74 39.58 43.31 23.19 139.54
418 30.87 36.69 43.69 24.00 158.30
419 30.98 46.32 186.37 28.91 141.34
420 30.78 13.13 51.64 11.18 40.38
421 30.85 56.41 221.82 31.77 110.38
