#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
nk14 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
182 15.91 40.79 15.27 25.22 41.96
183 15.94 75.49 14.80 8.51 13.28
184 16.17 61.54 15.58 23.31 61.57
185 16.20 27.37 10.71 11.63 51.06
186 15.94 34.39 12.86 19.34 36.34
187 16.18 58.09 16.33 31.35 54.70
188 16.38 43.65 16.29 26.22 43.04
189 16.31 54.55 17.97 29.79 55.25
190 16.14 77.16 13.64 7.62 12.33
191 16.37 41.59 15.88 26.50 43.41
192 16.70 70.51 15.14 16.64 30.64
193 16.58 38.40 15.03 22.27 50.96
194 16.64 73.26 14.29 10.79 19.29
195 16.64 22.40 9.83 9.18 85.36
196 16.72 32.64 13.42 17.14 54.51
197 16.57 35.20 12.85 23.55 41.50
198 16.73 49.03 17.44 30.25 60.63
199 16.80 25.78 10.95 10.75 70.79
200 16.89 19.23 9.13 7.86 74.24
201 17.15 56.77 16.44 26.39 95.45
202 16.96 46.13 16.62 26.50 63.06
203 16.85 28.47 11.03 13.63 53.93
204 17.12 51.90 17.23 27.76 78.41
205 17.24 59.79 17.57 28.67 92.11
206 17.50 75.20 14.75 8.04 17.75
207 17.33 63.01 15.40 19.78 104.86
208 17.36 66.20 16.04 21.15 75.48
209 17.18 76.40 12.82 8.40 18.00
210 17.24 23.25 9.75 10.04 90.04
211 17.54 36.54 13.43 17.89 87.51
212 17.50 40.72 14.82 23.88 86.86
213 17.69 30.45 12.73 12.62 93.04
214 17.90 33.86 13.24 18.03 93.19
215 17.96 54.49 18.44 21.93 120.59
216 18.00 68.91 14.62 14.78 46.84
217 17.85 43.61 16.20 24.88 88.31
218 17.89 72.44 15.19 10.33 30.12
219 17.94 21.36 10.12 9.29 101.32
220 18.00 27.39 11.77 11.64 93.12
221 18.11 49.06 17.66 26.46 112.98
222 18.37 46.28 17.59 25.48 114.88
223 18.42 38.40 15.85 21.12 122.03
224 18.31 23.53 10.57 9.45 103.51
225 18.52 51.69 17.42 19.98 126.77
226 18.47 58.16 17.08 26.32 148.20
227 18.54 61.15 17.10 20.26 141.65
228 18.47 19.09 9.52 7.34 81.95
229 18.70 64.01 16.42 18.61 122.32
230 18.66 24.74 11.68 9.37 105.37
231 18.37 77.34 12.95 7.15 17.40
232 18.92 66.68 16.22 15.24 109.62
233 18.77 74.87 14.38 9.78 26.48
234 18.69 78.82 13.45 8.25 17.41
235 18.89 41.13 15.88 20.94 144.41
236 19.02 32.22 13.15 15.03 121.35
237 19.07 29.46 12.82 12.11 122.65
238 19.04 35.41 14.59 16.35 134.68
239 19.10 71.38 16.32 11.26 48.28
240 19.30 56.27 18.24 19.13 156.38
241 19.25 43.78 17.26 19.61 157.04
