#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf11 14A 8 even-skipped Kruppel hunchback
166 18.81 54.59 18.61 16.32 130.16
167 18.91 48.17 18.38 16.96 119.56
168 19.01 30.38 17.60 19.35 96.75
169 18.96 59.44 19.32 12.67 102.23
170 18.97 69.72 15.72 10.83 80.17
171 19.22 74.77 15.07 9.18 85.39
172 19.31 42.13 17.71 17.59 125.81
173 19.44 20.68 14.19 14.92 74.29
174 19.51 25.31 16.35 14.68 93.31
175 19.45 45.00 17.55 14.74 125.44
176 19.51 67.72 17.33 10.95 97.34
177 19.72 52.28 17.90 13.81 130.74
178 19.52 56.76 18.76 14.81 118.44
179 19.55 32.79 17.20 16.55 115.37
180 19.67 27.90 17.21 16.33 94.76
181 19.92 63.24 17.87 11.59 109.77
182 19.95 37.75 18.92 18.22 126.21
183 19.92 71.60 17.91 9.30 80.10
184 20.01 49.79 19.48 14.70 133.14
185 20.20 23.01 14.25 15.42 101.78
186 20.11 60.82 16.94 12.19 88.90
187 20.08 65.61 17.38 11.94 110.55
188 20.12 47.22 17.00 15.79 141.39
189 20.19 35.29 17.16 17.06 125.11
190 20.23 40.24 18.05 19.07 127.82
191 20.23 54.54 18.68 13.74 121.62
192 20.33 58.66 17.22 11.64 103.83
193 20.36 30.47 17.40 18.70 106.24
194 20.52 69.46 19.43 10.97 93.54
195 20.53 43.19 17.78 14.76 121.33
196 20.50 73.63 17.92 10.42 81.62
197 20.57 76.15 15.59 9.33 70.70
198 20.95 25.52 15.87 14.50 103.25
199 20.96 33.14 18.08 16.82 111.75
200 21.08 45.53 17.55 15.72 139.04
201 21.04 56.68 17.38 12.43 121.90
202 20.95 20.71 13.16 16.33 94.52
203 21.15 28.13 17.00 15.81 108.38
204 21.15 66.96 17.24 11.00 104.21
205 21.14 50.96 18.77 13.46 129.87
206 21.17 79.28 14.64 8.57 40.43
207 21.19 62.03 18.97 12.18 114.80
208 21.32 64.40 17.02 11.29 110.09
209 21.39 36.54 18.18 15.95 130.37
210 21.36 48.15 17.33 15.26 142.12
211 21.36 53.43 18.26 12.01 124.23
212 21.40 38.90 17.37 15.13 109.82
213 21.46 41.35 18.72 16.07 141.29
214 21.51 71.14 18.44 10.81 84.96
215 21.58 59.68 17.98 12.47 110.02
216 21.51 21.63 15.22 16.81 89.33
217 21.62 76.92 16.79 9.44 71.08
218 21.64 73.97 19.09 9.90 87.13
219 21.75 30.76 16.50 16.02 121.45
220 21.98 23.92 16.62 17.33 111.87
221 22.07 43.49 19.06 14.36 140.19
222 21.99 68.49 19.48 12.03 96.87
223 22.16 34.48 17.35 15.97 131.46
224 22.05 55.63 20.03 12.42 115.08
225 22.34 49.54 18.32 14.71 136.25
226 22.35 57.94 18.70 12.35 104.20
227 22.36 26.58 16.34 15.34 121.28
228 22.43 45.95 19.57 13.91 131.26
229 22.55 51.72 19.04 12.98 137.06
230 22.35 62.57 18.91 11.92 105.53
231 22.45 65.56 20.19 11.16 103.74
232 22.54 78.45 22.95 9.47 73.37
233 22.65 40.51 19.03 15.09 134.62
234 22.69 21.77 15.75 13.61 110.60
235 22.64 37.58 20.09 16.47 124.14
236 22.66 75.31 18.72 8.89 65.34
237 22.81 32.26 16.76 14.37 124.72
238 22.80 53.87 20.61 14.38 127.12
239 22.68 29.09 17.78 15.14 122.36
240 22.78 60.27 20.18 12.19 112.59
241 22.74 72.61 24.66 10.27 94.54
242 22.91 69.80 22.31 11.50 95.81
243 22.81 19.53 15.18 13.80 69.57
244 23.08 47.71 19.11 15.25 115.33
245 23.26 56.35 19.91 13.09 118.51
246 23.24 67.50 22.53 12.50 95.43
247 23.27 43.79 19.77 14.55 121.42
248 23.51 17.12 14.06 11.47 76.74
249 23.39 34.58 18.28 15.58 126.73
250 23.37 63.37 22.41 11.79 104.45
251 23.68 79.26 103.08 10.03 76.59
252 23.55 24.83 15.93 15.59 108.87
253 23.31 29.95 18.32 15.95 123.93
254 23.71 27.38 16.97 15.21 117.61
255 23.63 58.62 18.50 13.00 104.30
256 23.83 49.82 19.37 13.06 122.46
257 23.74 65.46 24.07 12.06 99.68
258 23.63 76.51 43.85 10.48 61.70
259 23.87 36.84 20.05 15.40 125.10
260 23.85 39.24 17.65 15.06 128.11
261 23.85 41.84 20.66 14.55 124.64
262 23.92 73.55 67.70 11.60 95.09
263 23.93 45.67 20.16 15.88 123.24
264 23.87 52.08 21.71 13.70 123.02
265 23.89 61.16 21.38 13.20 109.78
266 23.81 71.38 36.78 11.39 97.43
267 23.89 19.77 14.04 13.00 104.41
268 23.99 54.48 20.53 13.60 112.54
269 23.98 22.56 18.57 13.64 113.57
270 24.01 31.88 18.03 15.91 131.96
271 24.24 68.80 44.86 12.86 116.50
272 24.21 47.79 20.95 14.56 111.67
273 24.37 29.66 18.43 15.48 89.22
274 24.56 56.52 21.64 13.33 116.69
275 24.68 34.30 19.29 15.02 135.98
276 24.70 63.64 28.37 13.01 100.03
277 24.66 66.56 28.91 12.04 83.42
278 24.75 83.30 82.35 9.61 32.64
279 24.80 43.74 21.31 14.74 130.60
280 24.71 15.89 12.80 11.70 52.40
281 24.80 75.17 173.34 11.72 69.67
282 24.78 59.19 23.35 13.39 115.48
283 24.86 80.27 166.44 11.06 66.55
284 24.97 24.17 18.14 14.33 116.36
285 24.98 77.66 159.02 11.64 53.15
286 24.99 18.36 15.09 13.09 76.00
287 24.98 27.07 18.32 13.56 113.19
288 24.95 41.10 18.55 15.29 122.01
289 24.98 51.16 21.51 14.67 116.74
290 24.95 71.02 166.89 12.89 82.94
291 25.10 20.99 16.69 13.27 113.43
292 25.12 36.37 20.05 16.17 138.99
293 25.04 38.64 19.04 15.66 125.80
294 25.02 53.62 21.03 14.07 104.31
295 25.03 61.30 25.83 14.32 106.71
296 25.19 48.88 22.56 15.00 131.66
297 25.18 46.37 22.90 15.05 129.29
298 25.30 32.19 19.50 13.94 127.57
299 25.56 73.08 169.59 13.96 60.81
300 25.53 29.76 18.85 14.81 127.17
301 25.63 68.49 212.00 12.18 94.30
302 25.60 57.64 22.44 13.43 114.00
303 25.81 55.28 24.14 14.48 127.73
304 25.80 65.96 186.64 13.37 94.37
305 25.86 81.82 135.23 10.29 76.26
306 25.94 16.65 15.42 12.54 85.83
307 25.87 62.56 68.32 13.86 112.73
308 25.98 42.54 22.06 14.36 119.26
309 26.06 25.42 19.19 14.38 119.93
310 25.96 39.84 20.52 15.17 131.51
311 26.03 44.73 22.09 14.80 132.38
312 26.01 52.78 22.68 15.06 119.68
313 26.03 34.43 21.19 15.00 121.82
314 26.07 59.79 30.55 13.36 103.87
315 26.08 76.13 166.51 11.46 61.75
316 26.13 78.93 145.81 11.22 86.34
317 26.14 50.15 23.13 14.61 130.83
318 26.17 19.71 17.95 12.92 93.57
319 26.19 22.41 18.90 13.30 111.37
320 26.27 28.06 21.22 14.60 127.88
321 26.15 37.03 21.00 15.96 135.57
322 26.19 70.75 209.46 12.98 92.18
323 26.32 47.63 24.12 14.49 127.69
324 26.46 31.56 22.02 15.72 111.69
325 26.74 64.17 217.82 13.69 100.78
326 26.74 73.23 179.49 12.24 82.14
327 26.65 57.13 34.75 14.64 119.09
328 26.72 14.04 14.63 11.19 50.00
329 26.92 82.50 83.49 10.19 84.14
330 26.99 61.30 204.98 13.15 104.92
331 26.97 66.58 214.75 14.68 98.53
332 26.95 41.05 22.88 14.54 127.33
333 26.92 54.64 32.77 15.38 126.32
334 27.02 45.68 27.22 14.39 129.69
335 27.08 69.02 207.21 14.24 94.40
336 27.02 38.57 24.46 15.82 136.93
337 27.02 52.00 30.52 15.10 134.66
338 27.22 16.11 22.59 14.05 94.36
339 27.11 18.85 20.64 12.93 91.25
340 27.15 33.90 24.70 14.87 126.21
341 27.29 75.52 136.96 12.65 85.77
342 27.17 23.90 23.27 13.73 109.85
343 27.18 26.65 23.65 13.94 115.58
344 27.23 36.04 24.11 15.26 124.85
345 27.26 43.24 27.12 15.00 128.03
346 27.37 29.42 25.44 14.75 116.20
347 27.18 49.36 27.63 15.74 122.48
348 27.37 58.87 191.35 14.80 103.94
349 27.30 78.00 79.13 12.17 88.67
350 27.44 85.02 32.39 9.33 52.41
351 27.41 21.07 24.13 12.76 93.10
352 27.63 71.31 158.68 14.47 93.97
353 27.59 31.59 24.28 13.95 121.84
354 27.73 79.82 73.95 11.55 69.01
355 27.65 47.18 30.92 13.80 117.47
356 27.81 62.95 225.54 14.64 98.10
357 27.73 56.34 105.02 14.60 95.17
358 27.88 54.06 75.56 16.68 130.28
359 27.87 40.64 26.19 14.22 118.48
360 27.95 51.15 66.41 15.97 144.94
361 28.06 67.35 170.10 14.75 107.45
362 28.04 38.00 26.72 15.01 139.50
363 28.08 44.79 42.49 15.80 143.81
364 28.14 65.01 187.04 15.61 90.09
365 28.10 73.81 105.53 12.82 102.17
366 28.01 82.38 39.49 11.45 86.63
367 28.26 17.98 75.31 14.00 98.49
368 28.18 25.58 34.15 14.60 107.28
369 28.24 23.06 53.30 15.30 108.17
370 28.19 60.79 171.59 15.83 75.61
371 28.30 15.03 63.37 13.21 87.67
372 28.26 28.06 39.06 15.51 119.00
373 28.35 33.25 37.13 15.29 121.57
374 28.35 48.79 131.79 17.17 135.10
375 28.37 69.48 153.99 12.26 104.87
376 28.42 35.47 34.45 15.70 122.93
377 28.37 76.92 40.61 12.85 96.18
378 28.49 42.46 41.47 15.03 135.39
379 28.48 58.58 217.36 15.41 100.13
380 28.67 20.70 84.11 15.66 99.44
381 28.68 30.75 43.73 16.06 118.96
382 28.77 52.66 228.40 16.77 119.90
383 28.67 56.29 170.86 16.89 64.79
384 28.88 46.47 182.48 17.89 130.91
385 28.83 71.89 76.62 13.97 109.31
386 28.60 82.09 40.56 10.50 84.78
387 28.83 39.84 46.63 15.77 138.50
388 28.87 84.04 21.68 11.26 54.42
389 29.08 13.30 113.19 13.68 65.08
390 28.88 79.38 32.41 11.93 67.58
391 28.93 62.73 204.31 15.91 100.52
392 29.00 37.43 52.03 15.83 129.80
393 29.06 66.48 127.65 14.04 119.55
394 29.19 50.25 221.38 17.22 124.33
395 29.22 74.59 52.34 13.18 108.50
396 29.28 43.85 192.53 16.56 125.65
397 29.24 54.56 215.92 16.65 95.48
398 29.35 60.52 179.11 15.17 125.36
399 29.28 25.56 170.77 15.61 87.48
400 29.33 28.53 176.07 16.14 101.90
401 29.27 33.58 115.76 16.83 89.09
402 29.40 69.07 74.38 14.62 118.75
403 29.42 23.02 169.17 15.02 105.33
404 29.56 64.52 109.91 14.48 118.62
405 29.61 18.57 168.89 15.79 92.31
406 29.51 81.67 24.87 13.12 67.04
407 29.58 15.98 156.16 14.70 76.56
408 29.60 76.92 30.16 12.85 81.64
409 29.63 48.08 223.48 18.67 110.08
410 29.59 58.19 209.16 16.17 117.99
411 29.75 36.01 167.98 17.58 96.30
412 29.65 41.32 209.35 18.31 126.67
413 29.81 87.71 16.16 10.81 29.10
414 29.79 11.33 80.13 14.08 23.62
415 29.93 31.40 188.07 17.61 95.37
416 29.95 85.07 23.51 12.94 78.24
417 29.89 52.45 217.23 17.22 108.78
418 29.84 56.19 187.12 18.19 100.31
419 29.89 38.95 200.20 16.01 97.15
420 29.89 45.67 198.97 16.69 86.21
421 29.98 71.92 39.84 13.75 108.24
422 30.14 21.36 172.16 16.40 96.18
423 30.20 79.02 25.44 13.14 71.72
424 30.17 62.28 124.72 17.01 125.91
425 30.20 66.90 63.82 15.31 114.26
426 30.22 33.73 179.27 15.40 79.55
427 30.33 13.70 134.36 15.86 79.43
428 30.24 26.70 202.86 17.56 103.56
429 30.36 49.90 215.12 17.56 129.96
430 30.43 29.28 215.90 17.51 115.90
431 30.33 42.91 204.66 17.93 106.67
432 30.43 59.79 91.17 16.17 133.44
433 30.50 74.45 29.31 14.20 105.00
434 30.53 24.15 192.71 17.39 101.22
435 30.58 54.70 158.36 17.22 131.49
436 30.57 69.74 43.62 14.20 107.69
437 30.59 64.59 45.94 15.77 76.83
438 30.76 81.30 23.67 14.05 68.07
439 30.70 47.18 190.98 18.18 96.35
440 30.65 57.44 111.02 17.35 110.65
441 30.80 37.95 203.18 18.25 115.56
442 30.91 16.60 131.94 15.92 77.10
443 30.90 45.00 199.10 17.08 104.76
444 30.87 35.69 205.03 17.79 87.74
445 30.91 40.60 218.46 17.51 118.70
446 30.90 76.80 24.93 14.06 73.07
447 31.00 19.69 153.00 15.84 92.43
448 30.88 52.34 160.57 17.31 134.72
449 31.07 87.36 49.52 12.06 56.27
450 31.32 11.70 86.26 15.70 59.39
451 31.20 83.76 30.20 15.38 86.07
452 31.26 32.66 215.38 18.44 106.60
453 31.33 60.93 54.49 16.27 145.51
454 31.39 63.23 42.28 16.21 117.38
455 31.30 67.85 33.72 16.15 118.76
456 31.19 72.18 26.19 14.63 61.14
457 31.25 27.49 172.77 15.43 91.88
458 31.30 48.85 168.11 17.57 141.80
459 31.50 22.35 155.80 16.41 97.07
460 31.43 30.41 188.00 19.33 110.36
461 31.43 42.79 218.13 17.75 149.66
462 31.51 56.06 80.17 16.98 139.56
463 31.39 89.43 40.76 10.62 15.88
464 31.49 58.55 54.34 16.90 125.73
465 31.62 79.22 26.23 13.87 86.75
466 31.65 65.76 28.11 15.81 101.11
467 31.56 51.06 119.26 16.74 146.82
468 31.72 14.28 99.72 15.96 89.99
469 31.63 53.79 96.75 19.75 130.75
470 31.75 24.62 150.92 17.89 101.71
471 31.75 74.60 27.78 15.72 100.35
472 31.93 35.03 187.41 18.47 120.47
473 31.89 39.21 166.59 16.31 119.44
474 31.84 70.22 28.38 15.98 116.16
475 31.93 18.42 102.61 17.29 105.79
476 31.92 37.09 148.40 19.00 144.04
477 31.92 47.33 158.45 19.71 141.31
478 31.86 45.06 140.76 19.55 147.76
479 32.23 85.97 117.64 17.22 71.08
480 32.23 77.08 33.74 15.41 98.28
481 32.22 81.52 39.71 14.48 84.25
482 32.29 41.26 160.14 17.51 136.66
483 32.09 88.81 57.00 11.70 13.90
484 32.27 26.92 127.78 17.97 106.55
485 32.40 29.27 140.18 18.08 120.05
486 32.39 84.04 135.51 15.03 73.65
487 32.51 16.69 57.18 15.76 101.73
488 32.38 20.90 89.10 16.81 96.67
489 32.40 49.98 70.40 20.68 131.07
490 32.50 72.53 28.49 17.42 114.68
491 32.48 61.79 34.12 16.52 118.53
492 32.57 33.51 122.62 18.57 133.51
493 32.48 52.30 75.01 18.67 144.07
494 32.49 57.25 40.69 17.51 140.18
495 32.50 59.67 41.78 18.04 142.04
496 32.52 64.08 27.88 17.13 135.32
497 32.56 31.51 97.04 16.87 126.15
498 32.60 67.92 28.19 17.55 123.94
499 32.65 12.20 53.97 15.22 88.06
500 32.45 10.32 35.22 14.41 25.89
501 32.58 43.46 96.80 17.81 131.55
502 32.75 54.60 45.49 18.33 146.05
503 33.01 23.12 86.88 18.72 110.27
504 32.82 45.98 78.24 19.97 145.50
505 32.87 37.90 117.53 19.84 146.00
506 33.06 14.88 48.24 17.52 105.63
507 32.94 25.19 87.63 19.45 114.81
508 33.13 48.25 60.46 19.23 153.18
509 33.14 89.11 76.52 15.64 25.95
510 33.17 65.82 26.27 17.58 115.99
511 33.08 70.21 27.51 18.19 113.16
512 33.03 79.08 61.19 14.94 80.60
513 32.99 9.21 24.09 14.33 14.33
514 33.15 75.11 41.25 17.01 113.94
515 33.23 19.04 58.42 18.74 112.75
516 33.24 35.62 80.41 18.38 143.74
517 33.23 39.87 69.70 18.57 144.34
518 33.31 27.83 60.40 19.42 107.95
519 33.51 41.96 56.30 20.55 140.54
520 33.47 81.86 109.44 16.48 78.16
521 33.53 84.76 173.78 21.91 74.87
522 33.52 30.31 64.11 17.55 127.48
523 33.48 56.22 36.25 21.97 144.56
524 33.57 58.65 28.14 17.36 139.81
525 33.64 50.17 34.63 19.73 137.36
526 33.66 60.94 28.34 16.43 125.77
527 33.68 44.39 53.68 20.64 140.64
528 33.49 52.42 42.62 19.87 134.64
529 33.62 63.32 27.32 19.38 119.61
530 34.13 87.18 146.68 22.53 70.82
531 33.69 10.95 28.85 15.78 60.81
532 33.64 33.09 67.94 19.42 136.43
533 33.86 21.41 44.82 18.07 114.39
534 33.90 72.16 51.11 18.56 103.91
535 33.87 67.50 30.42 19.27 112.50
536 33.98 13.55 29.94 16.64 104.02
537 34.15 77.16 169.56 18.92 103.87
538 33.91 37.91 44.65 19.41 129.83
539 33.94 46.69 45.09 21.69 136.14
540 34.09 16.65 29.08 17.34 93.21
541 34.00 25.57 49.94 19.47 118.21
542 33.96 91.02 44.99 17.77 16.94
543 34.15 54.31 30.86 20.52 136.46
544 34.32 79.94 148.72 19.70 77.07
545 34.23 69.47 39.28 18.72 119.22
546 34.38 74.31 135.70 18.36 115.82
547 34.42 28.37 37.94 18.34 120.19
548 34.50 35.63 37.00 19.93 143.56
549 34.40 40.27 36.39 19.72 135.13
550 34.40 65.25 29.31 18.19 128.89
551 34.46 23.38 34.63 18.37 111.52
552 34.70 9.63 19.15 15.36 54.97
553 34.50 19.23 31.09 18.29 112.45
554 34.57 30.95 36.32 18.43 128.39
555 34.57 48.56 40.85 23.04 147.21
556 34.46 57.14 33.35 18.57 139.19
557 34.58 42.91 36.04 19.71 137.25
558 34.46 51.76 29.28 21.71 136.37
559 34.70 33.40 35.15 20.56 131.12
560 34.74 62.62 30.28 18.98 125.02
561 34.74 83.24 177.33 19.69 73.08
562 34.76 60.00 32.70 21.57 128.92
563 34.86 89.56 59.16 22.34 27.70
564 34.86 45.60 31.67 21.12 138.90
565 35.04 11.95 23.37 16.94 95.15
566 34.99 37.91 34.92 21.94 135.42
567 35.05 67.49 96.68 21.60 127.51
568 35.09 91.65 26.54 19.02 12.68
569 35.23 70.50 140.65 20.39 110.66
570 35.30 21.58 28.64 19.11 112.70
571 35.06 26.20 31.32 18.99 123.57
572 35.27 55.50 30.09 20.40 120.09
573 35.22 14.62 24.55 17.70 98.07
574 35.42 72.94 174.75 23.80 115.12
575 35.40 53.20 30.73 21.53 127.59
576 35.37 16.89 27.03 18.39 114.73
577 35.49 78.34 172.34 27.02 110.72
578 35.44 50.50 31.34 21.58 135.52
579 35.35 58.15 36.26 20.09 118.82
580 35.50 75.70 179.23 22.26 111.51
581 35.43 41.22 34.60 21.28 145.92
582 35.52 86.75 106.88 31.79 72.02
583 35.53 28.98 33.55 18.39 130.14
584 35.54 64.46 102.32 23.25 132.25
585 35.46 80.93 98.73 24.15 49.00
586 35.60 24.03 27.47 19.01 113.82
587 35.65 31.76 29.91 21.11 131.43
588 35.65 47.94 35.23 23.72 136.67
589 35.74 34.31 32.51 22.55 144.68
590 35.75 43.47 35.36 23.17 145.45
591 35.71 19.14 26.80 19.63 109.50
592 35.68 61.59 61.14 20.93 107.69
593 35.83 36.44 34.15 21.89 125.06
594 35.99 39.14 34.33 21.64 127.45
595 36.03 83.64 126.08 36.36 94.83
596 36.07 89.79 51.42 40.43 54.57
597 36.02 45.66 35.83 21.15 122.93
598 36.18 59.56 146.72 23.55 126.74
599 36.11 66.46 192.99 25.17 100.91
600 36.04 10.19 18.61 16.81 48.88
601 36.21 68.95 194.26 24.13 110.66
602 36.16 26.84 30.78 18.94 134.34
603 36.34 12.64 28.44 17.94 103.52
604 36.29 56.92 103.46 23.03 140.18
605 36.38 79.62 120.96 25.37 74.05
606 36.41 54.62 85.68 22.85 140.59
607 36.40 52.16 46.15 24.10 129.41
608 36.51 71.33 192.56 29.05 121.97
609 36.49 15.28 25.86 18.95 99.90
610 36.55 62.78 193.75 24.43 136.56
611 36.52 30.36 34.96 20.56 146.46
612 36.54 49.74 48.89 23.69 131.42
613 36.67 22.54 34.30 23.52 118.33
614 36.61 41.35 59.36 24.21 138.16
615 36.67 74.10 196.90 26.80 112.28
616 36.70 76.88 148.08 32.33 106.08
617 36.81 20.39 29.70 21.94 114.27
618 36.64 91.73 19.30 29.48 15.86
619 36.74 17.73 30.40 20.49 111.31
620 36.73 24.66 38.60 22.62 136.78
621 36.89 87.33 59.74 48.99 81.97
622 36.84 32.70 41.09 22.48 138.35
623 36.82 7.88 21.60 14.23 14.77
624 36.71 34.83 44.43 24.58 119.85
625 36.86 37.40 42.95 24.74 144.32
626 36.84 47.18 84.39 26.17 136.01
