#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
nb11 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
254 20.23 33.04 17.83 14.78 191.18
255 20.01 66.49 21.80 15.94 30.17
256 20.40 53.53 20.96 14.75 53.18
257 20.48 63.51 21.31 13.67 33.47
258 20.73 58.77 21.54 15.57 36.39
259 20.74 29.91 17.81 14.99 183.69
260 20.70 69.03 20.44 13.36 31.38
261 20.82 23.19 18.40 13.24 152.02
262 20.65 70.59 16.34 13.11 30.00
263 21.09 65.24 21.13 13.34 36.96
264 20.98 18.15 13.92 10.96 142.22
265 20.69 20.23 15.31 13.69 159.74
266 20.58 67.20 17.50 13.50 32.07
267 21.12 15.21 13.34 9.82 125.38
268 21.09 76.62 17.25 12.35 35.50
269 20.82 73.29 17.12 12.88 31.84
270 21.28 49.06 20.60 15.88 75.42
271 21.30 51.41 20.40 15.80 61.81
272 21.26 27.76 17.15 13.70 169.99
273 21.61 35.03 18.14 14.28 152.31
274 21.40 46.31 19.95 15.30 91.41
275 21.50 37.72 19.33 15.93 147.46
276 21.48 32.29 17.30 13.63 164.46
277 21.45 43.00 20.15 15.75 127.93
278 21.28 72.30 19.91 11.51 29.80
279 21.67 67.93 20.92 14.77 35.15
280 21.79 40.14 19.86 15.06 127.13
281 21.63 56.40 22.32 15.79 47.80
282 21.49 74.05 17.74 11.52 33.07
283 21.38 66.28 18.07 11.53 37.67
284 21.86 21.26 16.85 12.33 131.72
285 21.89 25.04 17.11 12.50 143.66
286 21.71 53.95 21.50 15.50 52.72
287 21.89 70.41 22.18 13.18 35.52
288 21.96 63.16 22.71 14.99 40.70
289 22.13 80.94 17.36 10.82 41.48
290 22.05 78.36 15.55 11.83 37.82
291 22.15 58.60 21.75 16.15 47.61
292 22.13 16.60 14.15 10.99 117.92
293 22.44 29.76 16.86 13.15 144.59
294 22.40 18.97 15.30 9.92 113.46
295 22.39 75.44 20.31 13.47 48.14
296 22.40 44.57 21.42 14.46 95.19
297 22.54 47.15 20.79 15.85 79.50
298 22.54 49.67 20.80 15.55 65.68
299 22.50 72.66 23.60 13.23 46.12
300 22.51 51.93 21.42 15.78 56.81
