#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mu20 14A 8 Kruppel even-skipped fushi-tarazu
166 13.97 70.52 4.67 3.93 28.87
167 15.10 27.85 12.32 3.63 31.27
168 14.28 35.36 16.70 4.30 31.00
169 14.24 48.60 10.64 4.50 27.89
170 14.39 29.07 16.96 4.12 29.92
171 14.46 49.77 16.41 3.23 24.50
172 14.36 62.53 5.95 3.85 30.10
173 14.82 71.39 4.44 3.88 24.91
174 14.62 46.53 11.30 4.46 30.63
175 14.81 51.64 8.78 4.17 31.32
176 14.71 53.41 8.78 4.35 33.22
177 14.79 66.19 5.69 3.58 28.85
178 14.70 36.98 19.20 4.60 35.40
179 14.87 69.83 4.52 2.74 26.23
180 15.24 48.35 10.87 4.09 33.23
181 15.15 63.50 5.55 4.67 28.48
182 15.15 68.41 4.89 4.22 29.75
183 14.85 37.57 19.00 2.50 36.50
184 15.16 50.17 16.08 4.34 29.63
185 15.31 33.51 13.52 4.48 34.76
186 15.27 34.88 15.86 4.79 31.69
187 15.29 40.23 11.98 4.77 32.05
188 15.24 57.01 5.48 4.15 33.89
189 15.25 31.57 12.56 5.28 33.25
190 15.60 60.26 5.92 5.03 30.66
191 15.40 29.79 11.18 4.00 32.53
192 15.65 41.94 10.52 4.57 33.37
193 15.57 55.80 7.12 4.93 30.60
194 15.81 23.54 9.24 3.17 30.79
195 15.67 71.34 4.54 3.54 30.35
196 15.83 25.13 9.27 3.05 29.92
197 15.67 30.52 8.30 4.00 34.60
198 15.78 53.84 7.60 4.28 32.02
199 15.79 32.29 10.26 3.91 30.82
200 15.99 52.19 7.70 4.09 31.74
201 15.84 72.65 4.86 3.47 25.50
202 16.00 34.65 9.83 4.02 32.41
203 15.79 62.22 5.50 4.92 29.00
204 15.96 67.23 4.93 4.43 29.70
205 16.24 69.15 5.38 5.04 27.08
206 15.82 39.71 10.25 5.50 42.25
207 16.06 50.57 9.62 3.86 34.24
208 16.12 65.29 5.74 4.30 30.67
209 16.29 63.07 5.84 4.82 27.12
210 16.30 45.48 8.77 4.02 35.40
211 16.17 48.57 10.34 4.08 30.63
212 16.23 21.44 7.02 2.65 30.92
213 16.08 29.78 10.75 5.92 28.67
214 16.02 30.96 9.25 4.25 29.75
215 16.80 41.12 10.03 4.47 36.53
216 16.14 70.73 5.29 3.43 28.29
217 16.43 28.06 8.85 4.05 29.78
218 16.40 39.24 10.46 4.86 31.76
219 16.46 59.14 6.34 5.07 31.92
220 16.24 61.72 7.20 5.80 27.80
221 16.54 26.38 9.00 3.80 32.98
222 16.42 42.54 13.76 4.33 33.24
223 16.62 74.13 5.02 3.53 27.60
224 16.45 22.71 6.65 3.20 29.60
225 16.77 31.41 9.26 4.20 32.17
226 16.78 24.59 8.42 3.17 31.40
227 16.66 43.82 9.26 4.70 34.85
228 16.52 72.15 5.10 4.05 28.76
229 16.59 33.25 9.40 5.05 31.65
230 16.95 37.47 8.28 4.06 32.56
231 16.66 47.24 8.23 4.14 32.66
232 17.31 49.49 7.27 4.69 32.20
233 16.77 29.53 7.69 4.45 31.24
234 16.83 66.53 5.00 4.77 30.54
235 16.83 34.48 10.00 4.31 35.88
236 17.19 55.45 6.24 5.60 33.24
237 17.09 61.55 5.81 5.02 28.29
238 17.12 71.00 4.62 4.42 27.30
239 17.49 45.59 7.14 3.72 32.22
240 17.22 53.37 5.92 5.00 31.20
241 16.95 72.68 5.00 4.36 28.73
242 17.10 64.40 6.91 4.94 30.94
243 17.53 32.97 7.55 4.34 32.86
244 17.34 26.69 6.85 3.96 30.96
245 17.28 43.88 7.64 5.21 32.18
246 17.50 59.50 5.40 5.25 32.00
247 17.48 51.57 6.21 6.02 32.09
248 17.42 63.29 5.14 5.00 30.41
249 17.55 65.87 5.05 4.44 31.38
250 17.93 29.54 6.20 3.92 31.36
251 17.70 68.92 5.16 5.27 27.54
252 17.87 67.42 5.11 4.68 30.15
253 17.93 40.02 6.51 4.40 31.10
254 17.75 42.83 6.40 4.83 33.13
255 17.73 25.90 7.65 4.60 29.20
256 17.94 71.83 5.50 4.58 28.46
257 17.84 70.37 4.53 4.12 28.35
258 18.03 23.80 6.10 3.75 29.73
259 18.17 36.89 6.55 4.57 32.33
260 18.11 27.55 5.61 4.58 31.16
261 18.18 62.96 5.68 5.02 31.86
262 18.37 74.62 4.78 4.18 27.55
263 18.25 31.69 6.17 4.44 31.53
264 18.32 34.49 6.54 4.41 34.28
265 18.50 58.89 5.58 4.94 33.92
266 18.40 51.51 5.77 4.77 33.23
267 18.77 42.56 6.71 4.73 32.45
268 18.90 49.97 6.77 5.32 30.86
269 18.65 70.08 5.34 4.82 28.43
270 18.44 44.69 7.50 4.14 36.50
271 18.76 60.78 5.78 5.04 30.79
272 18.57 20.67 5.71 3.23 30.03
273 18.51 66.21 5.65 4.39 31.84
274 18.49 72.41 5.25 5.29 26.93
275 18.52 35.64 6.75 4.33 36.25
276 19.33 46.71 7.11 5.14 31.38
277 18.67 56.36 5.59 5.47 33.65
278 18.74 64.65 5.68 4.96 32.77
279 18.90 52.84 5.36 5.14 31.89
280 18.79 78.89 3.90 4.17 23.37
281 19.05 40.46 5.25 4.43 30.19
282 19.52 23.21 6.37 3.78 29.91
283 18.82 31.37 6.55 4.00 28.90
284 18.93 38.57 5.80 3.89 30.89
285 19.23 67.34 5.43 4.73 33.23
286 19.01 18.99 5.02 2.88 29.18
287 18.93 27.55 6.75 4.52 29.44
288 18.93 29.98 6.68 4.23 30.45
289 19.05 77.05 4.32 4.20 26.55
290 19.02 44.83 7.21 5.25 33.83
291 19.00 57.64 6.61 4.44 32.22
292 19.09 63.02 5.92 4.89 30.32
293 19.07 68.92 5.00 5.19 27.44
294 19.28 32.94 6.81 5.05 32.00
295 19.37 72.72 5.11 4.36 28.14
296 19.55 36.90 5.61 4.39 34.93
297 19.26 20.98 5.73 2.55 30.73
298 19.38 24.54 4.87 4.53 27.73
299 19.66 56.09 5.91 5.52 32.41
300 19.93 70.32 5.45 4.57 29.72
301 19.75 79.67 3.96 3.35 25.64
302 19.60 45.35 5.41 4.69 30.79
303 19.58 58.37 6.63 5.51 33.43
304 19.58 52.92 5.91 4.87 33.57
305 19.61 19.87 5.61 3.36 30.29
306 19.90 30.03 5.88 4.43 30.90
307 19.54 64.04 4.60 4.20 36.20
308 19.65 77.22 4.78 4.11 26.72
309 19.60 17.96 6.75 3.75 33.25
310 19.71 38.84 6.06 4.52 30.24
311 20.04 17.25 5.34 2.64 27.76
312 19.77 54.13 5.19 6.58 34.06
313 19.87 59.55 5.87 5.30 29.87
314 19.98 65.47 5.51 5.63 30.69
315 19.80 74.65 4.39 4.61 27.39
316 19.97 50.94 5.11 4.57 33.27
317 20.29 77.71 3.86 3.91 25.13
318 20.09 67.98 5.69 5.04 27.88
319 20.20 20.22 5.75 3.46 30.73
320 20.25 60.87 5.48 5.12 31.83
321 20.31 57.40 5.40 4.91 29.95
322 20.42 75.77 4.69 3.78 26.29
323 20.55 44.70 6.04 5.19 30.40
324 20.33 53.78 7.93 6.27 36.93
325 20.65 37.52 5.87 4.86 33.88
326 20.40 64.67 5.78 4.33 34.33
327 20.75 55.16 6.14 5.17 29.46
328 20.72 63.11 6.31 5.62 31.55
329 20.93 47.00 6.07 5.04 31.35
330 20.68 74.12 4.81 5.63 28.93
331 21.03 53.12 5.53 5.16 28.20
332 20.92 25.13 5.44 4.20 27.36
333 20.98 31.29 5.18 4.82 30.92
334 20.89 70.60 6.50 5.77 30.30
335 20.96 80.90 3.80 3.15 23.59
336 20.98 19.02 4.40 3.45 30.33
337 20.94 28.41 6.41 4.78 36.41
338 20.97 21.76 4.84 4.06 31.88
339 21.04 78.31 4.89 3.51 27.17
340 21.24 56.83 5.44 4.33 35.38
341 21.17 72.53 4.86 5.14 30.66
342 21.17 26.92 6.48 4.85 29.92
343 21.26 29.58 5.42 4.49 33.36
344 21.07 39.29 6.44 4.56 34.44
345 21.13 41.60 5.64 4.66 32.74
346 21.13 43.46 6.03 5.83 33.24
347 21.15 66.98 5.89 4.36 30.94
348 21.22 69.14 5.40 6.29 29.07
349 21.24 34.95 5.61 4.57 30.54
350 21.09 61.97 5.27 5.73 38.91
351 21.80 74.85 4.86 4.91 26.48
352 21.43 17.96 5.36 3.73 31.55
353 21.60 51.38 6.09 5.41 32.79
354 21.49 76.72 4.52 4.23 27.95
355 21.70 62.55 5.78 5.32 33.24
356 21.89 40.27 5.90 4.05 32.48
357 21.68 31.45 5.93 4.21 31.43
358 21.82 67.99 5.04 5.00 29.89
359 21.91 38.83 6.00 5.64 35.95
360 21.81 70.83 4.16 4.39 27.13
361 22.03 43.05 6.00 5.05 34.37
362 22.15 47.74 6.90 5.23 34.29
363 21.70 58.36 5.46 4.69 32.00
364 21.97 80.49 4.09 3.76 24.63
365 22.07 16.30 3.67 3.13 28.96
366 22.09 22.32 4.34 4.11 27.65
367 22.02 24.93 5.22 4.49 29.11
368 21.92 55.74 5.90 5.08 36.51
369 22.10 60.10 5.82 5.61 32.70
370 22.22 29.33 5.70 4.65 33.27
371 22.32 69.78 5.02 5.36 28.47
372 22.22 18.00 4.52 3.41 30.67
373 22.24 58.94 5.21 6.18 32.04
374 22.30 78.77 4.55 4.01 28.21
375 22.47 31.51 5.56 4.60 33.80
376 22.54 35.13 5.47 5.31 32.29
377 22.30 37.72 5.71 5.65 32.76
378 22.41 52.43 5.58 6.10 33.71
379 22.50 62.11 5.38 5.96 35.98
380 22.65 18.77 4.53 4.50 28.56
381 22.65 44.37 6.98 4.74 31.91
382 22.57 26.98 5.20 4.95 32.91
383 22.67 33.07 5.82 5.59 34.28
384 22.57 54.45 5.69 5.40 34.40
385 22.94 76.63 5.38 6.13 25.59
386 23.05 82.16 4.27 4.91 24.17
387 22.82 57.29 5.57 6.22 32.95
388 22.78 20.04 5.81 3.33 28.45
389 22.76 39.34 6.47 5.18 34.65
390 22.84 16.61 4.37 3.17 28.61
391 22.80 36.83 6.19 5.94 31.69
392 23.08 40.43 5.72 5.69 30.11
393 23.26 60.99 6.56 7.04 33.23
394 22.95 41.77 5.94 6.23 31.09
395 23.03 53.26 5.78 6.00 35.69
396 22.95 66.08 6.72 5.80 28.32
397 23.05 72.71 5.78 6.40 29.89
398 23.22 55.66 6.56 6.40 34.95
399 23.32 25.08 6.20 4.72 34.67
400 23.60 51.78 5.73 6.92 30.83
401 23.23 64.47 5.58 5.73 30.54
402 23.51 68.30 5.37 5.59 29.12
403 23.64 74.68 5.41 5.09 27.91
404 23.32 38.42 6.08 5.86 35.41
405 23.45 71.52 5.29 5.85 27.19
406 23.44 36.95 7.42 5.81 37.84
407 23.58 42.53 5.53 5.84 33.84
408 23.58 33.91 6.48 5.25 32.18
409 23.55 45.89 6.34 5.56 34.73
410 23.36 67.11 6.00 7.29 33.00
411 23.74 62.75 6.40 5.53 30.93
412 23.76 49.98 6.55 6.55 27.80
413 23.83 27.40 5.93 5.23 30.78
414 23.83 58.56 6.05 7.35 33.16
415 23.73 65.65 6.76 6.38 30.17
416 24.01 57.22 5.78 6.85 32.00
417 23.69 82.97 3.77 6.69 28.85
418 23.87 69.66 5.03 6.79 27.18
419 23.89 35.68 6.91 5.12 37.18
420 24.12 55.19 6.44 7.71 31.98
421 24.01 18.60 4.48 4.02 32.31
422 24.04 22.41 5.06 3.72 32.13
423 24.03 77.42 5.10 5.80 26.62
424 24.16 14.82 4.24 3.39 33.44
425 24.15 16.76 4.42 3.79 28.38
426 24.41 72.96 5.60 7.21 27.63
427 24.23 38.66 6.65 6.78 34.48
428 24.76 83.53 4.43 6.45 24.89
429 24.43 29.61 5.66 5.53 32.68
430 24.23 64.35 5.62 6.43 34.48
431 24.16 71.70 4.75 5.12 38.88
432 24.54 70.78 6.07 6.42 29.16
433 24.57 53.32 6.12 7.33 31.93
434 24.60 59.83 5.38 9.27 30.18
435 24.53 32.52 7.22 4.63 32.63
436 24.43 67.29 5.63 6.00 30.42
437 24.50 35.38 6.47 5.53 33.94
438 24.88 62.51 6.28 9.40 31.16
439 24.67 26.79 6.00 5.11 32.65
440 24.80 37.28 5.92 5.91 33.69
441 24.59 61.46 6.19 8.29 33.00
442 25.00 68.88 6.51 7.96 30.70
443 24.81 34.12 6.55 7.02 31.94
444 24.61 48.16 6.61 6.32 32.00
445 24.82 50.39 6.54 7.97 34.61
446 24.76 14.26 4.07 3.25 30.21
447 24.65 31.60 6.00 5.25 37.25
448 24.93 79.01 5.35 7.11 27.13
449 24.85 64.41 5.88 8.41 34.00
450 24.95 30.69 6.31 5.54 33.66
451 25.23 42.60 7.16 6.77 31.61
452 25.04 46.56 6.04 6.83 32.61
453 24.95 58.38 5.81 11.16 31.16
454 24.75 81.57 3.50 5.40 27.70
455 24.99 17.82 5.21 3.60 29.72
456 25.13 28.25 5.36 3.97 35.18
457 25.08 38.61 5.24 6.76 32.05
458 25.19 20.99 4.57 5.02 31.20
459 25.27 73.54 6.05 8.70 28.67
460 25.24 15.07 4.52 4.24 27.60
461 25.13 48.88 4.67 7.08 36.08
462 25.30 57.10 6.22 15.51 35.33
463 25.57 32.92 6.15 6.77 30.92
464 25.91 24.36 5.48 5.67 31.35
465 25.47 72.12 6.06 9.22 30.94
466 25.48 19.55 6.12 4.82 28.94
467 25.38 24.35 5.88 5.50 30.38
468 25.45 27.23 6.27 5.09 38.00
469 25.41 55.62 7.14 10.14 37.29
470 25.98 75.68 5.52 10.55 27.29
471 25.75 16.34 4.53 4.76 26.42
472 25.69 29.36 5.88 6.44 33.42
473 25.66 34.56 6.00 6.30 30.30
474 25.55 65.79 6.35 10.04 30.57
475 25.76 48.35 5.64 9.49 30.25
476 25.81 64.10 7.06 13.09 33.19
477 25.73 13.93 3.89 3.43 29.06
478 25.94 66.87 5.97 12.66 29.56
479 26.13 31.74 6.38 6.71 34.26
480 26.11 38.71 7.00 8.42 33.62
481 26.26 60.47 5.73 68.49 24.45
482 26.02 43.02 5.11 9.54 30.29
483 25.96 20.68 5.52 5.10 31.43
484 26.27 45.02 6.34 12.05 30.83
485 26.11 83.99 4.24 11.18 22.56
486 26.00 72.28 5.67 9.47 31.33
487 26.15 40.52 6.54 8.05 34.62
488 26.33 55.04 5.95 97.10 29.98
489 26.57 57.76 6.51 145.87 26.89
490 26.04 73.60 6.47 9.00 29.18
491 26.16 49.42 6.00 17.64 26.64
492 26.60 18.45 4.20 5.43 27.77
493 26.33 70.54 5.90 13.79 31.17
494 26.23 21.64 5.12 5.62 35.12
495 26.40 26.83 5.48 5.74 30.74
496 26.62 34.99 5.63 7.20 32.70
497 26.77 41.98 6.11 15.23 35.21
498 26.56 74.07 6.00 16.00 30.13
499 27.08 78.30 5.64 58.25 24.91
500 26.66 12.98 3.30 4.27 25.46
501 26.53 23.80 6.14 5.57 39.86
502 27.17 50.38 6.05 130.93 30.22
503 27.15 64.32 5.96 127.86 27.48
504 26.91 28.67 6.30 7.22 31.85
505 27.11 31.55 6.17 9.26 34.00
506 26.71 66.82 6.00 22.00 36.81
507 26.69 73.22 5.57 19.00 32.86
508 27.50 67.78 6.14 98.03 26.66
509 26.93 14.65 4.00 5.94 26.88
510 27.00 25.97 5.72 6.85 31.63
511 26.86 43.91 7.10 14.70 37.35
512 27.43 61.62 6.31 183.95 29.09
513 27.05 37.00 5.81 11.55 33.94
514 27.52 53.15 6.76 196.76 32.01
515 27.05 33.52 6.79 9.67 31.67
516 27.28 23.58 6.47 8.12 32.97
517 27.20 16.27 4.62 6.18 29.76
518 27.69 71.56 6.41 84.33 26.93
519 27.24 20.02 4.50 6.64 29.41
520 27.48 13.39 4.11 5.23 26.41
521 27.84 45.18 6.78 151.58 30.13
522 27.50 27.42 5.45 9.94 31.85
523 27.73 55.97 7.29 225.83 26.64
524 27.71 84.55 4.65 56.38 19.14
525 27.50 34.06 6.94 17.47 32.35
526 27.94 74.81 6.41 87.15 27.27
527 28.18 80.87 5.22 63.98 29.22
528 27.57 17.84 5.50 7.65 28.94
529 27.85 59.08 6.63 212.96 28.94
530 27.87 21.57 5.04 9.87 31.18
531 28.01 41.09 6.93 110.60 29.41
532 27.86 15.25 4.03 7.54 29.44
533 27.72 32.98 5.31 13.56 35.00
534 28.06 19.08 5.11 13.27 29.02
535 28.28 48.01 6.74 223.94 30.25
536 27.94 20.39 6.62 10.50 27.25
537 28.27 26.93 5.17 12.38 31.17
538 28.55 38.15 6.37 153.66 33.99
539 28.12 16.96 4.83 11.80 28.60
540 28.56 35.16 6.91 107.72 31.90
541 28.30 32.62 6.61 44.27 34.31
542 28.30 24.54 5.59 12.33 27.97
543 28.99 62.22 6.34 169.24 29.67
544 28.69 64.72 7.68 190.14 32.44
545 28.46 88.17 4.19 13.59 55.97
546 28.78 69.20 7.17 108.30 34.49
547 28.77 73.08 6.48 101.33 28.82
548 28.56 78.00 6.12 72.25 29.19
549 28.86 30.41 6.69 96.48 31.23
550 28.78 50.93 6.70 221.49 30.86
551 28.72 54.15 6.19 205.74 26.84
552 28.85 57.39 6.17 193.34 29.68
553 28.98 43.15 6.88 214.76 31.22
554 28.94 15.61 5.06 51.32 24.23
555 28.99 83.64 5.41 56.31 25.75
556 29.06 20.74 5.85 85.26 28.82
557 28.88 86.07 5.06 37.11 29.63
558 29.06 60.18 7.22 165.38 29.51
559 29.10 76.18 7.83 60.47 32.78
560 29.34 88.36 4.58 10.96 81.25
561 29.47 23.90 5.22 101.80 26.71
562 29.38 46.06 7.00 210.27 33.30
563 29.31 66.90 6.72 114.77 37.57
564 29.52 40.68 7.58 213.19 29.25
565 29.57 48.45 6.54 204.15 30.63
566 29.69 26.23 6.36 148.29 27.68
567 29.76 18.40 5.36 132.37 25.94
568 29.70 32.87 6.47 206.38 30.33
569 29.49 71.01 7.09 73.64 35.07
570 29.88 13.91 4.24 106.64 24.73
571 29.97 28.89 6.15 197.60 29.77
572 29.77 52.49 7.04 155.43 32.62
573 29.78 77.98 7.06 26.62 93.68
574 29.81 90.25 3.41 6.52 76.59
575 29.84 55.44 7.27 150.24 33.89
576 29.96 35.34 6.52 213.93 28.75
577 29.94 73.13 7.58 43.60 109.40
578 29.81 86.31 6.26 16.29 96.62
579 29.91 37.69 6.99 231.97 30.55
580 30.01 58.40 6.82 121.60 33.72
581 29.68 59.63 7.08 139.08 29.62
582 29.89 63.83 7.15 125.32 45.52
583 30.16 10.96 4.37 85.51 25.57
584 29.82 81.88 6.40 30.07 84.90
585 30.26 44.24 7.18 172.16 29.73
586 30.17 68.52 6.41 51.53 91.37
587 30.21 75.35 7.16 20.38 108.73
588 30.20 50.13 7.29 127.26 43.88
589 30.68 65.12 7.36 43.73 117.97
590 30.39 85.03 6.35 19.25 103.48
591 30.63 21.45 5.63 196.80 28.74
592 30.35 61.67 8.24 90.71 37.09
593 30.50 88.51 5.24 6.77 87.31
594 30.80 70.87 7.39 32.21 121.99
595 30.64 16.29 4.52 173.17 25.66
596 30.63 47.01 7.45 130.67 41.88
597 30.41 80.79 5.95 22.53 101.68
598 30.98 39.51 7.47 144.02 32.70
599 30.84 31.21 7.10 185.12 27.96
600 30.71 24.13 6.57 217.17 31.93
601 30.85 60.40 7.22 41.40 123.02
602 31.03 34.01 7.27 154.71 31.04
603 30.93 42.16 6.98 154.94 30.48
604 30.80 52.52 7.58 103.88 48.37
605 30.93 63.21 7.44 44.97 127.53
606 31.32 54.52 7.71 44.34 139.60
607 31.24 11.96 4.43 125.25 28.19
608 31.19 58.97 7.76 37.02 136.30
609 30.94 75.41 8.91 21.00 121.82
610 31.21 18.93 5.52 166.40 27.30
611 31.25 26.46 6.63 193.89 30.63
612 31.24 83.21 6.95 13.93 99.91
613 31.14 28.56 6.97 207.93 32.10
614 31.15 36.60 7.13 136.82 31.22
615 31.07 50.32 7.05 53.72 123.72
616 31.17 73.52 7.33 19.69 131.37
617 31.21 77.95 6.89 14.12 115.84
618 31.19 80.76 7.55 19.48 112.85
619 31.10 86.02 5.56 14.72 100.28
620 31.16 67.75 7.73 19.35 116.80
621 31.44 61.83 7.45 27.47 137.81
622 31.63 14.21 5.09 117.44 27.46
623 31.48 48.99 8.29 47.85 130.74
624 31.70 9.64 4.46 55.00 20.04
625 31.50 44.10 7.24 94.04 36.20
626 31.77 46.79 7.39 47.43 143.39
