#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca1 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
518 32.10 81.58 25.51 18.53 99.50
519 32.17 55.30 120.21 27.64 187.75
520 32.32 67.78 46.19 25.77 145.86
521 32.44 76.72 27.62 20.46 116.57
522 32.33 30.65 186.25 23.70 110.29
523 32.38 60.98 89.27 25.68 186.47
524 32.48 23.86 145.80 22.54 124.56
525 32.37 49.24 167.56 31.53 222.65
526 32.64 74.51 27.04 20.68 116.95
527 32.49 83.63 20.51 16.73 77.51
528 32.61 58.04 85.36 25.29 168.73
529 32.77 85.91 14.75 18.46 63.55
530 32.67 21.12 143.48 24.29 133.60
531 32.86 78.98 21.42 19.72 104.23
532 32.85 44.39 182.92 30.99 213.14
533 32.83 71.55 33.49 22.73 124.22
534 33.01 87.58 15.23 19.84 70.40
535 32.88 32.27 176.25 23.71 152.90
536 32.99 17.97 135.65 21.13 144.52
537 32.77 19.38 148.71 20.57 140.33
538 32.92 40.37 169.20 25.83 192.56
539 32.95 65.55 39.76 24.41 148.51
540 32.87 51.37 92.53 27.68 187.32
541 32.98 26.14 163.59 24.65 146.16
542 33.19 9.17 75.34 15.12 78.23
543 33.42 89.25 11.74 18.11 51.23
544 33.15 12.42 96.50 16.87 129.40
545 33.12 15.04 102.98 19.16 134.10
546 33.16 47.17 136.74 27.96 224.05
547 33.26 53.54 75.57 28.48 192.51
548 33.15 56.09 73.09 27.48 205.21
549 33.21 16.61 101.12 20.76 134.44
550 33.41 82.02 17.20 18.93 70.78
551 33.24 42.54 113.00 26.12 193.69
552 33.33 62.81 55.16 27.32 168.72
553 33.42 68.62 29.76 22.13 87.89
554 33.38 34.24 162.84 27.76 169.93
555 33.40 29.40 164.82 26.54 146.50
556 33.50 59.83 50.44 26.79 180.22
557 33.57 38.33 124.35 27.14 197.82
558 33.59 49.51 91.63 26.85 192.94
559 33.65 22.33 110.47 22.34 176.44
560 33.80 76.61 18.15 20.12 74.49
561 33.92 74.04 21.04 22.36 92.12
562 34.09 31.87 73.63 26.21 179.53
563 34.01 24.62 88.66 24.74 179.11
564 34.04 57.76 44.64 26.40 173.53
565 33.95 71.20 27.07 24.60 110.79
566 34.04 51.47 68.27 29.82 197.68
567 34.06 19.34 104.36 23.74 165.94
568 34.08 65.37 44.50 27.78 133.10
569 34.21 85.14 15.51 19.66 51.56
570 34.11 26.94 94.83 24.53 168.63
571 34.15 36.25 84.62 28.46 207.12
572 34.02 40.69 76.40 26.37 183.67
573 34.30 43.05 68.42 27.00 187.39
574 34.17 55.29 45.83 26.68 186.88
575 34.23 79.35 16.51 19.81 64.07
576 34.26 10.98 62.69 17.69 131.58
577 34.31 14.55 75.46 17.90 142.82
578 34.33 47.55 53.38 28.89 193.56
579 34.40 61.23 38.15 27.53 154.74
580 34.44 67.27 24.62 25.85 106.10
581 34.61 53.20 44.90 28.31 189.63
582 34.63 63.47 33.29 28.40 146.64
583 34.59 34.12 105.93 29.45 200.66
584 34.77 45.17 53.00 28.23 187.21
585 34.80 69.52 21.37 24.99 109.14
586 34.82 88.65 16.08 20.58 35.47
587 34.73 38.51 58.19 28.93 203.42
588 35.00 17.57 61.39 19.64 151.48
589 34.87 22.23 61.06 22.96 174.79
590 35.01 49.50 46.19 27.93 195.29
591 34.86 81.43 16.02 17.20 40.91
592 35.10 59.42 27.43 28.53 148.10
593 35.03 75.38 17.23 22.36 65.28
594 35.06 72.51 21.10 25.26 95.07
595 35.28 30.05 54.66 26.32 201.40
596 35.11 41.02 45.37 29.30 211.67
597 35.19 78.21 16.89 20.62 51.82
598 35.22 56.97 32.10 28.96 170.29
599 35.32 9.34 35.74 16.19 86.06
600 35.24 24.75 57.25 23.89 172.44
601 35.36 27.37 58.33 24.34 185.28
602 35.18 85.03 18.79 18.68 44.60
603 35.30 32.46 56.15 28.03 191.48
604 35.25 82.69 19.00 20.43 51.17
605 35.34 55.00 34.78 26.52 150.44
606 35.34 12.12 46.26 18.38 131.99
607 35.48 20.21 42.99 22.23 153.63
608 35.37 36.19 46.57 26.72 201.39
609 35.54 51.65 31.04 27.24 172.71
610 35.59 64.94 21.43 26.92 107.74
611 35.45 47.21 43.24 27.38 170.74
612 35.65 43.43 39.67 27.36 196.11
613 35.69 67.54 21.92 25.39 98.27
614 35.78 15.06 41.23 19.17 147.03
615 35.67 62.22 23.76 26.55 124.24
616 35.89 91.33 47.32 17.89 15.88
617 35.69 86.96 29.30 17.16 28.21
