#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf9 14A 8 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
263 24.23 67.62 19.11 19.47 168.23
264 24.16 75.37 19.75 17.01 128.31
265 24.37 25.94 16.12 18.38 187.01
266 24.34 59.01 19.77 23.33 191.45
267 24.36 83.27 36.07 12.45 80.91
268 24.39 79.97 31.43 14.44 108.76
269 24.66 17.34 12.52 15.00 109.98
270 24.75 44.19 20.25 26.29 216.51
271 24.57 63.30 19.39 21.04 180.84
272 24.79 20.44 15.00 16.74 169.89
273 24.64 48.58 18.83 25.73 199.29
274 24.80 56.55 19.91 23.62 198.25
275 25.03 85.41 77.44 13.31 61.56
276 25.11 30.98 17.87 20.58 201.98
277 24.98 51.57 19.93 24.96 207.59
278 25.06 71.17 22.85 17.90 137.89
279 25.19 33.71 17.79 22.23 201.28
280 25.11 65.58 19.69 20.65 165.90
281 25.04 77.19 37.88 16.07 118.85
282 25.13 61.07 18.98 24.04 172.19
283 25.16 73.69 30.34 17.22 130.21
284 25.23 41.54 20.00 25.78 207.78
285 25.27 28.30 18.35 19.66 200.24
286 25.26 36.33 18.43 22.98 208.50
287 25.38 54.05 20.60 24.59 194.91
288 25.31 68.34 21.20 19.54 152.51
289 25.51 38.88 18.60 25.21 223.36
290 25.43 23.55 14.97 18.03 187.68
291 25.50 46.30 21.38 26.41 213.80
292 25.44 81.57 95.53 14.59 79.77
293 25.74 58.65 22.58 24.24 187.40
294 25.70 79.31 128.98 17.01 117.01
295 25.93 15.77 13.12 13.41 86.29
296 25.91 18.56 14.67 16.64 168.54
297 25.80 49.12 20.82 25.83 202.96
298 26.05 26.12 16.93 19.43 189.82
299 25.98 63.56 22.25 21.43 175.29
300 25.94 75.17 100.92 19.04 132.12
301 25.98 83.56 139.30 14.63 62.58
302 26.04 56.10 22.77 23.74 198.51
303 26.22 43.67 21.89 25.08 205.80
304 26.14 70.27 33.44 18.98 138.52
305 26.40 21.23 16.47 16.94 183.46
306 26.20 51.83 20.84 24.63 197.10
307 26.35 86.49 100.93 13.11 41.89
308 26.31 66.13 27.06 19.69 162.38
309 26.30 61.08 22.72 23.84 172.39
310 26.48 31.68 19.03 21.70 199.26
311 26.46 72.63 81.39 18.00 141.22
312 26.55 34.32 18.10 20.93 197.99
313 26.65 76.69 184.40 18.17 124.23
314 26.54 40.69 20.68 24.20 209.79
315 26.60 29.04 18.35 21.43 195.01
316 26.65 68.33 52.69 21.56 161.56
317 26.62 37.01 19.07 23.37 205.79
318 26.99 79.58 185.89 18.56 108.80
319 26.41 84.53 138.90 13.90 63.65
320 26.70 46.41 19.52 22.83 195.01
321 26.94 54.21 21.80 25.44 188.68
322 26.79 82.02 158.23 14.41 80.05
323 26.95 23.92 17.27 17.94 179.89
324 26.99 59.32 23.63 21.97 184.57
325 27.04 56.98 23.16 26.77 190.26
326 27.00 49.13 22.06 25.39 194.50
327 27.16 62.87 28.06 22.02 175.72
328 27.17 18.25 16.02 15.60 145.50
329 27.40 65.14 45.09 21.98 170.16
330 27.41 74.15 180.98 19.10 133.13
331 27.33 84.86 144.54 15.30 81.20
332 27.45 27.12 19.22 19.32 186.61
333 27.34 70.28 160.66 19.95 150.61
334 27.35 51.71 22.51 27.25 204.93
335 27.41 44.17 21.64 26.81 213.74
336 27.48 38.86 20.32 24.60 213.98
337 27.62 32.67 20.58 22.31 202.66
338 27.68 67.52 171.12 21.80 154.99
339 27.78 41.63 22.40 24.32 200.27
340 27.86 87.23 92.76 14.26 44.04
341 27.80 35.30 20.74 24.50 195.50
342 27.80 21.49 18.09 15.76 168.20
343 27.88 60.91 35.33 24.45 167.44
344 27.88 82.74 169.37 18.45 111.26
345 27.90 30.14 18.81 19.68 170.89
346 27.84 47.20 21.82 24.93 200.21
347 28.08 16.00 15.36 13.58 117.61
348 28.05 71.88 200.94 22.19 145.32
349 28.03 55.37 27.25 25.57 186.30
350 28.14 77.01 175.74 18.44 114.06
351 28.03 58.09 31.11 24.07 189.01
352 28.23 25.19 18.93 17.10 173.75
353 28.23 50.07 25.10 26.08 188.78
354 28.26 52.91 28.10 24.98 193.23
355 28.29 80.43 173.05 18.10 106.23
356 28.39 37.26 23.77 22.90 206.02
357 28.35 19.09 21.40 17.31 164.64
358 28.36 63.76 108.12 24.86 189.80
359 28.53 43.65 26.48 25.46 215.46
360 28.61 78.90 160.22 18.52 116.62
361 28.69 69.11 202.90 22.26 157.49
362 28.71 39.74 25.18 24.34 203.72
363 28.71 45.93 26.20 23.90 211.14
364 28.71 66.33 216.71 24.89 164.72
365 28.73 74.71 173.44 20.43 131.09
366 28.73 28.03 23.04 18.81 183.62
367 28.66 84.96 110.42 16.65 84.50
368 28.93 23.40 25.24 17.26 178.34
369 28.79 32.99 23.23 21.44 194.78
370 28.96 59.17 76.35 26.62 194.74
371 28.93 61.85 103.40 23.74 176.42
372 28.98 88.69 34.74 11.37 40.19
373 29.02 48.56 28.94 26.75 198.85
374 29.03 56.50 49.39 25.63 193.65
375 29.21 30.65 27.72 20.86 188.07
376 29.20 35.27 28.67 23.73 201.62
377 29.28 41.85 31.68 25.66 211.68
378 29.21 54.00 54.29 26.44 200.04
379 29.43 21.02 30.34 17.14 158.72
380 29.27 71.93 193.82 22.58 130.47
381 29.36 81.61 87.92 17.63 107.00
382 29.31 51.35 40.51 25.00 187.20
383 29.56 18.12 37.96 16.78 161.22
384 29.48 15.68 36.58 15.70 153.18
385 29.49 26.24 28.46 18.51 165.97
386 29.53 37.65 29.38 24.73 198.64
387 29.55 64.45 207.60 24.83 158.89
388 29.58 77.96 99.37 19.64 119.08
389 29.65 44.23 37.92 26.80 197.87
390 29.75 46.81 44.49 27.40 202.89
391 29.89 67.09 208.21 24.66 166.37
392 29.95 28.87 44.52 21.56 184.87
393 29.84 60.85 192.10 29.01 158.53
394 29.96 58.06 200.93 28.82 185.58
395 29.99 69.47 153.60 25.42 151.34
396 30.05 75.43 90.71 20.26 145.22
397 29.99 32.78 44.94 21.86 192.48
398 29.97 39.97 45.01 25.94 205.16
399 30.12 13.38 57.63 14.65 121.88
400 30.09 55.48 160.97 28.44 189.10
401 30.08 23.84 56.27 18.09 177.87
402 30.14 49.69 79.10 25.63 197.82
403 30.26 83.71 41.46 16.45 89.98
404 30.19 52.81 142.21 27.57 187.46
405 30.53 88.77 23.05 14.59 61.48
406 30.32 35.28 47.89 24.24 204.36
407 30.39 72.67 113.79 22.08 152.13
408 30.45 62.93 223.04 27.85 181.22
409 30.46 42.42 86.10 25.71 205.86
410 30.59 80.70 48.66 18.50 112.76
411 30.60 19.85 99.82 17.32 161.10
412 30.68 16.14 117.77 16.76 157.41
413 30.87 30.72 126.38 22.81 191.17
414 30.63 37.77 81.93 25.00 210.28
415 30.65 44.96 109.15 26.42 204.18
416 30.72 47.38 199.03 28.68 196.69
417 30.93 65.13 200.25 25.85 169.58
418 30.98 22.43 170.20 20.41 164.22
419 30.83 59.86 226.16 26.62 180.89
