#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf6 14A 8 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
481 33.64 86.57 96.46 14.64 16.75
482 33.69 24.80 155.20 24.70 122.58
483 33.83 21.53 116.81 23.01 122.57
484 33.86 18.35 102.50 22.99 115.98
485 33.85 53.77 63.20 22.71 132.36
486 33.97 50.92 71.45 23.95 134.14
487 33.97 71.49 27.67 18.33 86.97
488 34.19 84.49 171.22 19.86 61.66
489 34.08 66.89 26.98 18.54 93.70
490 34.19 48.16 83.61 24.31 134.09
491 34.16 64.16 30.25 19.51 95.19
492 34.19 39.34 134.37 26.37 150.37
493 34.19 42.38 117.20 25.76 136.48
494 34.33 36.82 91.99 25.36 140.86
495 34.31 45.59 81.72 23.89 127.40
496 34.62 12.42 54.27 21.71 87.67
497 34.31 28.03 121.20 24.49 134.01
498 34.41 34.13 89.46 26.34 138.55
499 34.42 61.46 30.67 21.13 109.01
500 34.44 31.36 130.74 26.92 124.30
501 34.27 74.16 39.81 19.35 77.98
502 34.77 89.39 113.84 18.03 32.69
503 34.58 58.41 32.67 20.93 109.15
504 34.57 76.63 107.01 18.61 63.36
505 34.72 55.74 33.70 22.01 111.15
506 34.82 69.04 32.97 20.72 97.38
507 34.81 16.10 72.20 21.98 111.28
508 34.90 22.89 91.80 25.09 125.37
509 34.97 78.99 166.90 17.93 61.75
510 34.96 25.43 93.61 24.16 132.47
511 35.05 19.98 74.73 22.58 107.45
512 35.00 52.82 40.67 23.98 124.69
513 35.13 81.78 185.88 23.43 78.57
514 35.13 49.83 42.84 24.92 126.24
515 34.98 71.73 72.39 20.16 73.70
516 35.30 40.93 70.00 26.01 134.16
517 35.16 65.79 31.01 21.06 109.04
518 35.33 43.83 46.87 24.81 125.64
519 35.19 86.36 117.47 23.47 48.17
520 35.31 10.65 32.79 20.56 33.00
521 35.45 74.61 160.93 21.09 60.37
522 35.45 38.05 59.63 24.45 130.72
523 35.61 30.21 75.26 24.84 141.53
524 35.49 47.02 44.90 25.97 129.71
525 35.39 63.01 29.90 20.91 101.14
526 35.62 35.54 51.00 25.48 129.72
527 35.57 60.01 31.87 22.10 107.01
528 35.58 27.81 61.14 25.90 123.19
529 35.69 32.90 49.12 26.56 136.94
530 35.78 57.05 30.51 22.67 111.75
531 35.97 84.21 122.81 32.55 72.99
532 35.84 14.11 38.03 21.16 75.14
533 35.97 17.89 54.73 23.63 113.57
534 35.99 54.49 29.74 23.28 118.13
535 36.10 77.46 183.23 23.64 83.33
536 36.05 66.84 124.92 23.22 95.65
537 35.95 69.50 100.99 22.72 96.09
538 36.12 72.34 168.75 23.73 81.41
539 36.12 51.75 32.16 26.49 111.49
540 36.14 89.02 83.59 36.35 50.25
541 36.20 23.02 43.07 24.84 122.93
542 36.33 25.85 48.56 27.36 136.16
543 36.30 92.08 26.20 16.20 7.82
