#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ra7 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
300 23.93 15.87 12.85 8.60 80.82
301 24.00 46.91 20.18 15.47 144.61
302 23.85 32.86 18.94 14.28 133.56
303 23.94 72.33 23.31 11.40 50.19
304 24.05 28.55 18.56 11.92 128.03
305 24.01 39.11 19.47 15.28 146.67
306 24.00 69.72 22.38 12.38 44.53
307 24.13 78.76 18.50 10.24 41.49
308 24.01 24.20 16.68 11.41 106.18
309 24.34 74.66 23.45 11.07 51.40
310 24.19 44.46 20.23 16.43 152.45
311 24.27 51.15 20.73 14.71 104.42
312 24.23 54.75 19.64 15.21 103.94
313 24.25 66.65 18.72 12.45 53.21
314 24.23 18.84 15.40 9.30 78.28
315 24.31 34.88 18.74 13.71 131.49
316 24.60 37.10 19.51 13.90 142.65
317 24.43 41.65 20.90 15.58 132.61
318 24.49 26.44 18.88 11.84 99.23
319 24.46 59.19 19.26 14.34 77.12
320 24.51 21.39 15.50 10.29 85.15
321 24.75 62.84 20.81 13.52 61.72
322 24.99 68.35 21.93 11.92 61.68
323 25.09 52.48 21.63 15.22 95.61
324 24.99 56.64 21.13 13.68 84.58
325 25.08 77.02 25.61 10.21 55.99
326 24.81 14.45 12.92 7.63 49.29
327 25.11 32.62 18.48 13.18 111.45
328 25.06 48.66 20.23 14.23 100.62
329 25.17 24.37 17.62 11.38 94.99
330 25.27 60.69 22.75 14.65 75.73
331 25.01 30.33 17.43 12.38 93.66
332 25.17 16.88 15.12 9.40 75.10
333 25.34 70.49 29.41 12.34 67.60
334 25.17 72.54 34.60 11.29 72.05
335 25.31 80.34 25.84 9.95 60.36
336 25.39 38.86 19.37 14.46 118.42
337 25.39 46.22 21.19 14.25 118.86
338 25.44 43.65 20.04 14.92 126.45
339 25.43 65.11 23.29 13.34 69.93
340 25.29 18.78 16.92 9.43 77.73
341 25.36 29.00 18.54 13.24 106.06
342 25.53 35.31 19.51 14.40 113.58
343 25.59 54.40 20.32 15.00 82.70
344 25.50 20.01 16.06 10.45 76.21
345 25.73 27.46 18.36 11.54 92.92
346 25.64 41.02 20.79 15.29 109.60
347 25.69 74.44 66.14 10.78 76.74
348 25.76 58.46 21.79 14.43 85.27
349 25.77 22.30 16.33 10.98 80.53
350 25.90 14.75 14.75 8.39 67.78
351 25.97 50.34 20.68 14.59 91.60
352 25.75 66.71 22.75 13.46 65.64
353 26.00 62.31 22.86 13.96 75.39
354 26.20 30.92 18.77 12.98 91.92
355 26.01 78.17 137.71 12.11 76.62
356 26.32 37.11 21.73 13.65 100.25
357 26.25 56.29 23.54 14.43 94.17
358 26.27 47.85 22.65 15.39 101.21
