#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
tim18 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
202 23.28 21.60 19.65 6.48 210.07
203 23.38 52.81 67.47 19.62 91.47
204 23.55 42.94 52.00 16.35 182.42
205 23.43 70.43 72.87 14.95 67.93
206 23.66 28.16 27.81 8.86 222.43
207 23.56 31.27 31.59 10.89 213.64
208 23.50 38.47 50.17 13.75 212.17
209 23.68 45.19 55.49 15.92 155.86
210 23.45 61.95 78.16 19.19 77.73
211 23.53 75.75 60.17 11.56 80.96
212 23.76 24.96 25.82 6.53 199.70
213 23.68 67.27 71.12 15.32 70.27
214 23.93 36.18 41.28 13.16 210.65
215 24.05 18.58 16.74 5.36 193.56
216 24.06 54.90 73.58 19.64 90.11
217 24.06 73.11 66.35 13.39 94.80
218 24.13 40.67 48.71 15.53 188.79
219 24.04 57.38 76.82 22.48 82.90
220 24.06 12.08 7.13 1.13 83.96
221 24.28 59.99 78.71 19.59 92.37
222 24.42 33.49 37.02 12.46 202.97
223 24.29 64.03 78.28 18.38 83.35
224 24.31 47.48 64.59 19.09 128.34
225 24.35 50.20 73.18 20.78 110.82
226 24.47 77.38 50.70 8.65 75.00
227 24.66 15.26 12.63 2.77 145.64
228 24.71 21.99 24.25 5.59 201.16
229 24.60 68.91 76.13 17.45 96.59
230 24.86 52.81 75.71 21.67 108.12
231 24.91 30.55 37.24 9.30 184.15
232 25.13 27.64 29.45 7.78 196.84
233 25.07 38.74 46.88 14.17 169.90
234 24.95 66.00 83.44 18.34 96.28
235 25.03 42.35 52.37 15.28 148.57
236 25.28 24.94 26.46 7.14 190.58
237 25.05 61.72 83.33 17.52 99.24
238 25.10 74.57 76.58 13.95 113.67
239 25.15 45.22 60.64 17.26 130.32
240 25.32 35.68 39.34 13.43 172.39
241 25.19 57.98 79.59 20.42 104.03
242 25.54 12.37 11.06 2.15 99.30
243 25.41 55.23 75.66 20.80 109.06
244 25.48 48.04 73.09 19.91 129.57
245 25.33 71.48 87.12 13.16 125.89
246 25.56 18.28 18.96 4.26 148.92
247 25.59 50.52 72.10 21.29 123.97
248 25.70 77.25 74.02 9.69 117.64
249 25.87 32.48 36.26 10.59 150.06
250 25.79 63.08 97.61 18.52 122.11
251 25.86 68.11 141.18 17.18 127.72
252 26.03 21.00 21.31 4.65 167.02
253 25.92 60.04 88.62 21.37 120.00
254 25.94 65.64 99.12 21.79 121.82
255 26.14 43.19 57.58 18.04 151.41
256 26.24 15.51 15.30 3.36 108.88
257 26.22 37.67 45.50 14.56 148.83
258 26.22 52.46 80.14 21.29 128.72
259 26.32 29.58 33.67 9.02 166.75
260 26.25 40.32 51.83 16.21 149.46
261 26.29 73.51 195.44 14.41 160.13
262 26.41 46.05 63.80 19.30 136.53
263 26.80 82.54 63.34 6.23 96.12
264 26.43 57.16 90.22 21.86 138.92
265 26.54 23.91 24.96 6.30 162.26
266 26.73 26.89 29.64 7.95 154.41
267 26.57 34.82 37.26 11.34 144.35
268 26.78 70.42 224.45 16.94 175.14
269 26.74 79.11 121.00 11.33 152.71
270 26.71 48.74 70.38 21.81 140.18
271 26.71 54.91 84.14 21.86 140.75
272 26.92 11.11 8.70 1.20 67.11
273 27.11 61.76 232.80 23.39 155.85
274 27.11 64.57 235.05 22.87 159.28
275 26.96 75.96 186.54 12.83 176.08
276 27.14 67.47 233.35 19.39 171.98
277 27.16 18.01 18.59 3.98 113.87
278 27.19 32.28 38.75 9.92 149.87
279 27.02 59.24 123.50 19.80 172.20
280 27.20 44.16 59.61 17.65 145.72
281 27.35 50.34 75.72 20.81 164.77
282 27.31 41.62 56.48 18.60 163.48
283 27.30 14.16 13.13 2.40 86.98
284 27.35 21.16 22.44 5.19 142.76
285 27.39 52.58 85.30 22.67 175.75
286 27.40 36.75 48.42 14.97 159.24
287 27.63 39.08 52.31 15.75 156.34
288 27.64 29.63 34.92 10.68 143.45
289 27.64 72.48 225.58 19.34 203.54
290 27.76 24.74 26.70 7.29 144.60
291 27.65 46.08 63.53 19.57 155.40
292 27.82 57.18 232.10 24.18 189.26
293 28.00 34.50 43.60 13.34 156.77
294 28.03 48.15 85.02 22.87 182.13
295 28.01 54.42 212.23 25.98 200.70
296 27.85 81.31 107.12 9.98 137.96
297 27.98 78.01 149.04 12.85 208.11
298 28.31 16.22 19.81 3.16 115.07
299 28.32 9.22 7.50 1.07 63.74
300 28.27 27.16 32.35 7.88 148.19
301 28.26 74.96 174.93 18.31 228.49
302 28.32 12.42 14.05 1.97 96.52
303 28.28 59.99 240.88 26.83 209.24
304 28.21 69.40 217.88 22.09 217.09
305 28.56 19.39 23.28 4.16 115.72
306 28.35 43.60 66.34 18.87 184.42
307 28.32 63.28 244.01 26.81 214.88
308 28.47 31.79 38.47 12.42 155.79
309 28.43 40.87 61.46 17.44 165.33
310 28.36 66.40 237.86 24.02 201.21
311 28.55 22.31 26.55 6.11 133.51
312 28.53 51.01 142.83 23.43 211.55
313 28.59 37.12 49.93 14.09 162.36
314 28.96 79.83 90.83 14.64 223.16
315 29.10 82.75 71.22 11.25 188.98
316 28.86 45.56 87.71 22.13 205.07
317 28.89 71.48 173.27 21.64 219.71
318 29.04 29.12 37.00 10.51 166.23
319 29.03 55.70 247.73 32.35 238.19
320 29.20 24.57 32.32 7.57 145.01
321 29.13 48.35 191.27 23.44 230.71
322 29.65 34.11 54.54 12.52 179.62
323 29.23 58.44 244.21 29.02 234.32
324 29.32 76.24 111.68 17.70 230.47
325 29.27 39.11 58.12 16.84 187.78
326 29.34 53.02 244.94 29.28 230.32
327 29.26 64.52 226.40 29.47 217.13
328 29.36 67.83 196.98 23.68 225.54
329 29.33 42.13 81.17 19.85 203.15
330 29.43 61.53 228.95 29.80 237.01
331 29.63 11.05 16.09 2.06 101.20
332 29.61 17.79 22.70 3.91 128.13
333 30.04 86.76 38.11 6.49 93.03
334 29.66 31.53 44.34 11.26 177.69
335 29.69 36.37 59.36 15.66 188.49
336 29.90 73.10 136.40 22.46 212.28
337 29.82 26.88 37.31 8.21 169.85
338 29.78 50.26 242.75 26.14 239.53
339 29.78 21.05 26.47 4.80 144.86
340 29.90 46.25 237.63 23.50 230.15
341 30.15 70.23 124.16 25.51 204.75
342 30.04 43.73 219.62 24.64 233.11
343 30.20 54.81 241.86 30.47 242.39
344 30.28 40.69 160.83 21.20 227.97
345 30.25 57.29 231.37 31.49 244.75
346 30.33 65.19 165.10 26.81 223.03
347 30.38 78.36 80.72 16.96 209.04
348 30.62 81.97 66.73 14.30 165.34
349 30.33 38.11 119.60 15.23 213.91
350 30.38 24.23 45.38 7.32 184.42
351 30.49 29.12 58.78 10.38 200.67
352 30.60 60.10 212.76 28.95 244.53
353 30.51 14.32 23.43 2.89 129.80
354 30.69 62.82 160.31 28.77 237.14
355 30.69 52.44 231.64 30.13 249.21
356 30.84 67.46 129.48 26.07 214.18
357 30.74 75.20 90.45 20.92 195.69
358 30.61 18.01 33.36 4.36 153.63
359 30.77 47.41 246.17 29.08 251.48
360 30.65 31.46 79.00 13.30 209.08
361 30.81 49.85 241.22 28.40 251.84
362 30.87 10.38 20.49 1.75 110.94
363 30.92 21.63 43.99 6.41 184.93
364 31.01 35.96 230.02 15.90 221.27
365 31.07 42.70 245.09 24.25 239.23
366 30.99 45.02 238.86 24.67 237.57
367 31.11 26.88 154.71 8.24 211.10
368 31.40 72.44 88.28 20.92 154.60
369 31.30 33.04 220.05 14.56 236.78
370 31.39 55.09 201.52 29.62 246.80
371 31.85 82.61 68.63 14.67 123.76
372 31.39 38.59 235.14 19.83 234.53
373 31.44 57.92 160.29 31.79 244.27
374 31.44 69.72 103.56 23.87 172.48
375 31.47 24.36 179.49 7.35 215.46
376 31.64 12.71 119.76 2.80 166.62
377 31.68 15.89 120.57 4.44 193.88
378 31.65 40.73 240.11 24.94 245.83
379 31.74 19.27 180.48 5.66 220.32
380 31.63 30.31 223.19 12.68 235.03
381 31.73 64.87 111.92 29.43 199.73
382 31.67 78.43 73.80 13.63 148.20
383 31.79 50.89 206.66 32.73 252.48
384 31.85 61.66 126.86 31.55 224.61
385 31.89 75.65 80.18 22.01 168.35
386 31.98 48.21 218.35 30.65 251.78
387 31.98 45.58 237.47 32.97 251.69
388 32.11 52.90 211.52 28.23 249.85
389 32.04 34.63 232.53 16.75 246.86
390 32.15 27.86 222.27 12.47 245.21
391 32.33 85.89 67.54 13.02 75.87
392 32.21 22.33 198.82 7.60 230.07
393 32.20 36.97 236.94 20.65 248.04
394 32.35 67.51 102.15 30.38 183.42
395 32.31 10.12 104.99 2.25 140.88
396 32.21 42.88 221.07 26.87 251.29
397 32.46 88.95 80.52 8.13 41.21
398 32.52 59.43 114.23 35.23 228.45
399 32.54 25.37 209.42 9.87 242.27
400 32.55 70.50 91.74 26.18 166.44
401 32.69 32.47 224.81 15.40 249.94
402 32.67 56.85 131.23 29.98 241.24
403 32.69 39.67 214.79 21.54 250.03
404 33.03 76.90 81.75 22.88 133.01
405 32.75 13.84 144.06 3.66 195.86
406 32.81 30.04 222.48 15.70 250.85
407 32.86 63.34 100.18 28.20 179.74
408 32.86 73.39 88.38 22.18 139.20
409 32.86 16.94 176.86 5.23 224.44
410 33.01 54.39 124.88 34.89 248.65
411 32.94 19.92 201.35 6.77 241.73
412 32.91 49.93 156.90 30.59 250.44
413 33.06 8.21 71.92 1.15 122.29
414 33.04 46.77 168.95 30.88 252.12
415 33.15 34.95 212.33 18.78 252.02
416 33.15 44.33 193.79 29.02 252.27
417 33.31 41.71 188.08 26.68 251.40
418 33.32 37.66 212.61 22.41 251.48
419 33.36 60.98 93.96 30.85 173.18
420 33.36 65.67 88.66 27.02 156.74
421 33.49 22.61 171.30 9.03 245.83
422 33.51 79.78 73.14 20.60 102.98
423 33.40 27.92 167.18 13.02 245.75
424 33.54 51.95 102.38 33.75 243.74
425 33.49 68.26 86.91 23.07 118.80
426 33.61 11.59 125.59 3.39 199.26
427 34.16 83.66 195.86 18.23 47.80
428 33.76 86.40 178.78 13.82 42.43
429 33.70 25.64 154.17 11.10 250.48
430 33.77 70.95 97.45 30.68 135.50
431 33.88 15.30 136.62 4.95 235.40
432 33.88 58.43 97.67 32.11 190.14
433 33.86 48.83 123.00 31.19 249.08
434 33.73 55.80 105.07 35.10 218.71
435 33.94 30.44 158.71 17.08 250.03
436 34.13 73.72 90.43 26.72 116.49
437 33.94 18.92 135.57 6.37 240.14
438 33.98 33.09 159.05 18.82 251.71
439 34.16 63.28 101.59 34.15 156.75
440 34.34 8.07 70.65 1.89 185.31
441 34.19 36.01 168.90 23.03 251.18
442 34.31 46.04 104.80 28.62 250.12
443 34.26 89.06 124.26 9.49 26.45
444 34.31 43.60 140.11 30.03 249.16
445 34.43 40.73 125.34 26.03 250.25
446 34.51 53.60 91.57 35.88 222.39
447 34.64 68.48 99.28 34.05 127.20
448 34.58 65.74 98.23 33.08 127.84
449 34.64 23.93 134.83 10.28 248.95
450 34.62 27.62 119.93 12.89 247.68
451 34.65 50.97 100.22 33.71 235.12
452 34.66 60.65 96.33 33.82 162.71
453 34.97 80.90 215.34 26.89 59.68
454 34.84 20.75 90.93 7.97 241.82
455 34.81 78.03 159.83 27.69 75.65
