X S
70.38 20.0791386751676
70.49 19.817601188317
70.51 18.1628132244522
70.54 18.9541913820712
70.88 18.3739583739457
70.99 19.3357749452665
71.17 19.8543317051723
71.42 18.5472964659224
71.48 18.6311885022587
71.55 19.0509419796797
71.6 19.0897059996248
71.64 18.0913585652518
71.98 17.206592145753
72.11 17.9465004937121
72.15 18.2192563733346
72.53 18.2994180452304
72.58 16.6942201670531
72.58 18.3304962779791
72.67 17.6658454283602
72.77 18.1563393491063
72.85 17.9593024492146
73.11 17.5049698037232
73.25 16.6520860632443
73.47 17.1334656338377
73.53 17.5338966744078
73.61 17.1575540369461
73.71 16.187742550829
73.72 16.5275191778891
73.87 17.2431590422142
73.98 16.3582049876035
74.13 16.780490368499
74.2 15.8402442214273
74.33 16.2935857834322
74.45 17.6592670040113
74.53 16.1758082614932
74.69 16.6823981791934
74.81 17.4210155968402
74.84 15.7453364258227
75.02 17.1675274742273
75.05 16.8500603606257
75.16 16.100318094013
75.3 15.8109947189673
75.4 16.0558448668307
75.45 16.4054255388324
75.54 16.7760288861785
75.82 15.7013575662485
75.83 16.0881417378914
75.92 16.2132430541838
75.95 16.9743518726248
76.14 15.6442835183908
76.21 16.5585277987155
76.37 16.6752415368738
76.54 16.5350818321906
76.66 16.4653683037709
76.9 17.1923032097795
76.95 15.961159924901
77.09 16.0912019752831
77.24 15.9828157396245
77.32 16.5862774092471
77.32 16.5509392170865
77.45 17.2910586835373
77.68 16.3913447702028
77.74 17.2499075898976
78.16 16.2976841998867
78.22 16.1558727655218
78.25 16.7890194212322
78.41 16.3373799193052
78.43 15.8535157282593
78.46 16.659747029966
78.51 16.0391334937507
78.88 16.6092332961212
78.95 16.7060524405839
79.23 16.2925103572533
79.38 16.2418137387447
79.43 16.2314325095183
79.45 15.8431432522763
79.46 16.1099796926064
79.54 16.6640103710818
79.7 16.9898275729242
