#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
em8 14A 4 Kruppel even-skipped fushi-tarazu
166 13.55 68.93 8.49 6.74 29.59
167 13.77 27.27 10.19 5.83 44.79
168 13.72 30.60 11.60 7.17 43.42
169 13.98 37.22 11.58 7.65 45.98
170 13.81 44.60 13.00 10.71 41.00
171 14.11 40.31 10.99 8.64 47.52
172 14.08 32.17 10.14 5.78 47.17
173 14.34 46.09 11.86 9.03 49.56
174 14.30 58.01 11.27 8.71 44.30
175 14.35 54.39 11.79 9.48 46.64
176 14.14 67.25 9.52 8.00 36.60
177 14.34 35.11 10.69 6.82 48.80
178 14.39 69.11 8.68 8.22 34.86
179 14.39 28.73 10.67 6.43 44.76
180 14.52 42.58 11.16 6.45 45.84
181 14.59 52.27 11.70 9.62 43.98
182 14.80 25.37 10.49 6.05 43.66
183 14.52 27.15 11.15 7.80 41.90
184 14.62 31.30 11.57 6.38 48.89
185 14.72 38.95 11.43 7.29 51.50
186 14.74 71.01 8.10 6.21 31.95
187 14.66 60.49 10.58 8.27 45.85
188 14.73 67.92 8.29 6.32 38.75
189 14.86 21.96 9.12 5.64 37.24
190 14.81 61.79 10.25 13.75 42.50
191 14.99 58.71 10.12 7.75 45.02
192 15.22 30.03 12.25 7.18 46.26
193 15.02 56.27 11.35 10.12 41.23
194 15.13 26.91 10.10 6.00 42.90
195 15.01 46.30 14.25 12.00 48.38
196 15.00 33.92 12.00 7.00 48.20
197 15.13 48.24 12.51 11.11 45.98
198 15.42 23.13 9.65 5.56 39.37
199 15.21 35.30 11.71 5.58 48.94
200 15.28 36.73 11.43 8.50 48.39
201 15.29 44.11 11.63 7.58 50.81
202 15.42 65.37 10.30 9.72 40.81
203 15.56 32.88 11.24 6.96 50.95
204 15.41 54.44 10.92 7.62 47.93
205 15.17 31.74 11.12 7.25 48.12
206 15.36 67.48 9.21 8.85 39.21
207 15.59 62.08 11.11 9.67 44.44
208 15.54 37.90 11.32 7.89 48.66
209 15.47 57.53 11.19 13.25 43.94
210 15.75 24.05 11.37 8.07 39.48
211 15.65 46.35 11.92 10.51 48.82
212 15.66 50.88 11.68 11.58 52.63
213 16.04 21.71 9.34 5.52 38.77
214 15.77 58.71 11.31 12.33 45.56
215 15.82 49.10 12.31 11.58 50.83
216 16.05 28.46 11.42 6.68 45.30
217 15.92 52.57 11.12 8.58 51.27
218 16.03 35.05 12.04 8.82 45.57
219 16.19 44.46 12.58 9.59 49.59
220 16.34 63.00 10.64 10.36 44.59
221 16.03 38.45 12.00 9.18 50.18
222 16.00 56.51 10.85 13.46 46.46
223 16.26 39.82 12.02 8.53 50.03
224 15.95 59.56 12.00 14.00 48.00
225 16.11 69.78 9.76 11.38 35.19
226 16.29 47.86 11.06 8.49 46.37
227 16.21 55.61 10.62 10.56 48.19
228 16.48 64.65 10.26 10.91 42.07
229 16.52 37.49 11.76 8.96 48.18
230 16.46 60.22 11.14 10.74 44.96
231 16.73 58.02 11.22 10.55 47.43
232 16.47 30.98 11.36 8.85 50.82
233 16.67 32.56 11.90 8.72 49.39
234 16.75 55.64 11.72 11.83 50.31
235 16.60 51.70 13.22 11.76 50.76
236 16.68 23.62 9.87 6.51 44.40
237 16.64 26.42 11.46 6.69 43.10
238 16.58 41.95 12.50 10.32 49.80
239 16.92 70.12 9.33 11.65 37.61
240 16.83 49.89 11.95 10.08 52.73
241 16.61 53.43 10.85 11.70 47.45
242 16.87 35.56 12.11 8.23 48.04
243 16.86 71.75 8.69 9.71 33.24
244 17.32 29.94 11.04 7.88 47.85
245 16.87 46.15 13.29 13.51 51.02
246 17.12 42.98 12.66 11.42 50.25
247 16.99 62.36 10.86 10.36 45.36
248 17.20 44.63 14.00 10.31 54.78
249 17.02 48.76 13.23 12.54 56.77
250 17.19 28.64 11.57 9.36 47.68
251 17.39 23.04 10.16 6.69 44.31
252 17.17 37.41 12.15 9.20 50.75
253 17.22 47.64 11.39 10.57 51.13
254 17.34 27.19 10.61 6.90 49.16
255 17.32 63.90 12.13 17.11 39.97
256 17.49 52.77 11.44 11.72 50.79
257 17.46 55.94 12.24 15.79 47.18
258 17.56 60.16 10.62 8.62 51.10
259 17.55 61.61 11.47 11.50 44.29
260 17.63 39.03 12.45 8.73 53.97
261 17.54 46.19 12.00 9.56 53.10
262 17.75 31.83 11.75 8.82 46.77
263 17.71 33.89 11.58 8.96 50.46
264 17.50 41.54 11.22 9.78 52.13
265 17.72 48.60 12.50 14.13 52.37
266 17.75 25.61 10.02 6.86 45.89
267 17.78 36.54 11.74 7.15 58.20
268 18.06 64.59 11.12 15.87 44.27
269 17.95 50.66 12.58 10.99 50.28
270 17.89 57.38 10.38 9.64 48.74
271 17.72 74.21 8.94 12.82 31.47
272 17.93 69.89 9.11 10.64 35.84
273 17.97 43.70 12.16 13.83 51.62
274 18.21 28.63 10.94 7.21 48.48
275 18.10 75.53 7.65 10.47 28.62
276 18.63 46.35 12.63 12.34 55.10
277 18.38 40.93 12.78 11.14 52.71
278 18.73 62.05 10.92 13.32 43.98
279 18.22 73.39 8.98 12.50 36.57
280 18.50 66.04 10.69 15.16 42.48
281 18.30 25.13 10.32 5.63 48.53
282 18.47 60.12 12.31 19.50 46.75
283 18.33 23.60 10.50 8.82 44.64
284 18.49 30.59 10.70 9.65 50.09
285 18.42 35.00 11.71 7.45 51.81
286 18.88 47.99 12.09 11.63 55.42
287 18.54 58.29 13.05 19.80 48.95
288 18.34 38.18 11.67 10.00 58.00
289 18.68 71.52 9.13 10.30 35.15
290 18.63 38.98 12.70 12.12 52.67
291 18.62 42.91 12.03 9.61 51.67
292 18.76 44.78 13.56 13.17 56.08
293 18.88 26.15 11.05 7.88 46.40
294 18.63 50.70 10.75 9.00 53.75
295 18.93 22.90 9.80 7.65 48.10
296 18.84 69.15 10.86 19.14 38.65
297 18.98 18.26 8.53 6.71 40.67
298 19.18 34.09 11.97 9.62 51.32
299 19.05 24.04 10.23 8.58 44.46
300 19.03 37.78 12.00 9.26 52.71
301 19.21 64.69 10.52 17.31 42.84
302 19.06 73.20 9.81 22.33 35.69
303 18.90 20.34 10.20 6.40 44.40
304 19.19 29.26 10.60 7.91 49.84
305 19.17 36.39 13.10 9.84 51.51
306 19.00 48.94 14.82 22.00 50.06
307 19.12 53.47 13.82 21.43 47.91
308 19.08 50.62 12.32 11.71 50.77
309 19.05 40.26 14.62 10.12 50.38
310 19.39 58.36 12.45 18.87 50.74
311 19.36 75.09 8.04 9.55 36.02
312 19.37 67.88 10.10 13.90 42.08
313 19.28 19.68 8.83 6.62 41.62
314 19.38 43.88 13.35 15.00 57.92
315 19.40 70.13 10.42 19.62 41.29
316 19.48 71.39 9.69 14.51 40.69
317 19.59 57.01 12.00 18.08 49.24
318 19.66 16.73 8.43 6.24 35.88
319 19.57 55.43 11.44 18.17 49.68
320 19.75 62.36 11.62 21.42 48.13
321 19.67 18.20 9.86 8.23 35.64
322 19.97 30.93 11.18 8.90 50.13
323 19.83 40.53 12.89 13.44 51.23
324 20.13 51.52 12.93 16.41 50.35
325 19.70 53.03 12.43 13.06 49.37
326 19.56 73.71 10.11 12.11 37.33
327 19.99 25.36 10.26 8.26 47.83
328 19.70 24.09 8.86 7.71 49.57
329 19.66 26.32 12.50 7.12 53.88
330 20.08 19.91 10.06 8.62 42.72
331 20.14 66.82 10.92 25.85 43.10
332 19.81 68.99 10.41 14.59 41.59
333 19.93 73.01 9.33 16.56 39.17
334 20.17 37.03 12.38 12.36 53.21
335 20.07 44.44 13.17 14.00 55.96
336 20.20 77.04 9.24 29.59 29.81
337 20.06 35.02 12.58 10.30 51.84
338 20.10 54.69 11.95 17.38 49.69
339 20.26 65.04 11.03 24.51 44.83
340 20.11 70.30 10.27 26.05 38.73
341 20.27 28.26 11.40 8.98 50.65
342 20.31 74.11 10.58 31.98 34.19
343 20.30 63.08 11.98 23.18 45.70
344 20.14 71.94 10.53 28.87 38.60
345 20.16 57.65 13.50 25.90 53.50
346 20.47 17.74 8.95 6.62 37.95
347 20.29 49.47 14.06 22.71 58.82
348 20.37 39.01 13.13 12.03 52.40
349 20.48 58.55 12.12 29.90 49.22
350 20.29 68.15 11.57 33.29 41.29
351 20.79 47.87 12.75 17.55 57.77
352 20.82 55.80 13.33 31.82 51.34
353 20.56 69.16 9.84 19.03 40.48
354 20.80 29.77 12.12 12.20 47.06
355 20.93 16.06 9.14 6.31 39.94
356 20.72 71.06 10.50 25.57 40.80
357 20.81 40.72 14.00 15.19 53.38
358 20.86 26.86 11.08 11.31 49.25
359 20.83 34.30 11.67 9.50 51.79
360 20.92 37.32 11.62 10.17 57.86
361 20.99 43.14 13.64 15.39 58.41
362 20.85 53.32 12.25 23.07 51.98
363 21.02 24.10 10.68 8.20 47.90
364 21.01 32.31 11.43 9.38 50.70
365 20.82 50.01 13.07 16.98 56.88
366 20.84 19.26 10.56 6.78 46.28
367 20.98 21.28 9.31 10.56 43.73
368 21.28 78.92 8.11 35.14 27.80
369 20.99 57.81 13.33 18.41 54.19
370 21.25 62.75 12.62 55.43 44.44
371 21.33 22.65 10.27 10.20 46.57
372 21.28 45.47 14.52 24.55 57.48
373 21.39 60.03 13.10 52.97 41.41
374 21.44 68.75 12.00 44.32 39.48
375 21.39 19.72 10.98 8.10 46.42
376 21.19 51.54 15.70 35.10 56.60
377 21.21 67.10 12.35 23.29 44.65
378 21.54 75.49 10.85 45.51 33.94
379 21.31 38.63 13.09 15.59 52.59
380 21.55 35.24 12.91 12.77 49.26
381 21.61 50.57 12.64 18.28 56.72
382 21.72 30.36 12.11 14.35 48.80
383 21.62 40.72 12.94 14.83 55.20
384 21.76 57.91 13.55 67.66 44.12
385 21.77 14.74 8.47 7.15 37.32
386 21.80 71.67 10.84 48.66 37.97
387 21.52 31.52 11.38 7.75 51.12
388 21.50 42.68 12.33 16.17 66.00
389 21.97 52.34 13.89 46.04 53.96
390 22.26 18.18 9.73 8.51 45.85
391 21.92 21.52 10.45 10.93 48.09
392 21.74 20.37 9.92 12.77 45.92
393 22.06 32.05 11.23 11.98 53.13
394 22.08 44.75 14.22 21.49 57.65
395 22.30 24.67 11.02 10.22 49.51
396 21.98 46.27 11.79 16.97 55.15
397 22.21 66.38 12.00 62.32 41.03
398 22.31 78.08 9.32 49.53 30.99
399 22.14 33.81 12.28 12.34 54.64
400 22.39 61.88 13.26 87.79 39.95
401 22.75 59.48 13.76 100.92 49.64
402 22.23 15.42 9.08 9.67 37.67
403 22.34 48.66 14.81 39.88 56.41
404 22.47 69.82 11.86 60.79 37.75
405 22.72 73.89 11.44 62.63 38.68
406 22.38 16.90 9.83 6.25 44.67
407 22.74 56.60 13.81 84.66 47.31
408 22.44 35.52 14.00 18.11 53.44
409 22.76 22.59 10.25 9.84 49.29
410 22.94 64.15 13.27 88.50 45.15
411 22.77 29.75 11.62 13.90 48.99
412 22.90 40.21 13.63 21.03 57.84
413 22.83 16.38 9.83 9.33 39.57
414 22.67 44.08 13.81 25.94 60.94
415 22.82 46.52 13.05 28.93 52.67
416 23.16 51.31 14.83 63.45 53.35
417 22.90 54.09 15.06 76.66 51.86
418 22.88 36.92 13.73 15.71 57.40
419 22.99 69.12 11.93 69.00 41.26
420 23.28 80.36 8.43 62.60 27.33
421 23.13 15.03 8.77 7.12 39.35
422 23.09 27.01 11.21 14.33 52.00
423 23.30 44.49 12.81 21.28 59.56
424 23.51 66.86 12.93 83.42 44.29
425 23.55 71.93 12.30 82.63 38.16
426 23.28 42.16 13.39 27.19 58.16
427 23.39 18.31 10.23 11.09 43.20
428 23.57 32.14 11.86 14.95 54.23
429 23.44 34.61 12.66 17.53 53.10
430 23.52 38.25 12.73 20.77 59.29
431 23.50 28.26 11.65 12.53 48.74
432 23.47 29.94 11.83 18.66 51.48
433 23.47 22.62 11.37 13.53 47.00
434 23.55 25.83 11.21 12.67 50.24
435 23.86 61.67 13.64 121.79 46.74
436 23.86 77.88 10.23 79.76 34.06
437 23.74 24.10 11.89 10.29 47.05
438 23.68 46.22 14.72 59.01 54.89
439 23.86 58.37 14.98 132.05 49.28
440 23.90 48.95 14.99 72.67 57.21
441 23.90 40.58 13.50 25.29 55.03
442 24.05 55.92 15.07 133.74 51.48
443 24.10 69.27 12.64 93.18 42.11
444 23.95 26.72 11.46 13.33 52.24
445 24.02 53.52 15.08 114.91 48.87
446 23.97 36.00 12.96 19.13 57.27
447 24.18 74.64 12.18 87.71 37.24
448 24.10 29.59 11.74 15.70 50.79
449 24.24 64.43 13.73 114.82 46.28
450 24.42 44.49 15.59 65.02 52.31
451 24.24 17.40 9.78 13.01 46.41
452 24.18 22.36 11.43 13.51 45.40
453 24.52 51.22 15.05 116.48 53.21
454 24.59 33.07 12.88 21.25 55.20
455 24.55 15.55 10.05 10.50 40.25
456 24.73 27.27 11.59 16.44 50.94
457 24.74 47.23 16.04 104.62 56.30
458 24.78 79.49 10.51 86.93 33.73
459 24.60 41.80 14.88 57.48 53.60
460 24.88 60.09 14.60 172.05 49.68
461 24.95 24.51 11.63 15.52 51.05
462 24.72 34.79 11.84 24.00 55.94
463 24.73 14.63 8.67 9.94 39.83
464 24.62 28.28 12.88 18.75 52.25
465 25.14 66.30 13.83 120.86 48.27
466 24.90 29.45 11.86 15.81 51.78
467 25.13 72.21 12.48 92.87 38.48
468 24.96 36.50 13.78 31.55 61.33
469 25.05 57.35 14.65 170.29 50.74
470 24.93 17.85 9.74 10.26 41.63
471 24.97 22.36 11.50 20.28 42.25
472 25.16 53.79 15.63 159.93 52.42
473 25.31 63.09 14.46 148.50 49.40
474 25.36 49.42 16.19 156.23 56.91
475 25.31 69.07 14.21 110.66 45.66
476 25.39 76.00 12.25 95.08 39.00
477 25.39 33.90 12.74 32.31 58.69
478 25.46 43.07 15.65 101.91 54.33
479 25.54 82.92 9.40 69.94 28.59
480 25.57 39.59 14.99 73.39 56.08
481 25.53 14.81 9.96 14.19 40.83
482 25.67 45.76 15.05 133.46 54.76
483 25.45 23.35 12.38 16.95 48.24
484 25.52 20.13 12.08 19.15 48.77
485 25.52 26.85 12.79 30.18 48.32
486 25.68 18.30 10.26 13.40 48.07
487 25.99 30.38 12.24 25.26 54.22
488 25.92 51.67 16.00 171.65 53.45
489 25.93 16.40 9.96 12.64 45.86
490 25.92 55.68 14.96 192.15 52.34
491 25.78 21.72 10.30 14.27 50.00
492 26.01 61.10 15.56 196.59 48.42
493 26.06 12.33 8.93 10.70 33.86
494 25.84 35.58 12.91 39.09 63.94
495 26.02 37.38 14.78 72.54 52.99
496 26.06 79.65 11.55 101.74 40.35
497 26.22 58.51 14.92 188.29 55.19
498 26.31 47.87 15.59 183.76 59.55
499 26.09 32.36 13.56 49.34 53.32
500 26.33 41.36 16.66 137.88 56.65
501 26.60 27.32 12.33 36.92 48.76
502 26.34 65.27 15.21 156.58 53.60
503 26.47 73.68 13.59 97.57 45.54
504 26.43 14.14 9.68 18.52 37.85
505 26.16 19.34 10.15 16.74 43.81
506 26.42 70.88 14.16 104.16 44.57
507 26.58 68.08 14.46 122.84 48.76
508 26.67 53.71 16.20 194.58 53.21
509 26.63 43.74 15.56 158.40 55.87
510 26.68 34.53 14.50 71.13 57.33
511 26.80 76.63 12.55 88.61 53.73
512 26.87 49.80 15.85 185.83 54.13
513 26.93 63.15 15.37 168.50 60.29
514 26.83 83.29 9.93 65.85 49.52
515 26.53 16.62 10.71 21.53 47.71
516 27.07 39.66 15.98 158.87 56.75
517 26.86 22.18 11.88 24.99 49.16
518 26.99 46.00 16.01 180.14 57.42
519 27.14 56.20 15.78 199.64 56.95
520 27.18 31.33 14.08 68.82 53.25
521 27.26 37.52 15.45 139.14 58.08
522 26.87 13.20 8.85 15.85 38.77
523 27.21 60.54 15.80 186.95 66.65
524 27.26 11.88 7.92 14.74 40.92
525 27.11 16.13 9.81 18.52 46.87
526 27.53 86.36 8.50 36.12 57.94
527 27.30 24.13 12.89 54.89 44.03
528 27.21 28.70 12.29 28.12 55.65
529 27.40 51.94 16.08 205.35 53.66
530 27.38 79.27 13.00 91.63 56.19
531 27.47 66.32 15.20 141.05 62.83
532 27.64 58.21 17.06 180.13 66.39
533 27.74 41.85 16.94 174.38 58.10
534 27.50 14.80 9.45 24.10 39.93
535 27.70 70.45 15.25 105.64 63.72
536 28.00 81.72 12.28 64.81 91.48
537 27.85 44.29 16.56 188.03 56.60
538 27.88 73.47 14.32 93.69 84.29
539 27.95 33.26 15.50 114.48 55.59
540 27.92 35.63 16.15 128.10 58.52
541 27.95 47.50 16.51 189.08 59.88
542 27.90 17.31 10.71 46.08 42.58
543 28.06 54.48 17.04 193.92 66.03
544 28.10 26.34 12.93 85.96 46.33
545 27.91 84.56 10.18 49.27 68.64
546 28.18 50.00 16.23 200.03 59.80
547 28.17 29.26 14.06 98.01 52.50
548 28.18 62.37 16.78 167.30 118.61
549 28.34 64.97 16.75 130.74 117.34
550 28.34 68.16 15.90 112.76 81.21
551 28.04 13.13 8.86 26.23 44.47
552 28.18 77.05 14.18 85.50 65.36
553 28.26 22.71 12.61 75.72 47.55
554 28.54 39.87 16.08 173.08 58.43
555 28.56 59.58 16.40 159.52 119.49
556 28.43 85.33 10.14 39.63 87.59
557 28.73 15.52 10.75 60.96 41.17
558 28.66 52.33 16.63 191.41 74.43
559 28.68 56.68 17.48 156.53 82.91
560 28.71 37.48 16.14 168.53 60.45
561 28.86 31.73 15.12 163.31 54.03
562 28.58 80.13 13.35 73.78 90.13
563 28.86 45.33 17.61 191.83 60.39
564 28.81 12.62 9.48 43.66 38.97
565 28.94 19.01 12.07 71.50 46.38
566 29.22 70.56 15.92 78.56 119.46
567 28.98 42.56 16.38 196.97 65.70
568 29.06 74.75 15.44 88.55 101.72
569 28.96 87.99 8.07 33.98 54.25
570 29.14 34.55 15.71 173.94 56.75
571 29.19 24.78 13.10 135.32 49.39
572 29.14 48.41 17.25 193.48 69.00
573 29.16 72.41 14.63 64.13 112.96
574 28.94 86.03 9.41 31.18 85.06
575 29.09 78.34 15.62 62.28 100.14
576 29.39 27.36 14.15 138.70 50.79
577 29.45 22.13 12.82 116.64 46.85
578 29.31 61.41 17.24 140.08 142.48
579 29.47 63.87 18.56 123.44 161.78
580 29.44 54.11 17.81 150.56 106.89
581 29.60 66.43 18.41 118.83 143.57
582 29.57 29.79 14.01 170.72 55.21
583 29.54 68.46 17.73 99.86 127.82
584 29.44 82.28 13.85 60.39 98.24
585 29.57 80.11 13.72 53.83 92.20
586 29.67 50.88 17.68 169.02 88.99
587 29.58 83.67 11.21 40.21 92.90
588 29.82 39.07 17.30 183.72 59.33
589 29.77 59.07 17.91 114.48 150.11
590 29.76 56.68 18.81 118.74 140.79
591 29.90 14.16 11.53 87.08 40.11
592 29.64 85.47 12.63 50.50 92.48
593 29.84 36.60 17.17 195.42 60.62
594 29.88 46.34 17.94 188.84 83.70
595 29.80 87.47 8.39 27.98 70.20
596 29.80 77.00 15.79 66.96 114.74
597 30.03 41.32 17.55 206.97 74.38
598 30.10 17.30 11.51 107.08 44.91
599 30.10 32.57 15.94 195.58 60.53
600 30.16 43.94 17.30 170.34 81.73
601 30.26 20.48 12.80 122.86 47.49
602 30.35 73.32 16.81 75.88 112.84
603 30.39 48.52 17.96 161.71 108.34
604 30.45 61.89 19.25 106.47 167.17
605 30.80 89.68 7.44 28.97 41.37
606 30.42 24.82 14.14 155.49 49.87
607 30.19 53.42 16.78 98.56 169.22
608 30.30 83.14 13.89 55.95 89.87
609 30.74 34.81 16.09 200.80 67.28
610 30.68 54.92 19.32 113.97 151.28
611 30.70 70.42 19.57 77.22 119.42
612 30.40 85.55 12.07 54.50 74.27
613 30.68 27.93 14.89 166.79 57.09
614 30.65 52.78 18.53 142.74 143.30
615 30.82 64.53 19.11 102.02 158.90
616 30.77 67.76 19.29 102.38 136.40
617 30.97 57.19 18.87 93.25 162.89
618 30.89 30.47 15.81 175.57 60.18
619 30.76 79.36 15.49 58.82 94.51
620 30.94 37.27 17.34 187.03 70.42
621 30.94 50.84 18.54 120.77 155.25
622 30.98 59.84 19.30 97.44 163.05
623 31.12 13.07 10.64 131.34 42.80
624 31.16 39.84 17.95 174.75 94.55
625 31.00 46.21 17.95 157.45 128.76
626 30.78 84.51 13.86 47.00 74.00
