#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
gb8 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
240 21.67 38.29 27.54 28.91 135.32
241 21.66 32.66 26.57 25.17 121.36
242 21.73 35.74 26.58 25.62 121.34
243 21.82 20.57 20.25 18.71 103.91
244 21.94 64.54 41.90 23.30 127.00
245 22.01 77.25 88.19 16.60 96.85
246 22.10 13.94 16.44 15.56 71.77
247 22.00 43.93 28.76 29.02 133.30
248 22.21 24.95 22.87 22.07 110.26
249 22.21 17.03 19.69 17.86 97.19
250 22.27 74.70 95.16 18.42 103.51
251 22.18 52.40 30.84 28.81 132.44
252 22.30 61.66 41.11 24.12 129.10
253 22.34 54.68 31.56 26.69 141.92
254 22.39 56.84 34.09 28.62 136.40
255 22.30 59.21 38.31 27.02 135.57
256 22.56 79.82 91.55 15.51 85.65
257 22.42 41.24 29.18 29.23 128.65
258 22.45 72.06 80.13 20.87 115.26
259 22.37 49.01 30.58 27.48 133.95
260 22.46 66.67 57.70 23.56 129.25
261 22.54 30.44 23.86 25.61 123.58
262 22.67 69.02 70.72 20.67 117.89
263 22.58 45.88 32.88 29.17 141.17
264 22.86 22.80 24.00 21.44 117.14
265 22.80 27.74 25.44 24.71 124.11
266 22.76 33.49 26.84 27.42 130.22
267 22.76 38.29 29.56 26.93 132.56
268 23.09 19.82 22.40 20.49 107.24
269 23.12 35.86 29.38 28.55 138.05
270 23.09 51.02 34.91 26.45 133.57
271 23.26 43.55 31.37 28.05 137.51
272 23.14 63.67 52.06 24.73 130.06
273 23.40 75.89 121.00 18.38 109.72
274 23.33 47.86 32.11 28.78 135.26
275 23.38 53.67 38.47 27.67 145.88
276 23.38 58.81 44.41 28.71 149.81
277 23.62 13.99 19.75 17.54 90.08
278 23.58 39.52 31.34 27.67 139.23
279 23.62 61.26 57.14 26.51 141.96
280 23.58 16.65 21.32 19.46 102.25
281 23.60 70.76 106.76 21.91 114.52
282 23.65 25.43 25.31 24.51 116.41
283 23.60 66.20 81.16 22.79 126.35
284 23.66 78.39 124.04 17.78 100.49
285 23.74 56.37 44.17 27.48 145.06
286 23.73 41.57 34.17 30.81 139.07
287 23.72 45.80 34.20 29.70 146.83
288 23.81 30.71 27.43 26.34 119.95
289 23.97 73.39 133.50 19.56 114.99
290 23.90 33.49 28.99 26.22 128.39
291 24.11 28.29 26.71 25.39 123.63
292 24.15 68.23 124.94 23.94 116.64
293 24.01 22.21 25.85 21.54 106.32
294 24.15 37.52 30.74 28.68 128.65
295 24.09 49.44 37.46 30.74 137.03
296 24.33 81.56 111.40 16.64 85.29
297 24.28 51.85 41.75 30.77 148.72
298 24.48 18.99 25.47 21.95 112.46
299 24.28 63.79 87.51 26.16 141.75
300 24.47 59.12 66.01 29.43 146.56
301 24.49 54.21 44.52 28.96 140.46
302 24.68 12.67 22.40 17.74 89.15
303 24.70 35.33 33.40 28.96 133.94
304 24.73 42.73 35.05 29.92 140.56
305 24.74 44.97 35.87 29.57 141.78
306 24.80 47.18 36.20 30.05 137.49
307 24.78 76.11 140.34 20.10 111.70
308 24.81 26.29 29.56 25.56 124.41
309 24.86 40.42 33.25 27.85 135.57
310 24.92 78.97 142.28 19.87 109.68
311 24.95 32.40 29.83 28.92 126.37
312 25.08 60.94 101.30 27.56 153.56
313 24.97 71.32 140.67 22.26 118.49
314 25.13 16.77 27.26 20.69 106.14
315 25.17 23.83 29.23 23.71 117.85
316 24.95 56.56 56.42 28.49 139.56
317 25.10 65.93 145.79 25.21 122.86
318 25.28 21.41 30.96 23.16 113.76
319 25.30 30.10 31.05 26.72 124.83
320 25.17 49.59 45.22 30.87 160.23
321 25.38 38.46 36.63 30.24 126.82
322 25.34 63.03 131.43 29.89 153.62
323 25.37 68.91 166.61 25.30 126.28
324 25.38 51.91 54.40 32.56 160.66
325 25.58 83.30 89.80 15.15 70.10
326 25.56 74.08 156.21 20.25 116.56
327 25.71 14.69 29.50 19.34 96.91
328 25.67 53.97 61.03 31.94 151.11
329 25.70 58.55 89.12 29.22 143.37
330 25.76 36.21 35.50 28.51 127.76
331 25.77 43.52 46.95 31.22 149.51
332 25.93 80.44 127.62 19.35 96.85
