#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
iz9 14A 4 even-skipped Kruppel bicoid
166 16.88 63.10 26.21 11.92 105.79
167 16.93 19.11 23.56 7.44 103.09
168 17.22 23.89 25.93 9.70 113.42
169 17.29 56.20 28.12 11.71 113.90
170 17.27 43.48 28.14 11.93 121.35
171 17.37 53.34 26.39 12.95 115.44
172 17.38 73.13 20.71 7.75 82.28
173 17.62 35.20 28.98 11.95 121.01
174 17.59 70.48 25.34 9.44 90.19
175 17.63 50.21 27.25 12.54 118.58
176 17.75 58.50 27.39 11.82 115.60
177 17.68 29.40 25.91 10.49 114.42
178 17.89 46.26 27.24 13.05 115.12
179 17.72 61.02 27.85 13.33 133.32
180 17.64 67.99 26.18 10.76 100.12
181 17.69 15.90 19.31 6.23 95.72
182 17.85 21.37 26.24 8.95 101.91
183 17.73 40.45 26.88 11.83 116.12
184 18.05 37.72 30.29 11.85 117.51
185 17.99 64.31 27.82 12.03 101.76
186 18.14 32.91 26.81 10.33 114.78
187 18.12 76.24 20.58 7.00 74.16
188 18.13 26.21 26.72 10.14 107.30
189 18.41 18.10 25.13 7.91 93.62
190 18.56 54.65 25.95 11.45 107.88
191 18.68 66.28 27.02 11.66 96.76
192 18.57 74.23 24.14 8.63 85.25
193 18.69 51.95 29.95 12.51 112.20
194 18.66 43.44 28.25 11.70 111.85
195 18.84 48.95 27.50 12.21 111.32
196 18.86 23.55 27.81 10.09 94.92
197 18.84 71.59 26.79 9.41 89.30
198 18.95 57.17 27.78 12.35 105.65
199 19.01 31.32 32.73 10.60 110.28
200 19.00 62.67 25.76 12.65 97.38
201 19.03 78.25 19.10 6.58 65.34
202 19.09 28.58 28.31 10.65 101.02
203 19.01 60.03 26.43 12.17 103.61
204 18.98 69.04 30.12 10.90 91.97
205 19.07 20.05 30.02 8.74 100.87
206 19.34 35.17 29.43 11.67 103.39
207 19.12 40.33 26.66 12.37 110.54
208 19.29 46.30 29.16 12.27 112.99
209 19.43 15.62 23.70 6.91 85.31
210 19.38 37.56 28.19 12.23 113.34
211 19.62 26.00 27.64 9.67 102.19
212 19.71 73.62 28.44 8.92 83.84
213 19.62 75.92 25.14 8.11 71.88
214 19.87 64.35 29.60 12.76 97.93
215 19.96 66.81 28.71 12.06 92.56
216 19.96 21.52 30.26 9.75 103.25
217 19.93 42.74 27.63 11.87 111.84
218 19.86 51.28 28.61 12.77 103.57
219 20.17 54.12 27.42 12.77 98.67
220 20.23 18.40 24.94 8.45 89.95
221 20.17 33.35 28.13 11.92 101.21
222 20.15 57.06 28.26 12.10 97.08
223 20.33 59.66 27.49 12.17 95.52
224 20.46 30.61 30.79 10.45 97.15
225 20.09 48.45 27.10 12.38 97.51
226 20.29 69.15 32.55 11.83 89.65
227 20.35 71.54 29.48 10.07 84.68
228 20.46 62.00 25.85 11.73 94.41
229 20.53 23.89 27.52 9.49 93.35
230 20.42 46.01 29.30 12.27 105.00
231 20.24 76.31 26.96 8.25 68.68
232 20.49 38.87 28.94 11.74 103.74
233 20.69 28.09 27.72 10.31 99.54
234 20.63 78.56 23.29 7.21 64.06
235 20.82 15.77 24.23 8.19 84.00
236 20.77 48.98 28.71 11.78 96.85
237 20.90 74.17 28.66 8.84 74.31
238 21.10 41.30 32.26 12.42 100.01
239 21.36 36.96 33.30 12.29 96.87
240 21.16 44.05 30.06 12.87 101.36
241 21.16 51.53 29.72 12.59 97.71
242 21.17 64.58 28.89 12.11 91.27
243 21.44 34.61 32.23 10.70 93.26
244 21.32 55.85 30.76 13.61 91.44
245 21.37 21.27 29.44 9.58 97.35
246 21.44 26.35 30.24 10.03 95.44
247 21.47 76.59 31.25 9.15 71.38
248 21.38 67.25 31.20 10.87 85.91
249 21.52 13.10 21.13 6.44 74.19
250 21.54 57.98 30.06 12.41 84.47
251 21.57 69.77 31.81 11.45 85.26
252 21.60 17.76 27.78 8.66 84.41
253 21.76 32.04 30.13 11.14 94.75
254 21.75 46.70 32.11 12.28 97.45
255 21.49 72.11 30.43 10.91 77.77
256 21.56 59.46 31.05 12.41 85.27
257 21.66 81.25 23.71 6.79 50.97
258 21.82 61.72 30.94 11.96 86.19
259 21.94 53.66 32.26 12.19 95.59
260 22.04 39.73 31.31 11.18 94.28
261 22.09 49.41 30.16 13.61 92.26
262 22.00 24.20 28.55 10.11 88.89
263 22.13 29.21 29.81 10.16 88.33
264 22.18 78.70 32.54 7.99 59.11
265 22.28 74.34 36.50 10.94 70.44
266 22.01 72.47 36.81 10.05 76.05
267 22.39 15.30 28.31 8.59 75.10
268 22.35 43.14 33.01 12.48 93.85
269 22.23 19.62 33.14 9.08 86.24
270 22.36 65.29 34.05 11.59 83.92
271 22.56 68.17 32.29 11.78 79.49
272 22.54 59.42 31.95 13.28 85.66
273 22.77 22.05 30.13 9.05 83.67
274 22.79 37.44 32.09 11.56 89.00
275 22.81 51.86 34.03 13.30 91.15
276 22.86 55.01 34.86 12.80 81.67
277 22.89 26.82 31.92 9.82 84.48
278 22.98 62.66 32.88 11.85 80.59
279 22.85 71.28 36.41 12.27 74.93
280 22.95 76.35 38.27 9.59 62.82
281 22.91 80.72 39.09 7.26 56.98
282 23.05 13.07 22.98 6.72 67.37
283 22.98 32.80 29.65 11.48 85.96
284 23.10 45.83 32.55 13.17 91.07
285 23.26 35.25 33.97 11.13 88.81
286 23.22 57.33 32.42 12.84 86.78
287 23.09 17.29 30.65 8.27 78.21
288 23.31 48.38 32.43 12.48 85.97
289 23.27 40.50 31.93 12.21 87.45
290 23.50 24.44 31.44 10.10 77.51
291 23.45 30.29 31.89 11.06 87.17
292 23.53 73.66 43.62 11.42 69.14
293 23.50 83.16 32.70 6.03 45.52
294 23.64 59.94 33.47 12.86 84.25
295 23.48 65.29 34.36 12.61 87.05
296 23.66 43.08 34.63 12.62 85.89
297 23.75 78.43 46.75 8.36 60.75
298 23.72 67.78 38.87 11.99 74.37
299 23.79 69.95 39.22 12.28 75.62
300 23.93 50.53 35.52 13.90 86.01
301 23.98 19.29 31.36 8.77 74.65
302 24.24 52.99 34.43 14.04 81.27
303 24.08 11.16 25.02 5.93 64.31
304 24.02 22.13 32.79 9.29 76.20
305 24.18 28.24 33.67 10.24 86.51
306 24.19 38.80 34.27 11.77 83.99
307 24.12 76.06 49.07 10.69 65.70
308 24.16 55.65 33.23 12.78 82.41
309 24.17 80.75 48.76 8.24 55.19
310 24.36 13.79 27.61 7.34 67.94
311 24.32 16.36 28.44 8.21 72.83
312 24.34 63.56 32.21 12.38 74.34
313 24.28 32.86 33.60 10.93 83.05
314 24.54 45.05 36.18 12.19 82.14
315 24.58 71.98 50.85 11.45 69.38
316 24.52 61.23 34.92 11.69 76.79
317 24.56 25.99 34.83 9.78 80.95
318 24.72 47.52 35.33 12.99 79.17
319 24.60 36.04 35.23 11.91 78.89
320 24.86 41.99 35.45 12.09 81.42
321 24.76 57.84 34.27 12.77 75.67
322 24.64 66.03 38.32 11.99 73.62
323 24.84 83.19 59.03 6.59 45.29
324 24.85 74.09 57.36 10.71 66.38
325 25.03 30.49 35.31 10.50 80.83
326 25.09 23.96 34.51 9.37 71.58
327 24.98 69.53 48.44 12.01 67.20
328 25.13 20.91 32.07 9.21 70.59
329 25.04 78.25 73.28 10.07 58.23
330 25.15 50.12 36.57 13.31 79.71
331 25.34 17.98 32.01 8.87 69.60
332 25.28 11.39 28.48 6.56 60.70
333 25.40 55.32 38.81 13.34 74.15
334 25.16 67.96 48.79 10.82 66.21
335 25.35 80.68 85.00 9.10 54.25
336 25.43 39.35 35.90 12.45 75.25
337 25.49 59.48 38.79 12.27 71.72
338 25.50 75.89 82.59 11.12 60.55
339 25.31 33.58 34.54 11.23 72.24
340 25.61 52.86 38.02 13.79 77.16
341 25.66 85.57 60.58 6.42 34.58
342 25.64 27.28 31.30 10.41 75.37
343 25.66 15.04 32.33 7.70 63.02
344 25.62 62.26 37.98 12.81 72.86
345 25.59 64.76 45.35 11.96 72.03
346 25.87 36.60 36.68 11.47 78.44
347 25.92 44.78 36.94 13.54 76.17
348 25.74 67.12 49.85 13.10 69.76
349 26.08 71.37 78.23 12.10 62.92
350 25.84 33.98 35.15 9.92 72.46
351 26.03 47.84 40.56 14.14 78.10
352 26.02 83.23 107.88 8.00 49.65
353 26.16 73.57 90.96 10.91 62.34
354 26.08 23.00 40.68 9.98 70.45
355 26.16 29.56 36.77 11.32 72.99
356 26.22 41.95 39.01 12.50 78.64
357 26.19 78.47 126.16 10.66 59.04
358 26.39 57.71 42.25 13.58 70.99
359 26.24 19.80 38.21 8.96 65.77
360 26.35 50.75 40.05 13.56 75.27
361 26.33 69.09 68.62 12.14 65.98
362 26.48 32.04 39.68 10.20 71.38
363 26.58 9.39 26.83 5.34 51.03
364 26.65 25.51 35.74 10.16 73.00
365 26.62 80.99 123.94 9.17 50.12
366 26.51 12.22 33.77 6.44 57.05
367 26.55 38.95 40.27 12.58 75.61
368 26.70 17.47 36.66 8.41 64.50
369 26.55 65.53 55.62 13.24 68.98
370 26.65 60.44 48.12 12.77 71.93
371 26.74 55.34 40.70 12.37 68.84
372 26.70 76.17 129.04 10.39 56.63
373 26.83 34.88 40.02 12.09 70.45
374 26.88 62.79 54.03 13.57 66.15
375 26.99 52.88 43.86 13.58 74.03
376 26.98 14.88 37.60 7.97 57.27
377 27.05 27.73 38.73 10.57 69.74
378 27.14 46.11 38.78 14.46 70.96
379 27.08 21.28 40.78 9.51 68.39
380 27.17 48.76 43.46 13.87 70.86
381 27.29 43.57 41.85 13.77 74.72
382 27.18 83.48 129.41 7.78 43.77
383 27.32 67.29 79.00 12.30 64.40
384 27.34 23.60 42.34 9.43 67.53
385 27.40 72.24 139.77 13.07 71.32
386 27.55 37.65 42.84 11.25 67.67
387 27.42 40.82 41.04 12.50 68.70
388 27.40 78.81 159.11 11.56 53.93
389 27.43 69.73 108.59 13.20 63.14
390 27.57 74.62 147.44 12.85 57.87
391 27.63 11.26 41.52 6.74 52.74
392 27.71 85.80 120.88 7.33 37.86
393 27.60 64.70 76.61 11.68 65.15
394 27.79 57.19 55.28 13.03 65.50
395 27.83 32.86 50.62 11.37 68.56
396 27.75 59.73 61.05 14.00 67.10
397 27.89 51.00 48.10 13.84 70.21
398 27.84 16.89 50.32 7.67 59.47
399 27.94 19.73 50.66 8.80 64.12
400 28.01 80.84 177.93 11.20 51.61
401 28.00 88.17 80.19 5.81 28.71
402 27.98 13.62 53.00 7.94 58.54
403 27.94 54.46 52.81 13.38 67.89
404 28.00 76.76 167.22 11.89 51.89
405 28.07 35.40 47.24 11.39 64.06
406 28.12 25.77 54.90 10.82 61.97
407 28.14 62.21 79.49 13.81 61.66
408 28.25 28.51 52.60 10.23 64.70
409 28.29 48.15 47.87 14.80 70.72
410 28.40 83.24 169.61 9.62 56.81
411 28.31 22.45 56.45 8.60 60.20
412 28.49 45.60 50.74 14.24 68.25
413 28.45 42.73 50.28 13.08 69.05
414 28.49 39.86 55.08 13.65 66.41
415 28.39 67.12 111.44 11.69 59.91
416 28.45 70.26 158.04 12.71 58.55
417 28.64 73.01 178.29 12.12 54.62
418 28.84 52.83 66.08 13.62 65.88
419 28.66 64.56 106.60 12.71 61.96
420 28.78 15.37 76.64 7.81 59.06
421 28.90 31.55 60.46 11.45 59.96
422 28.90 10.30 76.10 6.86 48.20
423 28.91 18.44 77.16 8.96 55.22
424 28.98 78.68 174.58 11.46 46.83
425 28.97 55.67 80.79 13.45 68.04
426 29.05 37.66 66.31 11.93 63.84
427 29.04 58.05 87.64 13.57 64.47
428 29.08 60.30 93.31 13.44 61.16
429 29.05 86.59 106.23 6.98 32.97
430 28.99 75.68 180.28 11.93 51.71
431 29.07 34.53 64.59 11.93 59.38
432 29.14 49.98 58.46 13.76 64.07
433 29.17 24.20 85.54 10.04 59.08
434 29.23 12.93 84.90 7.26 50.28
435 29.25 26.72 86.39 10.68 58.12
436 29.35 21.29 96.84 8.69 58.01
437 29.28 68.24 160.11 11.91 56.91
438 29.38 81.22 174.24 10.34 48.82
439 29.41 29.70 86.48 10.84 63.97
440 29.48 62.62 124.98 13.21 54.82
441 29.51 83.82 151.36 10.30 43.01
442 29.47 42.02 69.08 12.67 62.63
443 29.66 47.62 72.14 13.84 65.81
444 29.52 44.78 70.56 12.87 66.68
445 29.61 65.52 150.17 13.62 53.72
446 29.64 71.24 190.76 12.95 50.35
447 29.81 16.62 117.48 8.70 53.05
448 29.89 74.36 192.10 12.68 54.14
449 29.95 8.48 100.09 6.15 43.07
450 29.96 39.89 88.74 12.81 61.40
451 29.96 51.79 96.77 14.85 66.61
452 30.00 54.13 110.08 15.11 66.39
453 30.01 33.32 101.23 11.60 58.06
454 30.10 77.12 177.39 11.65 47.89
455 30.30 28.25 142.98 11.51 55.69
456 30.17 18.97 132.18 9.06 51.76
457 30.15 36.50 95.17 12.18 59.18
458 30.17 56.29 122.40 14.68 61.91
459 30.37 14.21 135.66 7.98 48.83
460 30.24 58.59 146.35 14.65 76.14
461 30.29 11.13 128.36 7.30 46.46
462 30.32 23.50 148.65 10.78 57.36
463 30.31 68.70 198.71 12.93 53.90
464 30.33 85.39 131.30 9.80 41.04
465 30.34 79.81 141.40 10.92 45.71
466 30.47 25.95 168.49 11.87 75.82
467 30.53 30.88 136.32 11.52 56.22
468 30.65 46.06 107.41 14.48 59.83
469 30.50 50.02 110.36 14.55 64.45
470 30.47 43.30 95.18 13.66 63.45
471 30.53 61.04 158.63 13.33 57.63
472 30.52 87.95 87.12 7.38 30.33
473 30.55 63.59 175.04 13.73 54.57
474 30.64 66.34 190.51 13.59 54.10
475 30.72 21.06 173.16 8.91 52.48
476 30.72 82.70 142.77 11.53 44.27
477 30.75 72.77 201.61 13.31 50.32
478 30.97 38.73 131.39 13.38 57.63
479 31.01 70.43 198.36 12.51 50.51
480 31.07 34.53 148.30 12.95 52.36
481 31.07 16.60 168.33 8.53 44.75
482 31.27 41.54 136.18 13.54 53.81
483 31.20 48.63 144.46 14.31 58.60
484 31.11 53.34 160.16 15.16 62.29
485 31.20 75.30 168.28 13.15 49.91
486 31.32 8.82 158.90 6.34 40.93
487 31.27 77.94 150.97 12.55 48.11
488 31.40 89.70 65.56 7.16 25.59
489 31.36 12.50 174.61 7.69 44.87
490 31.32 56.17 172.08 15.41 59.22
491 31.52 59.03 182.23 14.16 54.68
492 31.50 85.79 113.81 10.02 37.74
493 31.59 80.75 135.74 12.20 44.46
494 31.60 19.27 203.73 9.76 48.59
495 31.63 22.75 202.18 10.00 53.63
496 31.59 25.09 192.78 10.94 53.43
497 31.51 27.80 189.86 10.70 53.22
498 31.63 44.38 151.82 14.28 56.73
499 31.60 64.58 185.25 13.85 49.03
500 31.65 31.19 204.50 11.73 52.41
501 31.69 67.61 183.29 14.10 52.32
502 31.80 50.90 175.00 15.51 57.62
503 31.79 37.20 174.16 12.35 51.34
504 31.75 61.65 182.93 14.50 52.24
505 32.02 14.65 201.90 8.88 46.93
506 31.99 47.11 175.90 15.89 58.79
507 31.96 72.92 183.41 14.08 46.42
508 32.11 82.99 124.18 11.93 40.56
509 32.18 33.78 201.06 12.45 51.27
510 32.20 40.14 181.77 13.31 54.89
511 32.13 69.88 179.84 14.72 54.89
512 32.26 10.83 194.29 7.58 40.12
513 32.27 88.03 88.40 8.91 31.70
514 32.18 53.64 196.27 15.28 60.61
515 32.43 17.05 211.36 9.22 46.47
516 32.41 57.06 201.96 16.23 55.29
517 32.52 21.25 202.12 10.44 46.98
518 32.47 29.11 217.94 11.82 52.00
519 32.39 75.84 139.68 14.02 44.29
520 32.43 78.68 139.85 14.03 45.05
521 32.59 42.97 192.10 13.75 55.66
522 32.72 26.36 215.36 10.33 49.13
523 32.66 65.50 167.69 14.41 53.28
524 32.82 7.83 176.02 6.22 37.68
525 32.68 62.82 175.99 13.93 51.40
526 32.80 85.29 109.46 11.37 37.55
527 32.83 90.67 60.29 7.47 23.15
528 32.93 36.29 206.03 12.49 48.78
529 32.84 59.78 185.24 14.65 52.66
530 32.98 23.74 198.14 10.81 45.68
531 32.92 45.64 189.58 15.55 53.15
532 33.01 12.83 201.58 8.64 42.27
533 32.89 50.70 211.09 16.14 58.01
534 32.99 67.90 160.43 14.09 49.05
535 32.98 71.30 154.86 14.76 47.39
536 33.10 80.69 130.31 14.51 42.17
537 33.07 19.11 205.38 10.05 47.19
538 33.14 31.41 211.75 12.08 48.73
539 33.04 48.37 197.25 15.43 54.99
540 33.17 38.79 207.62 12.59 52.59
541 33.22 55.30 203.75 16.04 57.51
542 33.22 52.96 203.56 15.78 55.17
543 33.28 74.05 142.34 14.92 46.86
544 33.42 15.30 202.03 9.35 43.16
545 33.47 34.18 204.64 12.18 49.61
546 33.51 41.26 205.34 14.21 49.59
547 33.47 77.00 120.24 13.73 42.80
548 33.47 87.62 95.10 10.09 32.24
549 33.46 10.00 190.66 8.15 40.35
550 33.50 82.89 126.39 12.32 48.57
551 33.66 5.40 123.25 5.23 28.78
552 33.69 57.51 178.59 16.74 51.18
553 33.64 28.51 216.43 11.99 47.03
554 33.62 64.06 167.86 16.25 54.58
555 33.79 61.41 155.81 15.10 50.63
556 33.81 21.22 195.26 11.28 40.96
557 33.92 44.13 203.79 14.55 51.31
558 33.97 69.21 135.67 15.22 47.78
559 34.02 25.59 200.74 12.01 45.33
560 34.03 49.96 199.14 16.18 53.03
561 34.07 66.41 143.07 15.85 48.25
562 34.17 18.07 200.26 9.83 42.20
563 34.18 47.02 194.09 15.62 52.00
564 34.11 90.08 65.37 8.74 23.60
565 34.10 71.84 132.69 15.10 42.16
566 34.15 85.22 97.08 13.06 34.98
567 34.24 79.74 116.63 15.44 41.19
568 34.16 37.57 196.66 13.82 45.58
569 34.33 12.18 171.94 8.74 38.37
570 34.38 52.18 195.04 16.77 53.76
571 34.36 59.17 159.04 16.30 52.14
572 34.35 32.96 197.99 12.91 42.34
573 34.34 54.59 186.73 17.10 51.68
574 34.47 74.58 123.34 15.58 44.11
575 34.61 23.00 174.30 10.92 41.19
576 34.66 30.47 192.67 11.61 45.97
577 34.56 9.15 155.43 8.55 38.73
578 34.53 15.40 176.14 9.43 40.43
579 34.68 82.67 107.33 14.08 35.91
580 34.71 77.11 111.36 15.07 41.15
581 34.72 87.59 97.21 12.07 36.26
582 34.84 6.57 144.86 7.42 38.69
583 34.64 41.65 196.67 14.95 48.54
584 34.71 63.80 144.85 15.93 51.14
585 34.80 27.77 193.06 11.73 44.94
586 34.93 36.06 180.08 13.12 44.72
587 34.93 56.64 162.91 17.21 50.16
588 34.99 61.27 145.44 16.83 51.12
589 35.02 92.11 55.35 7.94 19.05
590 35.08 20.27 173.15 10.93 41.85
591 35.03 67.66 124.59 16.01 46.12
592 35.06 49.16 179.75 17.25 51.90
593 35.27 39.22 181.77 15.56 47.55
594 35.11 44.66 184.33 15.21 47.18
595 35.22 70.04 118.81 16.13 42.90
596 35.28 13.89 157.05 9.75 38.51
597 35.40 72.50 121.18 15.85 42.15
598 35.46 17.55 162.01 10.84 37.83
599 35.39 25.38 169.17 11.73 40.18
600 35.37 84.96 106.70 15.43 34.86
601 35.45 51.60 167.61 18.44 49.94
602 35.48 78.78 110.89 16.61 40.82
603 35.51 11.02 138.82 9.32 35.97
604 35.48 33.82 166.77 13.13 44.69
605 35.53 47.10 174.70 16.92 51.05
606 35.50 89.89 81.85 11.40 29.30
607 35.52 54.12 153.21 18.64 51.62
608 35.58 58.86 136.44 17.06 48.73
609 35.75 81.16 105.69 17.03 38.32
610 35.63 65.43 135.85 16.37 48.54
611 35.66 75.08 108.98 17.64 40.05
612 35.75 42.00 171.76 14.82 46.85
613 35.82 8.24 118.85 7.45 31.51
614 35.91 28.96 148.43 13.15 42.30
615 35.83 31.40 162.82 12.55 40.96
616 35.86 22.42 157.56 11.88 42.08
617 35.92 62.99 132.24 18.54 47.89
618 36.00 87.42 110.87 15.51 32.42
619 36.17 5.20 93.15 6.85 27.59
620 36.06 56.49 141.80 18.04 49.88
621 36.32 15.29 134.94 10.19 35.28
622 36.27 83.17 115.50 17.71 38.59
623 36.15 36.59 149.39 13.87 40.64
624 36.20 49.83 151.56 18.28 50.37
625 36.28 60.65 125.01 16.99 47.76
626 36.31 44.78 147.07 15.91 46.83
