#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mn10 14A 4 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
190 20.60 32.58 25.67 26.43 191.14
191 20.72 51.46 33.74 36.34 234.80
192 20.49 70.50 29.08 28.70 183.92
193 20.54 73.53 30.60 27.38 173.59
194 20.73 38.25 29.05 29.70 210.74
195 20.67 59.50 32.57 32.67 221.09
196 20.49 75.15 26.76 23.67 167.96
197 20.79 62.17 33.57 32.67 211.35
198 20.93 47.71 34.03 35.29 224.85
199 20.76 67.25 30.77 30.55 198.15
200 20.94 78.61 23.51 23.74 128.60
201 21.17 56.26 33.08 33.79 223.86
202 21.24 23.37 23.70 22.11 174.35
203 21.31 26.22 25.76 23.79 181.17
204 21.20 64.61 32.13 31.64 210.16
205 21.34 29.38 27.48 24.17 185.16
206 21.52 20.08 21.38 18.39 149.42
207 21.49 40.88 33.49 31.79 222.22
208 21.60 45.15 34.60 33.56 228.20
209 21.73 49.58 33.44 35.47 223.41
210 21.64 72.17 31.40 27.18 176.96
211 21.67 75.89 28.90 25.23 169.34
212 21.73 53.05 33.08 35.19 230.30
213 21.77 69.22 32.67 28.08 186.51
214 21.77 32.24 27.51 27.18 201.04
215 21.93 35.94 30.80 28.49 211.46
216 21.85 60.17 33.86 33.06 219.19
217 22.22 42.93 34.43 32.46 226.06
218 22.19 38.36 31.98 31.15 212.09
219 22.17 78.84 27.77 23.40 150.84
220 22.19 66.50 33.11 31.32 199.04
221 22.44 57.42 34.36 35.29 223.25
222 22.38 47.45 35.43 35.12 233.72
223 22.42 54.89 34.78 34.01 230.56
224 22.35 63.56 36.08 32.14 213.36
225 22.53 22.22 24.11 20.18 166.81
226 22.64 51.17 35.85 38.09 233.59
227 22.62 25.39 25.96 22.62 177.12
228 22.71 73.69 35.02 27.24 178.21
229 22.73 34.11 30.16 28.57 209.96
230 22.76 28.01 27.34 24.16 184.57
231 22.79 81.45 27.11 21.18 124.93
232 22.87 30.92 28.74 25.70 196.79
233 22.95 40.48 33.90 32.88 220.28
234 23.07 61.78 35.34 33.03 217.65
235 23.09 44.78 34.61 35.83 232.42
236 23.00 70.90 36.01 28.56 188.25
237 23.02 18.06 21.29 17.74 128.56
238 23.14 59.37 36.31 34.27 221.05
239 23.17 76.24 33.37 25.33 165.35
240 23.21 68.10 35.58 30.59 197.96
241 23.48 52.83 35.91 35.78 230.18
242 23.55 49.53 37.63 35.43 233.26
243 23.36 20.36 26.20 19.05 180.11
244 23.67 36.12 32.20 29.58 213.39
245 23.62 38.40 32.76 30.65 222.42
246 23.57 64.71 36.34 32.27 207.31
247 23.64 46.86 36.58 34.51 233.16
248 23.68 55.49 39.00 35.37 229.56
249 23.62 79.01 33.41 23.41 156.44
250 23.71 42.48 33.37 32.97 231.79
251 23.82 24.24 27.23 22.59 173.64
252 23.93 83.09 32.25 21.04 103.43
253 23.86 33.11 28.75 29.14 210.60
254 23.94 29.29 28.56 25.23 199.40
255 23.89 21.56 23.75 20.75 164.51
256 24.06 57.85 36.87 35.48 222.93
257 24.30 73.92 43.91 28.59 171.54
258 24.50 26.99 28.75 24.10 192.67
259 24.40 18.83 25.01 18.98 157.92
260 24.25 61.29 38.63 33.49 220.32
261 24.27 70.84 43.15 29.98 190.74
262 24.37 67.34 42.46 31.36 208.29
263 24.51 44.83 37.26 33.31 226.44
264 24.61 76.68 42.67 25.97 160.31
265 24.67 80.49 41.22 22.69 153.01
266 24.71 41.64 35.19 32.59 223.06
267 24.72 31.44 29.89 26.39 203.16
268 24.73 47.78 35.77 34.94 230.21
269 24.84 50.19 36.64 34.73 226.54
270 24.65 52.72 37.52 35.77 232.69
271 24.90 22.40 27.05 20.88 173.86
272 24.82 38.42 33.98 30.74 222.78
273 24.75 64.32 45.95 31.89 211.17
274 24.89 35.18 33.88 30.21 218.25
275 24.86 55.36 37.96 36.07 227.67
276 25.07 58.49 38.75 36.30 222.04
277 25.33 83.97 50.17 22.28 110.60
278 25.48 16.91 24.47 18.10 138.74
279 25.45 25.39 28.05 22.63 185.52
280 25.53 29.39 31.09 26.06 205.80
281 25.33 61.14 45.71 35.63 226.49
282 25.61 69.46 57.54 30.69 188.96
283 25.52 72.05 63.10 30.00 187.54
284 25.74 39.77 37.71 33.52 223.82
