#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
em39 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
290 20.59 30.07 12.87 6.87 38.63
291 20.63 32.85 12.11 7.89 39.30
292 20.70 37.84 12.34 7.16 38.46
293 20.67 74.31 11.69 9.08 30.38
294 20.44 41.41 13.50 8.75 43.75
295 20.61 52.65 12.33 9.03 35.83
296 20.76 28.33 11.65 7.02 40.23
297 20.69 59.16 13.09 10.52 36.22
298 20.76 23.06 11.69 6.00 34.85
299 21.15 39.74 13.20 6.91 40.16
300 21.12 42.58 11.89 6.67 39.14
301 20.94 68.55 11.90 8.40 35.00
302 21.14 63.85 12.54 11.41 38.62
303 20.99 21.71 11.14 6.12 36.07
304 21.07 34.25 11.84 7.35 36.46
305 21.30 45.18 12.89 7.57 39.41
306 21.22 54.53 12.50 9.72 39.94
307 21.10 30.56 13.93 9.87 40.40
308 21.37 36.38 11.78 7.63 39.07
309 21.39 50.97 11.91 9.91 38.98
310 21.47 61.28 13.17 10.37 40.56
311 21.66 59.37 12.90 9.56 38.74
312 21.65 76.70 10.24 9.84 28.80
313 21.50 20.66 10.70 6.59 34.33
314 21.60 53.15 14.13 10.68 37.13
315 21.82 28.40 12.50 7.25 39.65
316 21.52 68.16 12.33 13.17 35.44
317 21.91 72.68 11.35 14.58 35.58
318 21.78 18.64 10.35 6.17 30.78
319 21.88 23.86 11.31 7.31 37.57
320 21.66 46.23 12.08 5.92 41.85
321 21.83 30.41 12.91 8.43 41.57
322 21.81 41.01 13.41 8.95 38.38
323 21.89 67.25 12.12 13.05 35.19
324 22.27 26.55 12.67 7.32 41.05
325 21.72 55.74 12.50 6.00 44.00
326 22.21 79.15 9.33 9.28 25.32
327 22.19 38.76 12.63 7.23 40.12
328 22.27 62.57 11.52 15.22 39.13
329 22.13 43.52 12.44 7.94 37.75
330 22.23 49.82 12.85 8.83 41.43
331 22.18 66.13 12.81 18.59 35.22
332 22.10 20.83 10.11 5.79 33.68
333 22.27 46.57 12.51 9.65 38.67
334 22.67 57.02 12.93 13.67 39.49
335 22.44 71.55 12.48 17.69 36.83
336 22.51 75.88 11.27 14.82 30.00
337 22.24 40.24 13.33 10.50 42.00
338 22.83 54.00 13.51 12.04 41.13
339 22.55 33.92 12.17 8.46 39.56
340 22.69 74.42 11.79 21.31 31.25
341 22.58 42.17 13.12 9.25 37.08
342 22.50 60.47 12.17 13.17 38.86
343 22.82 68.57 13.96 23.40 38.83
344 22.75 19.86 10.41 6.24 34.89
345 22.82 63.86 13.04 15.64 39.09
346 22.56 58.96 11.77 9.08 41.85
347 22.87 44.17 12.42 8.47 38.19
348 22.81 48.41 13.11 8.87 38.66
349 22.93 66.01 12.74 17.67 38.09
350 22.87 31.46 12.00 7.97 36.89
351 22.86 39.68 12.22 9.22 39.38
352 22.89 79.98 9.54 12.86 27.08
353 23.03 28.56 12.84 8.86 39.33
354 22.99 46.58 12.10 9.49 39.46
355 23.14 51.66 13.39 12.97 38.72
356 23.27 58.68 13.20 15.42 39.42
357 22.97 62.22 12.44 36.44 34.89
358 23.10 73.69 11.12 19.44 32.62
359 23.44 38.41 13.16 9.27 37.60
360 23.37 17.57 9.87 7.16 31.36
361 23.39 24.52 11.98 9.59 37.00
362 23.71 36.50 12.34 8.84 41.98
363 23.40 61.52 14.10 23.00 44.90
364 23.39 72.29 11.27 21.20 35.12
365 23.61 21.47 10.80 8.00 34.86
366 23.43 77.40 11.22 15.67 33.53
367 23.52 19.38 10.60 7.35 33.50
368 23.61 64.97 11.61 31.76 36.24
369 23.60 30.53 11.54 8.69 40.67
370 23.56 45.92 12.25 9.05 40.75
371 23.81 49.16 12.71 12.40 37.80
372 23.54 50.54 11.82 10.32 37.41
373 23.70 62.89 14.05 19.63 41.47
374 23.65 79.74 10.10 26.07 24.56
375 23.91 40.67 12.45 9.67 38.02
376 23.72 34.68 11.74 9.40 42.71
377 23.54 59.89 11.60 26.50 40.50
378 23.74 67.13 14.00 37.21 33.98
379 24.03 47.17 12.46 12.44 39.65
380 23.87 56.87 12.38 16.65 40.48
381 24.05 28.38 12.86 8.93 40.63
382 23.98 52.31 12.85 12.58 37.64
383 24.09 73.27 12.14 40.90 33.12
384 23.91 16.56 9.11 5.44 30.11
385 24.18 32.12 12.37 11.02 42.48
386 24.33 60.99 12.77 41.51 37.16
387 24.28 76.70 11.37 36.79 28.59
388 24.34 69.35 12.14 52.35 32.76
389 24.37 43.22 12.29 11.15 39.96
390 24.27 17.97 10.48 8.33 34.53
391 24.51 25.62 13.25 9.89 40.06
392 24.51 65.36 13.65 51.68 34.05
393 24.62 51.16 12.41 15.21 40.19
394 24.50 54.74 12.90 16.97 42.17
395 24.79 22.37 11.88 10.78 36.16
396 24.65 57.78 12.92 25.36 43.50
397 24.69 20.36 11.62 10.33 35.76
398 24.74 79.93 10.72 39.82 28.52
399 24.83 34.87 13.53 13.81 40.42
400 24.88 71.66 12.94 59.38 33.43
401 24.61 40.32 12.50 14.67 39.89
402 24.76 45.36 12.92 14.28 39.56
403 24.96 63.16 12.76 66.53 34.08
404 24.85 47.44 12.91 15.29 40.26
405 25.04 58.92 12.67 51.44 35.03
406 25.20 29.33 12.23 11.22 42.41
407 25.19 67.49 13.36 73.14 33.29
408 25.12 40.95 12.07 12.36 39.50
409 25.17 27.43 12.55 13.00 41.77
410 25.53 74.63 11.48 59.45 31.92
411 25.35 77.08 11.83 51.51 30.06
412 25.36 49.53 12.26 20.14 38.83
413 25.45 36.09 12.79 13.57 41.34
414 25.37 38.95 12.67 14.61 39.39
415 25.47 43.13 13.01 15.73 41.64
416 25.51 23.34 10.95 12.48 39.35
417 25.47 32.68 13.00 13.59 39.28
418 25.56 46.30 13.45 16.20 40.51
419 25.57 54.25 14.19 41.18 39.61
420 25.37 19.78 12.25 11.42 38.50
421 25.70 60.90 13.66 81.32 36.46
422 25.66 17.81 10.16 10.84 35.64
423 25.83 69.34 13.27 88.01 35.81
424 25.87 65.19 13.53 95.04 36.78
425 25.87 31.18 11.33 13.71 42.37
426 25.90 56.53 13.59 57.26 37.05
427 25.92 25.57 12.76 13.61 40.85
428 26.10 72.12 13.06 87.14 33.10
429 26.34 52.09 13.31 44.59 38.67
430 26.04 80.52 10.80 59.33 27.06
431 26.07 19.97 11.47 16.14 34.93
432 25.98 37.96 13.44 14.85 39.97
433 26.57 39.93 12.93 19.82 42.33
434 26.43 58.85 13.59 88.41 35.37
435 26.38 29.29 12.38 19.43 42.99
436 26.24 42.10 12.19 24.39 39.65
437 26.52 62.98 13.45 115.94 36.01
438 26.47 77.06 12.08 74.88 32.10
439 26.69 23.95 12.05 19.39 37.37
440 26.60 37.02 12.63 20.55 39.42
441 26.54 49.20 13.36 45.57 35.12
442 26.79 83.76 9.62 50.69 21.20
443 26.72 54.36 13.19 73.59 35.80
444 26.77 66.79 13.39 118.04 35.82
445 26.68 32.24 12.41 17.14 43.16
446 26.89 46.80 13.35 50.52 34.48
447 27.07 79.53 12.54 78.23 31.34
448 27.57 75.57 12.56 96.91 36.00
449 27.03 69.68 13.19 123.50 34.40
450 27.20 73.20 13.05 101.37 34.55
451 26.99 43.13 13.57 42.45 37.04
452 27.14 56.84 13.45 111.88 37.55
