#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
bk14 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
350 23.15 46.70 31.99 35.58 166.22
351 23.01 50.52 32.79 39.00 154.77
352 23.23 33.28 28.21 30.78 159.11
353 23.25 40.57 31.11 36.06 178.22
354 23.12 67.40 49.11 32.09 145.30
355 23.17 75.15 70.85 26.15 133.64
356 23.03 12.52 16.92 13.96 104.49
357 23.29 79.37 80.39 23.57 119.70
358 23.33 15.15 18.37 18.04 114.52
359 23.32 52.90 33.78 36.65 170.01
360 23.52 48.57 34.00 38.06 170.90
361 23.37 62.57 37.95 35.39 149.51
362 23.58 30.92 27.96 30.43 160.85
363 23.69 35.66 28.29 30.83 165.85
364 23.62 44.37 32.08 35.77 165.43
365 23.68 20.39 22.59 20.57 129.50
366 23.72 60.25 39.26 35.17 162.02
367 23.69 72.60 75.83 28.84 151.29
368 23.68 28.19 25.36 27.26 148.23
369 23.69 38.11 29.66 34.45 172.24
370 23.80 25.49 24.57 24.22 144.32
371 23.90 81.58 79.96 22.43 109.28
372 23.75 77.18 96.76 29.07 145.61
373 23.93 64.96 51.76 33.23 163.26
374 23.67 12.96 16.90 16.43 94.97
375 24.08 42.04 32.48 37.23 174.62
376 24.05 56.07 39.18 38.36 171.31
377 24.19 57.95 40.32 40.75 181.40
378 24.21 54.12 36.36 38.58 164.79
379 24.20 70.27 87.75 30.53 154.50
380 24.27 17.62 21.11 19.61 121.27
381 24.20 67.82 70.88 33.47 161.04
382 24.37 49.93 33.96 37.19 173.62
383 24.32 51.84 35.38 38.59 172.84
384 24.51 22.92 23.96 23.85 133.56
385 24.43 33.57 28.96 31.05 165.42
386 24.43 46.03 34.47 38.86 180.31
387 24.69 39.66 30.21 34.87 172.57
388 24.44 62.19 52.58 36.38 171.52
389 24.57 12.18 20.03 14.39 103.87
390 24.64 74.08 107.53 31.60 161.06
391 24.36 76.65 91.87 27.20 144.77
392 24.71 14.76 20.73 17.11 117.97
393 24.78 47.92 38.26 38.57 176.46
394 24.79 78.89 119.39 26.53 141.48
395 24.84 29.18 25.85 26.52 155.15
396 24.81 31.46 29.48 30.58 166.08
397 24.95 26.95 26.82 27.31 152.01
398 24.86 37.55 32.51 34.95 180.74
399 24.84 43.86 33.74 37.91 182.50
400 24.94 83.61 82.18 22.44 99.60
401 25.09 20.34 25.43 20.56 142.34
402 24.94 59.68 52.64 37.26 174.80
403 25.10 35.55 30.99 31.61 166.87
404 25.14 66.17 90.10 32.52 175.68
405 25.19 63.86 73.81 33.53 191.29
406 25.43 24.98 28.92 23.74 147.41
407 25.25 55.34 47.78 37.21 179.87
408 25.33 71.38 120.30 30.45 165.80
409 25.31 81.22 111.50 25.31 141.78
410 25.34 68.69 115.20 34.15 172.19
411 25.32 41.55 35.79 34.51 187.35
412 25.35 76.27 122.39 29.27 157.91
413 25.32 53.08 41.21 37.99 175.83
414 25.44 57.53 57.66 37.57 192.92
415 25.58 17.50 25.51 19.68 128.24
416 25.49 50.54 39.87 35.90 173.92
417 25.62 61.57 78.68 36.47 189.90
418 25.65 33.47 31.40 32.08 160.67
419 25.66 45.79 39.45 38.90 181.50
420 25.82 12.25 23.71 13.98 107.78
421 25.95 22.64 27.50 23.08 145.91
422 25.99 31.04 33.26 28.23 168.83
423 26.03 37.28 37.24 33.92 171.40
424 25.96 48.04 43.28 39.02 183.38
425 26.00 43.65 40.24 38.47 185.38
426 26.09 73.76 127.62 29.68 162.03
427 26.18 15.02 29.51 18.22 127.08
428 26.17 39.36 38.13 34.03 180.80
429 26.02 28.67 32.37 28.10 160.32
430 26.12 59.52 73.66 38.07 193.15
431 26.28 78.99 121.85 28.58 156.92
432 26.30 64.67 117.52 36.52 202.73
433 26.37 66.87 141.93 34.70 198.53
434 26.29 52.23 49.12 38.25 178.72
435 26.32 56.31 68.29 39.83 200.96
436 26.45 20.03 29.54 20.56 145.52
437 26.56 27.06 32.74 25.02 156.58
438 26.47 54.26 62.28 39.00 183.71
439 26.59 81.82 101.81 25.59 134.88
440 26.47 35.36 40.31 32.96 181.79
441 26.42 41.52 41.05 38.59 187.47
442 26.68 69.04 150.74 33.11 185.08
443 26.59 71.41 149.14 31.43 181.85
444 26.72 84.45 65.18 22.39 106.28
445 26.66 49.84 52.90 39.80 186.51
446 26.66 62.44 105.96 37.36 200.48
447 26.64 76.14 133.11 29.69 186.06
448 26.80 24.92 33.13 24.79 147.59
449 26.92 10.84 39.65 14.40 115.39
450 26.76 32.67 38.63 29.87 175.13
451 26.81 45.89 47.75 36.41 184.15
452 26.96 58.13 100.43 38.74 200.16
453 27.05 17.53 37.71 21.27 144.14
454 27.05 13.29 40.91 16.54 143.80
455 27.08 29.72 37.83 29.29 170.81
456 27.08 43.56 45.13 36.96 189.86
457 27.20 47.84 61.12 40.02 202.04
458 27.24 60.43 111.45 37.99 199.14
459 27.25 22.39 36.25 22.69 152.88
460 27.22 51.68 71.55 39.93 198.02
461 27.37 38.68 51.47 35.04 192.82
462 27.44 36.62 52.01 35.05 179.24
463 27.48 41.03 51.68 36.86 188.84
464 27.39 56.02 99.52 40.34 198.27
465 27.55 34.28 52.77 32.89 193.48
466 27.52 64.86 153.74 38.49 204.81
467 27.60 72.99 127.38 32.09 187.94
468 27.59 77.83 117.51 29.64 169.64
469 27.64 53.61 84.80 37.69 194.96
470 27.59 67.18 154.74 38.95 196.15
471 27.73 86.15 57.81 22.12 82.94
472 27.81 15.45 55.97 19.89 160.30
473 27.85 82.98 79.19 24.26 131.66
474 27.83 19.84 49.57 22.56 155.97
475 27.78 27.45 44.26 27.67 164.84
476 27.85 31.93 52.84 31.25 191.48
477 27.80 70.17 146.79 35.75 198.05
478 27.76 62.69 133.74 40.18 201.68
479 27.91 49.74 83.66 41.17 203.64
480 27.95 75.25 119.22 33.07 180.52
481 28.06 80.31 103.94 28.40 153.05
482 27.98 45.83 73.39 37.61 198.77
483 27.97 24.78 50.69 24.19 157.63
484 28.10 58.96 138.99 40.78 218.21
485 28.07 43.16 67.14 36.71 195.76
486 28.10 12.97 58.74 15.28 123.20
487 28.24 11.51 69.36 17.15 138.17
488 28.33 29.91 60.82 30.76 198.28
489 28.36 9.31 65.88 13.85 110.53
490 28.32 51.70 109.23 37.36 211.31
491 28.59 57.09 139.38 39.76 206.85
492 28.50 48.09 107.24 38.40 209.73
493 28.48 55.10 125.38 40.80 218.90
494 28.47 39.93 76.93 36.89 202.70
495 28.59 61.03 138.81 39.24 207.70
496 28.53 22.17 64.04 24.41 168.31
497 28.54 35.06 82.00 33.09 198.20
498 28.57 37.33 81.98 34.68 196.66
499 28.67 17.54 74.26 20.18 148.84
500 28.69 68.26 134.47 35.50 193.87
501 28.71 65.63 154.22 39.49 204.02
502 28.75 87.61 45.35 22.00 60.48
503 28.86 71.07 115.03 33.91 190.18
504 28.91 63.38 142.50 38.37 205.88
505 28.92 84.89 63.80 25.25 103.26
506 28.88 77.11 95.62 30.64 155.41
507 29.05 14.53 86.68 18.39 149.33
508 28.93 28.10 80.73 29.97 189.15
509 28.88 32.69 86.73 32.92 195.92
510 29.06 41.94 103.96 38.54 201.23
511 28.94 44.56 100.70 38.00 209.48
512 29.04 53.19 137.59 38.94 210.28
513 29.06 73.83 102.95 33.14 170.57
514 29.03 25.61 86.33 25.56 182.75
515 29.31 19.95 94.56 21.60 166.05
516 29.33 46.67 120.61 39.57 209.94
517 29.26 82.21 70.03 28.98 122.00
518 29.39 50.86 147.35 38.12 215.90
519 29.29 59.37 141.58 38.91 210.88
520 29.41 12.01 100.55 16.34 150.54
521 29.38 38.95 120.41 35.80 212.81
522 29.55 79.64 82.52 31.43 137.24
523 29.60 23.26 102.54 24.26 170.38
524 29.63 30.39 107.71 29.09 187.11
525 29.66 48.85 140.15 40.40 215.69
526 29.60 34.85 122.89 33.13 203.48
527 29.74 55.13 145.47 40.66 214.88
