#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
pf10 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
201 18.15 22.75 14.74 10.35 87.61
202 18.53 55.07 23.08 17.11 109.18
203 18.63 57.48 22.74 16.43 95.79
204 18.73 25.53 15.28 10.31 107.34
205 18.69 19.76 13.98 9.12 98.14
206 18.90 33.10 17.18 12.36 129.99
207 18.80 47.97 22.41 15.59 132.65
208 18.97 38.25 19.03 13.27 142.32
209 18.92 75.41 27.53 12.30 74.72
210 19.14 40.85 20.18 12.34 129.28
211 19.07 59.60 24.25 15.40 102.68
212 19.02 62.01 24.23 15.68 92.73
213 19.02 67.66 27.18 14.13 82.13
214 19.32 22.43 14.39 10.19 98.24
215 19.03 64.61 26.20 14.72 86.12
216 19.25 43.20 20.44 14.55 135.57
217 19.41 35.79 19.07 13.32 135.10
218 19.50 16.49 11.93 7.50 86.13
219 19.54 30.72 17.94 12.15 125.97
220 19.56 80.12 21.15 10.93 59.58
221 19.48 50.72 23.15 15.79 139.14
222 19.59 45.77 22.24 15.03 137.47
223 19.71 71.21 30.51 14.16 86.10
224 19.84 28.00 15.78 11.49 126.45
225 19.80 52.92 24.77 15.82 122.58
226 19.80 55.18 24.84 17.23 120.70
227 19.91 77.40 27.12 12.43 77.48
228 20.05 19.39 13.85 9.30 102.51
229 20.13 48.74 23.15 15.88 138.12
230 20.17 74.00 33.16 13.22 80.82
231 20.20 24.78 15.80 10.92 117.97
232 20.17 57.18 25.59 16.60 113.25
233 20.17 62.77 29.54 16.15 98.62
234 20.26 65.61 31.43 14.96 91.03
235 20.39 33.90 18.74 12.64 137.78
236 20.35 59.46 27.69 15.69 112.74
237 20.30 37.90 19.97 13.49 143.66
238 20.39 68.38 36.72 15.75 96.20
239 20.49 40.47 21.47 14.72 138.30
240 20.56 43.34 24.27 15.40 147.44
241 20.83 29.72 17.57 11.64 134.80
242 20.79 46.52 24.12 15.70 144.62
243 21.01 21.63 15.13 9.69 110.36
244 21.00 51.35 26.82 16.25 136.55
245 21.09 53.79 27.51 15.82 128.71
246 21.13 17.98 13.99 8.99 107.99
247 21.12 70.87 43.33 14.80 99.12
248 21.21 14.92 12.89 7.77 89.20
249 21.13 79.60 31.72 11.45 77.76
250 21.29 32.12 19.73 13.08 146.45
251 21.16 61.03 34.35 16.90 127.58
252 21.25 36.06 21.77 13.06 135.30
253 21.33 27.07 17.03 10.99 126.33
254 21.22 75.53 42.98 12.88 87.86
255 21.39 56.07 30.40 17.06 131.65
256 21.46 49.10 26.93 16.17 147.03
257 21.49 63.49 41.18 16.01 117.96
258 21.44 66.07 43.91 16.27 113.08
259 21.37 76.88 35.67 13.35 82.26
260 21.56 24.29 16.62 10.32 116.91
261 21.72 73.32 48.43 14.89 98.40
262 21.61 44.42 27.03 17.27 172.09
263 21.64 38.69 23.05 13.72 139.06
264 21.73 58.39 34.90 16.46 132.19
265 21.71 41.67 24.37 14.69 145.53
266 21.95 68.19 57.94 16.20 112.64
267 22.06 46.96 27.17 16.16 149.34
268 22.25 34.28 21.89 13.25 142.48
269 22.26 29.39 19.53 12.16 136.60
270 22.34 52.49 35.45 17.29 148.84
271 22.48 77.79 56.78 14.36 94.97
272 22.31 60.88 46.31 16.81 144.24
273 22.50 50.14 30.89 16.10 154.22
274 22.53 80.96 46.87 12.89 96.14
275 22.52 17.10 15.70 8.50 110.18
