#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kd32 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
380 23.19 74.17 16.32 19.26 46.21
381 23.30 25.11 14.93 8.17 48.03
382 23.32 27.11 14.73 8.83 45.85
383 23.68 35.48 16.96 8.16 52.30
384 23.25 49.28 19.19 10.19 54.88
385 23.58 64.37 17.49 12.39 52.41
386 23.40 76.47 14.94 17.83 42.50
387 23.32 29.52 14.08 8.46 48.31
388 23.40 54.09 17.16 10.55 56.00
389 23.49 61.59 18.18 11.54 54.16
390 23.55 69.88 16.74 12.74 48.90
391 23.52 42.47 17.83 9.11 56.11
392 23.97 58.34 17.91 11.77 53.74
393 23.88 47.04 18.66 10.22 55.78
394 23.63 51.71 18.17 10.67 53.43
395 23.86 55.73 18.89 10.70 56.59
396 23.68 31.17 16.66 8.11 49.29
397 23.77 21.13 13.00 7.96 40.71
398 24.05 29.38 15.89 8.06 46.28
399 23.81 23.17 14.08 9.55 45.66
400 23.87 78.67 13.76 19.92 41.84
401 23.95 49.53 19.16 11.07 55.70
402 24.16 32.37 15.58 9.20 51.20
403 24.40 44.58 18.30 8.97 57.37
404 24.43 63.29 18.10 13.65 47.87
405 24.21 68.41 16.64 15.64 48.91
406 24.20 42.24 17.43 9.09 54.20
407 24.22 53.03 19.06 11.19 55.44
408 24.39 18.57 13.62 8.49 41.95
409 24.25 27.16 15.22 8.52 48.11
410 24.48 38.01 17.36 9.61 51.62
411 24.18 62.04 20.82 14.73 57.00
412 24.54 60.25 18.36 13.13 54.32
413 24.42 24.36 13.92 8.38 46.57
414 24.39 40.43 17.00 9.12 53.97
415 24.64 70.66 16.34 25.52 47.79
416 24.81 22.54 14.49 8.87 44.01
417 24.52 65.40 17.22 18.57 52.17
418 24.59 50.27 18.42 11.15 54.77
419 24.93 48.50 17.21 10.45 55.93
420 24.88 80.23 14.27 49.49 37.84
421 24.84 53.91 19.00 11.78 54.03
422 25.04 72.31 16.96 35.04 49.42
423 24.98 21.07 13.36 8.97 40.69
424 24.88 32.40 16.97 9.65 49.26
425 24.96 36.37 17.09 9.62 49.43
426 25.04 25.37 14.49 8.64 47.26
427 25.12 30.75 15.30 8.28 47.28
428 25.01 41.03 18.03 10.03 52.23
429 25.12 61.54 17.43 16.22 54.11
430 25.24 64.18 17.85 22.00 50.51
431 25.27 78.14 14.88 57.92 40.95
432 25.48 45.69 19.24 11.20 56.30
433 25.56 75.97 16.53 67.36 45.09
434 25.38 33.55 17.86 10.03 52.67
435 25.56 50.51 19.43 11.95 55.76
436 25.45 58.30 18.62 13.59 54.77
437 25.30 39.07 16.33 10.83 54.75
438 25.43 34.96 14.81 10.84 51.84
439 25.46 66.46 17.21 26.16 50.21
440 25.72 17.48 12.79 9.85 40.09
441 25.80 20.13 13.80 9.36 45.29
442 25.54 47.72 18.52 12.22 55.52
443 25.77 81.78 13.48 62.35 37.05
444 25.67 28.58 15.67 9.25 46.93
445 25.44 29.70 15.33 10.00 49.17
446 25.90 31.44 15.81 9.86 47.40
447 25.72 37.42 16.73 10.70 52.80
448 25.54 39.94 17.89 10.67 57.89
449 25.84 25.70 14.79 9.93 44.57
450 25.86 35.99 16.69 10.04 52.50
451 26.03 41.00 18.79 12.73 54.92
452 26.07 73.35 17.64 79.56 43.07
453 25.89 69.39 17.67 53.56 43.50
454 25.72 59.96 17.81 20.00 52.38
455 25.87 62.36 16.95 20.62 51.51
456 25.74 63.48 18.40 24.80 49.80
457 26.08 47.27 17.96 12.40 54.90
458 26.07 60.82 18.41 23.62 53.66
459 26.03 39.50 17.86 10.95 55.38
460 26.03 59.04 17.18 16.82 58.09
461 26.21 21.80 14.26 9.39 43.30
462 26.26 23.28 14.62 11.01 44.93
463 26.38 78.72 14.99 86.46 40.10
464 26.31 38.17 16.40 11.71 53.36
465 26.28 33.02 16.14 10.36 50.14
466 26.19 34.81 16.97 10.89 54.66
467 26.26 55.44 19.28 16.04 55.91
468 26.68 57.54 19.41 20.14 54.40
469 26.86 67.80 18.38 72.18 49.06
470 26.28 18.88 13.82 11.55 43.36
471 26.73 29.27 15.25 10.57 49.66
472 26.58 49.19 18.79 12.17 57.02
473 26.38 62.49 19.17 32.44 51.17
474 26.41 59.62 19.64 18.00 63.00
475 26.86 70.57 18.57 92.89 46.90
476 26.83 83.06 14.18 82.60 36.09
477 26.79 18.02 12.33 15.67 39.80
478 26.86 44.33 18.35 13.05 56.36
479 26.63 21.03 15.13 12.53 43.80
480 27.01 19.79 14.36 15.91 41.79
481 26.89 53.43 20.02 21.45 59.67
482 26.94 34.53 16.25 10.93 48.75
483 26.96 65.05 18.89 63.34 48.58
484 27.29 80.76 16.16 99.36 40.92
485 26.99 51.67 19.49 15.46 55.81
486 27.00 59.89 19.67 35.04 57.65
487 27.13 76.00 17.41 116.52 46.00
488 26.86 16.80 13.92 15.08 40.85
489 27.37 27.09 15.57 14.02 44.82
490 27.00 32.45 16.05 10.03 50.90
491 27.31 39.64 17.66 13.33 55.31
492 27.24 41.72 18.11 12.14 53.54
493 27.33 72.52 18.26 129.24 48.76
494 27.31 74.10 16.78 123.51 48.96
495 27.23 16.31 13.71 15.41 41.71
496 27.63 23.86 14.04 15.17 46.06
497 27.42 46.15 19.71 16.52 55.71
498 27.49 59.16 17.90 30.45 58.15
499 27.47 52.66 18.52 19.26 58.19
500 27.75 56.47 18.69 26.26 59.07
501 27.78 34.45 16.16 11.79 49.70
502 27.77 62.88 18.98 81.35 50.60
503 27.85 78.22 16.77 123.14 43.07
504 27.52 40.67 18.30 15.00 57.30
505 28.09 45.22 19.01 18.79 56.32
506 27.71 17.53 13.72 18.26 42.51
507 28.03 65.58 18.34 115.33 50.02
508 28.02 32.72 16.78 14.78 51.55
509 28.30 36.45 16.19 15.51 53.02
510 27.89 57.80 19.89 36.00 57.09
511 27.92 83.64 14.56 87.92 40.02
512 27.84 20.03 12.85 19.62 46.23
513 28.13 19.00 13.44 21.80 46.15
514 28.05 22.27 14.24 19.25 41.87
515 28.30 68.24 17.44 145.12 50.03
516 27.94 50.13 19.15 19.62 61.23
517 28.22 70.76 17.71 148.09 47.89
518 28.25 52.78 19.55 26.53 57.94
519 28.28 41.29 17.60 17.02 53.74
520 28.38 26.11 14.74 18.64 45.09
521 28.33 50.90 19.49 22.49 58.47
522 28.91 39.28 18.61 20.71 56.50
523 28.45 54.66 19.52 33.44 56.11
524 28.55 73.29 18.62 170.64 48.28
525 28.66 75.62 17.82 148.42 49.47
526 28.48 20.54 12.44 26.12 44.75
527 28.61 85.44 13.24 68.01 45.62
528 28.57 17.08 12.67 39.42 41.73
529 28.56 59.63 20.19 68.71 53.06
530 28.69 61.48 19.38 106.26 51.66
531 28.89 82.69 15.68 104.26 50.76
532 28.97 80.41 17.12 123.17 52.28
533 29.10 63.79 18.90 145.95 50.79
534 28.77 31.53 15.70 18.64 51.18
535 29.28 58.18 21.50 93.67 58.94
536 29.16 77.75 17.06 142.50 50.41
537 29.17 51.14 20.46 31.96 58.05
538 29.44 28.73 15.73 22.62 47.29
539 29.29 66.26 18.50 164.96 52.47
540 29.20 33.55 16.73 22.10 52.24
541 29.31 44.74 18.74 25.36 60.29
542 29.51 15.51 13.17 77.79 38.53
543 29.28 19.83 14.04 55.36 44.31
544 29.15 53.55 20.00 34.50 55.91
545 29.43 31.02 15.93 23.53 51.33
546 29.38 70.33 18.70 157.81 52.99
547 29.69 17.46 13.58 85.93 39.31
548 29.34 85.36 13.86 46.95 89.29
549 29.34 48.16 18.00 36.54 57.85
550 29.83 13.63 11.71 86.01 32.48
551 29.56 55.86 21.40 87.75 54.71
552 29.86 60.93 19.51 149.77 55.63
553 29.89 68.18 18.19 169.23 51.23
554 29.72 25.34 14.60 50.83 44.21
555 29.78 52.62 19.73 65.10 54.75
556 29.86 72.71 20.06 191.98 61.40
557 29.88 22.51 15.33 57.22 40.96
558 29.76 35.45 16.60 25.58 51.92
559 29.84 20.66 14.23 58.68 45.74
560 29.82 32.59 15.84 33.21 52.44
561 29.87 48.82 19.47 37.18 62.35
562 30.33 54.21 19.90 117.39 54.90
563 30.16 75.09 18.10 144.82 61.82
564 29.94 85.09 14.79 64.82 92.67
565 30.04 42.03 19.49 35.34 57.92
566 30.11 50.45 21.09 69.97 54.48
567 30.09 82.44 16.53 97.46 95.85
568 30.42 43.75 19.38 51.23 60.56
569 30.28 63.83 19.75 182.09 53.47
570 30.32 79.96 18.81 120.12 91.82
571 30.38 47.45 20.88 74.66 57.98
572 30.52 19.30 13.93 107.31 42.43
573 30.37 56.93 21.62 130.73 58.51
574 30.36 77.47 17.25 125.74 68.60
575 30.28 28.86 15.57 54.73 45.29
576 30.77 30.80 15.27 64.05 48.53
577 30.64 26.86 14.83 88.62 41.07
578 30.73 59.00 20.33 158.20 56.61
579 30.50 36.37 17.64 36.61 56.30
580 30.70 66.07 19.34 194.38 58.21
581 30.75 70.32 19.36 160.42 61.23
582 30.79 32.96 17.03 68.33 47.93
583 30.89 24.12 14.76 92.67 42.75
584 30.82 51.60 20.64 115.73 57.21
585 30.93 16.34 13.77 127.61 39.66
586 30.96 86.59 13.91 40.96 125.09
587 30.84 40.43 19.41 63.82 49.62
588 31.00 13.81 12.86 120.83 36.26
589 31.08 34.88 16.22 61.88 52.52
590 31.07 49.20 20.80 116.18 57.95
591 31.12 61.40 21.24 186.68 62.20
592 31.33 21.56 14.77 113.72 45.52
593 31.28 82.22 16.75 69.12 145.62
594 31.35 55.48 20.82 172.74 58.48
595 31.23 72.73 18.21 132.11 82.45
596 31.12 84.40 15.82 43.58 145.00
597 31.49 41.60 18.99 104.31 57.07
598 31.48 46.53 20.08 120.53 56.04
599 31.14 79.28 17.19 73.30 151.11
600 31.61 88.81 13.26 28.07 114.72
601 31.47 44.18 19.71 112.23 57.27
602 31.45 68.12 20.12 156.84 72.65
603 31.33 75.57 19.42 123.68 117.40
604 31.51 28.89 15.80 111.76 47.30
605 31.46 63.77 21.12 173.92 61.39
606 31.39 12.63 11.26 121.52 39.13
607 31.54 77.88 19.51 103.85 158.87
608 31.77 39.02 18.79 101.23 54.03
609 31.70 53.04 20.61 173.59 56.63
610 31.74 36.68 17.89 102.22 51.89
611 31.85 57.37 20.99 188.65 59.72
612 31.82 18.66 14.21 150.66 42.31
613 31.88 26.53 16.02 141.38 47.31
614 32.14 50.79 20.36 168.38 60.43
615 31.99 33.45 16.49 136.12 48.35
616 32.08 59.49 20.22 184.78 66.71
