#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
pf7 14A 4 even-skipped Kruppel giant
166 15.63 23.71 15.41 8.62 38.27
167 15.83 70.40 21.96 11.46 68.04
168 15.58 30.79 20.81 11.19 46.48
169 15.94 45.23 23.31 15.34 85.74
170 15.94 47.75 22.20 14.72 91.91
171 15.97 21.41 15.91 9.03 48.87
172 15.96 59.90 23.21 15.07 95.53
173 15.91 67.97 21.26 12.87 73.48
174 16.19 63.66 22.37 13.22 85.88
175 16.18 31.36 17.35 12.03 50.92
176 16.25 33.50 22.40 12.90 57.66
177 16.38 35.80 20.81 13.45 67.72
178 16.13 28.02 20.23 10.31 50.38
179 16.46 50.03 22.48 15.40 109.75
180 16.55 57.69 22.30 15.05 109.35
181 16.63 65.91 25.14 13.62 87.17
182 16.68 54.87 24.43 15.22 109.93
183 16.56 29.32 19.93 11.55 56.81
184 16.84 38.30 22.46 13.85 90.19
185 17.04 40.69 22.74 15.05 101.35
186 17.07 25.12 17.92 10.06 66.35
187 17.12 61.70 24.80 13.48 108.07
188 17.09 43.16 24.68 15.39 109.85
189 17.07 52.54 23.71 15.32 118.54
190 17.30 68.43 22.52 11.75 85.40
191 17.29 71.05 21.66 12.49 73.55
192 17.28 22.38 17.63 8.43 69.99
193 17.38 45.81 23.53 14.79 125.66
194 17.53 48.21 25.69 15.73 133.12
195 17.58 31.31 19.93 12.11 73.35
196 17.62 27.96 19.15 11.09 70.61
197 17.69 59.37 24.45 14.68 119.65
198 18.04 33.95 21.00 12.14 93.49
199 17.92 63.78 26.74 14.58 106.08
200 17.89 36.53 21.28 12.80 102.99
201 17.91 50.52 25.58 14.90 140.29
202 17.99 56.75 22.54 15.11 133.67
203 17.76 23.58 17.59 8.50 71.09
204 18.12 66.09 24.96 13.77 99.37
205 18.28 39.04 23.41 15.61 124.22
206 18.27 54.30 26.05 15.54 143.45
207 18.31 19.14 17.70 7.82 89.29
208 18.31 72.64 23.66 12.27 77.37
209 18.45 44.17 23.19 15.66 142.26
210 18.52 41.74 23.83 14.95 137.33
211 18.60 25.93 19.20 10.66 87.19
212 18.76 61.52 23.50 15.45 131.57
213 18.68 69.02 25.29 12.59 91.26
214 18.88 52.12 27.28 16.59 151.21
215 18.82 22.69 18.15 10.00 94.41
216 18.97 46.59 25.69 16.12 147.35
217 18.96 29.25 20.32 11.22 95.28
218 19.07 48.97 24.27 16.39 155.82
219 19.18 32.08 21.84 12.56 105.20
220 19.06 58.99 25.08 15.27 139.70
221 19.15 36.13 21.73 13.99 122.90
222 19.45 70.96 27.85 12.68 99.48
223 19.33 76.53 25.48 11.28 78.53
224 19.37 63.94 26.69 15.03 119.88
225 19.43 56.55 27.34 16.18 148.96
226 19.51 17.11 15.37 7.95 95.49
227 19.51 66.70 26.54 15.10 112.74
228 19.55 39.62 23.70 14.96 141.69
229 19.55 73.76 28.97 12.05 85.48
230 19.87 24.54 19.04 11.27 111.03
231 19.87 44.49 25.58 15.74 153.98
232 19.89 53.81 26.85 16.90 157.32
233 19.80 19.69 16.25 9.48 106.60
234 19.96 42.18 25.57 15.57 156.54
235 19.99 50.96 27.19 17.18 157.46
236 20.22 26.97 18.56 11.18 108.24
237 20.29 35.22 24.05 14.05 141.64
238 20.26 60.09 29.37 15.95 145.54
239 20.43 37.62 24.29 14.16 153.20
240 20.33 68.81 28.78 13.25 110.24
241 20.60 22.27 19.88 10.04 113.17
242 20.42 32.98 23.58 12.47 134.59
243 20.43 46.87 25.31 16.19 161.77
244 20.54 62.48 27.96 15.11 134.46
245 20.62 29.63 21.08 11.60 113.86
246 20.64 77.21 32.78 10.57 88.67
247 20.75 49.19 28.36 17.51 174.35
248 20.69 55.57 27.67 16.50 163.88
249 20.70 65.06 29.99 14.96 125.03
250 20.76 72.06 33.43 13.83 107.55
251 21.00 57.85 27.43 15.90 155.30
252 20.90 74.80 34.50 13.17 98.79
253 20.95 39.95 25.34 15.49 154.99
254 21.19 51.81 28.42 15.59 164.39
255 21.18 25.08 19.76 10.00 119.92
256 21.19 19.80 18.65 9.86 120.83
257 21.30 42.35 27.26 15.64 161.66
258 21.34 44.93 26.78 15.60 160.58
259 21.43 67.27 35.21 14.73 131.66
260 21.43 78.96 31.59 11.32 84.98
261 21.40 31.87 22.20 12.61 131.13
262 21.64 53.90 30.32 18.15 177.78
263 21.57 60.11 29.40 16.36 153.91
264 21.72 69.90 38.64 14.10 125.11
265 21.66 34.94 23.94 13.86 148.10
266 21.84 37.75 23.79 14.26 153.29
267 21.81 47.82 26.72 16.93 168.13
268 22.00 27.47 21.18 11.49 128.35
269 22.11 17.81 17.39 9.16 112.48
270 22.02 62.61 34.64 16.19 150.79
271 22.14 56.00 31.54 16.36 170.11
272 22.08 64.94 32.70 16.36 140.16
273 22.04 73.15 45.06 13.59 114.89
274 22.28 50.39 30.84 17.35 177.01
275 22.24 76.29 45.06 12.67 104.71
276 22.34 30.14 22.06 12.23 135.80
277 22.32 21.30 20.00 9.86 123.34
278 22.36 24.22 20.42 10.82 132.70
279 22.40 40.85 28.91 15.15 167.89
280 22.59 43.92 27.39 16.17 173.55
281 22.66 58.08 33.71 16.19 155.28
282 22.67 32.98 24.24 12.55 142.19
283 22.79 46.16 30.16 16.98 171.95
284 22.80 53.03 31.41 17.20 174.88
285 22.86 60.56 33.95 15.91 156.13
286 22.79 67.25 40.55 14.75 146.13
287 22.85 78.80 49.47 11.06 106.17
288 22.98 36.31 25.58 13.77 154.66
289 23.22 38.90 28.48 15.69 169.81
290 23.21 71.89 60.97 15.98 134.16
291 23.15 69.43 50.94 14.65 146.93
292 23.32 48.30 32.43 16.01 171.26
293 23.39 74.40 63.01 13.53 127.76
294 23.43 26.14 22.41 11.36 132.14
295 23.43 64.99 41.73 16.27 160.80
296 23.52 16.58 20.45 8.60 106.67
297 23.48 19.56 21.52 10.39 121.27
298 23.55 42.47 28.99 16.21 170.10
299 23.58 54.90 33.47 17.59 172.79
300 23.57 62.68 40.25 17.34 157.15
301 23.48 81.24 49.41 10.88 94.49
302 23.67 29.11 22.56 11.71 134.26
303 23.62 22.52 22.51 10.29 127.56
304 23.43 50.73 33.82 17.37 185.60
305 23.77 34.39 26.62 13.56 160.86
306 23.87 31.77 27.13 12.61 145.53
307 23.89 76.75 72.20 13.05 121.30
308 23.82 57.31 38.84 17.06 173.96
309 24.02 59.94 39.00 17.73 165.17
310 24.15 45.78 29.99 16.41 169.17
311 24.41 40.78 30.28 16.49 168.55
312 24.27 67.26 61.49 15.92 150.40
313 24.40 52.23 37.03 16.91 174.36
314 24.41 79.12 73.43 12.95 115.58
315 24.42 70.36 76.90 15.49 145.68
316 24.58 38.39 28.90 15.62 169.99
317 24.73 36.14 29.30 14.62 158.84
318 24.58 49.69 35.06 18.60 186.72
319 24.71 18.73 24.71 9.70 119.58
320 24.62 13.45 19.37 7.70 104.78
321 24.64 24.77 24.25 11.24 133.03
322 24.70 27.70 26.73 11.17 136.63
323 24.86 43.30 31.31 16.45 174.02
324 24.67 64.41 57.45 16.09 164.08
325 24.76 73.19 93.09 14.83 142.74
326 25.03 16.16 24.17 8.92 114.90
327 24.96 56.26 43.68 17.74 173.74
328 24.92 61.57 53.06 16.96 170.80
329 25.05 54.03 40.81 18.02 181.49
330 25.06 21.82 25.32 10.40 126.35
331 25.18 30.72 27.35 13.14 144.18
332 25.17 33.49 29.29 13.85 149.09
333 25.21 47.45 37.66 17.74 170.88
334 25.10 58.76 47.81 17.75 168.98
335 25.16 75.70 95.79 14.41 131.88
336 25.57 81.28 94.18 13.05 128.54
337 25.55 68.10 83.74 15.83 152.04
338 25.69 45.17 37.08 17.26 171.35
339 25.72 78.60 106.07 13.92 126.42
340 25.69 71.00 108.91 15.65 156.82
341 25.71 40.50 34.62 17.21 173.89
342 25.80 65.54 86.30 16.98 167.89
343 25.85 63.02 72.28 17.85 171.13
344 25.84 84.32 79.48 10.61 100.14
345 25.80 49.56 41.79 18.53 177.96
346 26.01 51.61 48.19 18.96 181.09
347 25.97 27.67 29.66 12.38 128.48
348 25.94 37.83 33.83 14.86 162.97
349 25.93 24.80 28.15 11.66 130.41
350 26.15 19.40 30.39 9.92 129.61
351 26.18 35.25 33.99 14.96 160.77
352 26.21 60.61 80.36 19.35 184.89
353 26.13 73.94 121.03 15.44 141.44
354 26.23 14.66 30.55 8.87 116.15
355 26.22 56.02 57.75 19.16 179.85
356 26.37 42.83 38.83 16.70 173.46
357 26.32 58.28 65.29 18.07 179.38
358 26.28 53.78 52.56 17.53 182.83
359 26.18 21.45 26.94 9.62 130.56
360 26.51 30.52 33.44 12.56 153.54
361 26.68 32.85 36.69 14.19 157.62
362 26.72 17.11 34.58 9.80 126.01
363 26.64 22.68 31.27 11.07 132.33
364 26.67 76.75 139.88 15.41 134.96
365 26.66 48.20 49.31 18.79 186.15
366 26.85 45.90 47.73 18.64 184.53
367 26.81 69.23 123.17 17.37 164.58
368 26.98 66.73 114.36 17.68 158.79
369 26.87 40.18 38.13 15.64 170.04
370 27.00 63.84 99.14 18.67 173.23
371 27.08 71.82 136.34 17.51 158.45
372 27.19 25.89 36.93 11.07 130.54
373 27.16 11.33 33.38 7.42 82.86
374 27.28 79.18 125.83 15.25 133.66
375 27.33 28.73 38.81 12.73 149.71
376 27.28 37.53 42.12 16.67 162.14
377 27.34 52.57 68.04 19.93 186.93
378 27.25 82.95 105.16 13.10 116.41
379 27.44 50.10 62.57 18.89 178.55
380 27.40 85.31 89.16 11.75 95.88
381 27.41 61.38 109.77 19.67 180.53
382 27.44 54.87 78.58 19.00 189.64
383 27.34 57.24 86.56 19.34 191.63
384 27.52 14.00 44.42 9.08 123.75
385 27.53 35.13 46.08 15.00 167.09
386 27.43 20.38 39.70 10.45 123.19
387 27.49 43.82 50.87 17.50 181.90
388 27.62 74.34 142.95 16.96 149.03
389 27.84 47.43 71.45 18.88 186.84
390 27.95 59.02 110.82 19.89 192.10
391 27.94 23.62 40.73 11.80 137.41
392 27.99 41.63 51.42 17.15 165.19
393 27.98 65.20 145.04 19.10 178.53
394 28.11 16.87 54.72 9.90 128.19
395 28.18 33.07 55.75 14.06 166.79
396 28.16 39.21 52.52 16.68 174.93
397 28.05 69.31 162.40 18.40 167.85
398 28.28 81.46 122.94 14.08 128.01
399 28.35 30.38 55.61 13.25 162.14
400 28.30 76.66 144.12 15.86 144.15
401 28.40 27.28 50.27 12.47 148.47
402 28.50 44.57 73.22 18.47 186.66
403 28.49 51.65 99.26 19.75 201.03
404 28.48 72.00 156.50 18.02 156.36
405 28.41 56.24 111.93 19.93 197.18
406 28.51 19.27 57.36 11.24 132.01
407 28.62 36.64 65.15 16.70 174.84
408 28.71 63.25 147.60 19.22 178.36
409 28.62 67.16 159.47 20.05 183.28
410 28.71 84.29 107.98 12.86 107.24
411 28.83 79.30 138.54 15.73 139.06
412 28.77 11.63 64.37 8.32 97.70
413 28.83 53.68 119.77 21.44 196.72
414 28.67 60.80 141.12 19.77 190.10
415 28.71 49.44 98.34 19.19 188.79
416 28.82 14.36 77.34 9.59 128.81
417 28.96 21.72 61.19 11.94 129.77
418 29.04 46.54 92.21 19.91 180.42
419 29.07 87.44 68.25 10.64 66.96
420 29.26 24.67 63.19 12.17 137.07
421 29.23 74.20 150.02 17.81 142.18
422 29.15 41.55 78.63 17.41 173.93
423 29.26 58.43 143.27 19.35 189.57
424 29.43 32.34 77.42 14.22 163.59
425 29.47 34.97 76.98 15.27 168.50
426 29.37 70.05 154.93 17.76 170.06
427 29.35 38.69 79.59 16.84 181.95
428 29.50 65.11 160.82 19.77 182.85
429 29.52 55.65 153.05 20.81 196.68
430 29.67 27.23 78.47 13.73 157.67
431 29.78 16.29 99.51 10.04 134.24
432 29.79 29.65 85.70 13.82 159.79
433 29.72 77.04 136.01 16.80 135.10
434 29.71 81.85 115.52 14.70 124.86
435 29.72 44.03 104.18 19.26 180.97
436 29.69 48.68 130.14 19.69 195.57
437 29.79 67.43 166.21 20.24 189.23
438 29.80 61.75 166.68 20.90 199.96
439 29.84 19.10 96.74 11.43 142.48
440 30.08 50.80 141.22 19.78 193.99
441 29.99 85.13 100.69 13.55 112.89
442 30.24 10.57 100.33 8.75 106.09
443 30.15 13.21 114.71 9.50 133.05
444 30.05 52.89 151.58 19.35 202.80
445 30.28 72.26 143.57 17.30 155.45
446 30.47 36.61 118.14 15.73 177.01
447 30.38 39.45 112.03 17.05 180.42
448 30.32 46.48 132.32 20.59 198.04
449 30.39 41.95 115.41 18.47 172.66
450 30.48 59.81 184.86 22.31 195.01
451 30.65 79.93 114.05 16.87 125.84
452 30.39 21.66 98.84 11.57 136.82
453 30.42 57.28 177.55 22.75 194.53
454 30.52 63.78 166.16 21.44 197.36
455 30.61 69.21 146.59 18.75 170.42
456 30.65 33.80 116.76 16.20 172.23
457 30.70 26.06 100.45 13.01 154.71
458 30.72 74.90 132.34 17.41 152.14
459 30.79 31.23 112.54 15.19 159.30
460 30.73 54.79 167.12 20.86 192.38
461 31.15 23.83 131.72 12.82 154.81
462 30.98 83.49 103.62 16.39 114.71
463 31.02 48.89 166.27 21.52 204.67
464 31.02 66.16 148.30 19.33 183.97
465 31.15 77.25 121.11 18.29 135.74
466 31.03 44.23 143.43 19.57 198.06
467 31.16 18.39 118.68 10.62 131.48
468 31.43 28.35 124.47 14.23 162.57
469 31.26 61.90 172.70 21.34 191.12
470 31.29 86.03 95.88 15.42 103.49
471 31.23 52.21 172.90 21.58 196.42
472 31.53 38.44 161.89 18.71 186.51
473 31.49 40.78 160.01 19.25 190.56
474 31.53 58.44 178.94 20.38 188.59
475 31.50 71.07 125.00 19.48 159.00
476 31.70 12.80 125.90 9.84 126.49
477 31.49 46.67 173.85 21.05 207.07
478 31.82 56.23 174.51 22.61 196.68
479 31.80 34.28 152.07 17.53 176.66
480 31.88 73.63 110.96 18.99 144.34
481 31.87 21.63 133.60 12.88 147.67
482 31.92 67.89 123.19 19.07 162.24
483 32.07 10.16 111.40 9.57 101.34
484 32.06 36.45 177.56 19.30 191.24
485 31.99 30.77 154.80 16.33 180.54
486 32.02 50.49 183.41 21.83 199.32
487 31.98 64.21 156.33 21.65 179.39
488 32.15 42.73 164.39 22.06 195.74
489 32.12 81.66 91.26 18.44 110.45
490 32.28 25.53 153.72 14.08 156.76
491 32.13 53.92 167.24 22.59 206.19
492 32.14 60.51 168.77 21.82 194.92
493 32.15 78.76 104.01 18.97 123.31
494 32.42 87.81 73.05 14.46 68.38
495 32.34 45.12 175.51 21.82 203.63
496 32.42 48.03 185.57 21.85 202.17
497 32.51 18.56 142.23 11.92 130.07
498 32.59 84.13 89.78 16.24 79.29
499 32.72 15.44 124.38 11.07 133.08
500 32.71 75.59 94.47 19.60 135.78
501 32.72 32.78 158.67 16.90 181.43
502 32.64 70.27 116.02 20.89 156.60
503 32.67 85.68 88.00 17.76 91.28
504 32.82 40.53 164.79 20.26 184.82
505 32.93 27.98 152.90 14.57 163.88
506 33.00 52.31 164.58 25.27 206.12
507 32.88 57.85 153.60 23.30 194.65
508 33.00 62.74 135.69 20.83 176.87
509 33.07 38.05 172.64 18.28 185.46
510 33.03 65.39 120.89 22.99 165.48
511 33.09 13.02 118.42 10.38 121.76
512 33.09 23.18 152.67 13.49 156.23
513 33.24 72.75 98.24 20.49 140.49
514 33.18 55.32 143.92 22.74 181.52
515 33.27 67.76 119.44 22.52 160.40
516 33.32 50.26 166.54 23.67 201.72
517 33.39 30.57 163.72 14.92 175.31
518 33.40 35.50 180.11 18.03 182.47
519 33.26 60.33 136.90 23.08 188.53
520 33.32 80.73 89.00 19.44 102.14
521 33.50 10.38 120.25 10.59 117.53
522 33.50 42.96 162.19 21.85 190.34
523 33.48 77.79 86.15 20.80 125.66
524 33.50 45.58 162.68 22.20 196.94
525 33.62 20.39 137.63 13.56 138.46
526 33.60 7.85 96.90 9.69 79.93
527 33.63 47.94 165.64 22.99 197.18
528 33.82 88.04 83.58 19.21 58.26
529 33.91 25.86 154.60 14.42 154.52
530 34.03 17.57 126.54 12.50 133.49
531 33.96 33.43 178.41 18.73 185.00
532 33.80 83.13 93.95 19.66 82.81
533 34.01 70.05 94.91 21.62 141.87
534 34.04 39.75 162.90 19.98 181.83
535 34.25 74.77 82.43 22.74 119.34
536 34.34 85.62 91.12 21.08 66.89
537 34.11 53.38 134.44 22.81 189.00
538 34.21 58.52 125.55 23.56 178.83
539 34.20 63.38 98.24 21.44 157.06
540 34.40 15.01 117.76 11.80 137.74
541 34.27 65.87 105.04 24.01 156.50
542 34.31 28.65 164.56 15.75 174.08
543 34.35 55.96 130.78 23.89 189.75
544 34.46 23.11 139.44 13.67 143.49
545 34.40 37.35 171.80 19.38 178.78
546 34.52 12.52 115.87 10.42 120.47
547 34.57 60.92 102.49 25.02 173.31
548 34.52 49.83 150.45 23.84 193.63
549 34.67 79.76 83.66 22.58 92.87
550 34.65 41.73 158.71 21.26 194.98
551 34.66 44.12 152.60 20.77 188.18
552 34.75 90.20 92.67 20.71 34.05
553 34.69 31.47 164.29 17.69 180.12
554 34.76 72.43 83.99 23.99 127.72
555 34.78 46.88 149.87 23.22 191.48
556 34.94 67.94 91.33 23.51 139.17
557 34.85 76.97 85.89 23.06 109.16
558 34.86 9.55 97.12 10.82 101.64
559 34.93 20.35 116.42 13.66 136.77
560 34.89 82.57 92.87 22.42 74.25
561 35.17 34.27 153.20 19.54 175.02
562 35.14 6.84 60.61 9.54 60.38
563 35.15 53.07 114.21 24.67 184.33
564 35.27 25.41 134.48 15.78 152.55
565 35.52 50.93 124.26 26.72 189.14
566 35.47 57.11 96.95 23.84 170.01
567 35.41 37.24 153.37 20.04 185.94
568 35.52 40.05 137.90 20.61 187.32
569 35.46 62.76 92.41 23.93 158.57
570 35.57 70.32 87.79 25.36 119.86
571 35.37 88.15 103.58 24.13 46.74
572 35.67 18.45 99.79 12.94 131.32
573 35.46 28.68 142.29 15.98 163.17
574 35.57 65.34 87.29 24.12 140.71
575 35.63 59.50 100.26 25.06 164.95
576 35.73 45.04 129.51 23.41 189.84
577 35.76 48.73 127.52 25.77 193.45
578 35.82 12.00 86.88 11.48 111.27
579 35.92 54.91 107.60 24.81 164.82
580 35.82 15.46 85.25 12.19 115.95
581 35.89 42.68 128.37 22.34 182.80
582 35.87 84.52 108.87 25.47 48.12
583 36.03 75.38 83.62 25.93 93.83
584 36.04 21.82 102.07 15.10 138.68
585 35.90 31.56 148.64 17.90 173.67
586 35.99 78.46 92.68 26.25 80.24
587 36.09 80.99 92.70 25.05 67.52
588 36.22 72.74 86.25 26.22 95.82
589 36.25 5.47 30.20 8.74 30.58
590 36.03 86.88 109.02 23.40 38.35
591 36.18 9.15 68.71 11.32 90.25
592 36.23 35.67 138.53 20.69 176.07
593 36.30 67.70 92.11 25.83 112.62
594 36.49 89.99 110.96 28.13 27.11
595 36.35 47.00 118.14 25.46 182.94
596 36.19 88.08 109.09 24.57 36.78
597 36.54 24.35 111.87 15.59 146.11
598 36.49 27.17 116.94 16.73 151.98
599 36.46 52.50 104.73 23.96 167.05
600 36.56 38.35 116.90 22.88 169.76
601 36.76 33.66 125.13 18.62 160.80
602 36.59 62.49 86.60 27.02 135.12
603 36.88 29.70 109.30 17.70 156.66
604 36.76 59.83 96.86 25.54 143.32
605 36.85 40.82 109.85 23.49 164.70
606 36.83 57.13 91.61 25.06 153.20
607 36.97 50.29 99.24 26.46 161.88
608 36.92 65.21 89.88 28.97 111.28
609 36.95 69.98 98.27 28.60 100.78
610 36.99 82.90 116.94 34.23 48.26
611 36.89 14.33 68.88 12.26 105.43
612 36.96 18.55 76.14 14.11 109.30
613 37.24 10.92 57.51 11.61 83.15
614 37.19 43.38 96.01 23.85 154.71
615 37.20 45.59 99.55 24.77 160.89
616 37.17 77.33 104.47 31.30 70.25
617 37.33 7.57 47.20 11.44 61.24
618 37.36 85.43 121.41 34.74 34.58
619 37.23 54.55 94.18 26.03 154.27
620 37.42 21.94 79.39 15.07 120.39
621 37.45 74.49 100.58 31.71 66.27
622 37.49 31.83 99.85 19.29 148.30
623 37.52 36.21 102.44 22.25 159.90
624 37.50 48.17 97.24 25.94 156.84
625 37.53 80.15 115.46 32.92 51.36
626 37.70 88.50 131.27 36.96 27.04
627 37.67 25.90 94.32 17.98 138.96
