#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
sl11 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
377 21.58 30.21 13.47 9.30 56.57
378 21.44 41.75 15.23 9.77 56.85
379 21.44 51.10 14.11 10.72 56.00
380 21.79 35.42 13.89 9.47 53.92
381 21.63 78.86 9.10 17.94 41.19
382 22.10 21.77 11.16 9.31 49.10
383 21.80 27.19 12.96 9.62 52.77
384 21.95 46.88 13.63 8.84 54.10
385 21.80 55.31 13.85 12.62 52.65
386 21.95 23.65 12.31 8.57 47.95
387 21.86 37.17 13.46 9.63 54.31
388 21.85 38.88 13.76 10.32 57.29
389 22.14 63.09 13.02 14.68 54.03
390 21.95 68.00 12.70 18.30 48.49
391 22.07 51.10 14.28 10.07 55.91
392 22.25 73.91 11.27 25.44 46.73
393 22.25 48.89 14.72 9.56 57.12
394 22.20 80.16 8.63 41.78 35.67
395 22.13 56.54 13.87 11.19 55.16
396 22.39 18.78 10.41 8.84 43.37
397 22.36 53.84 13.84 10.23 52.71
398 22.28 25.09 12.29 10.00 47.71
399 22.48 45.47 14.85 11.55 55.64
400 22.43 28.43 12.46 8.37 52.73
401 22.48 34.50 13.62 9.64 54.80
402 22.73 39.55 14.24 9.79 56.28
403 22.42 43.99 14.45 11.33 55.64
404 22.44 37.32 14.16 10.11 53.42
405 22.63 68.26 12.74 14.94 53.56
406 22.66 77.36 10.72 50.37 39.17
407 22.59 71.55 13.18 27.20 50.33
408 22.62 17.35 10.26 7.06 42.23
409 22.77 55.29 13.74 11.61 53.37
410 22.61 60.19 13.19 11.56 55.12
411 23.16 20.69 11.00 9.89 44.39
412 22.86 31.23 13.53 9.24 55.82
413 22.87 70.10 12.15 22.22 48.95
414 23.01 36.74 14.46 9.94 59.56
415 22.98 26.41 12.58 10.27 52.89
416 22.66 47.59 15.12 12.75 50.38
417 23.03 49.26 14.60 12.57 55.23
418 22.74 61.58 12.94 12.88 51.82
419 22.84 40.81 15.00 10.62 59.58
420 22.97 46.67 14.35 11.33 55.33
421 22.88 52.24 13.74 9.94 55.86
422 23.04 64.85 13.19 16.87 51.88
423 23.02 32.95 14.25 9.14 57.00
424 23.13 62.73 12.74 13.50 53.82
425 23.25 22.80 12.66 9.55 49.84
426 23.11 29.66 14.32 12.59 53.00
427 23.38 44.62 14.32 10.95 58.14
428 23.43 80.25 9.76 69.31 34.18
429 23.13 67.15 12.48 15.92 51.16
430 23.20 72.53 11.24 33.11 53.41
431 23.53 16.98 10.29 9.76 39.85
432 23.17 42.24 16.08 10.88 55.52
433 23.17 34.16 16.00 14.43 55.50
434 23.49 75.42 11.74 52.71 42.02
435 23.83 50.17 14.11 12.41 55.59
436 23.46 56.85 14.30 13.18 54.12
437 23.54 35.35 14.26 10.88 54.90
438 23.32 54.85 15.00 10.67 58.00
439 23.67 47.81 14.61 11.96 56.31
440 23.44 52.17 14.28 13.72 54.90
441 23.59 53.85 13.78 13.16 51.29
442 23.50 68.68 13.83 31.49 49.03
443 23.81 29.81 13.02 10.32 52.64
444 23.65 32.98 13.64 10.29 54.57
445 23.60 39.56 15.46 16.15 53.15
446 24.00 42.49 15.38 11.40 58.00
447 23.72 41.50 16.14 13.79 55.14
448 23.95 71.76 13.02 58.41 42.56
449 24.09 77.89 11.50 86.43 39.27
450 24.10 59.98 14.71 15.71 54.02
451 24.11 36.32 14.25 14.65 56.22
452 24.26 27.78 12.99 10.36 52.99
453 24.13 33.91 13.94 13.63 52.06
454 23.86 40.07 14.75 11.25 58.00
455 24.12 46.46 15.17 15.77 59.54
456 24.15 37.99 13.22 11.71 54.51
457 24.25 18.53 10.64 11.08 43.28
458 24.04 32.36 12.43 11.14 51.57
459 24.15 69.19 13.25 30.25 59.39
460 24.44 39.63 13.97 11.69 54.62
461 24.39 20.53 12.46 11.08 49.84
462 24.36 22.96 12.51 11.54 48.11
463 24.69 53.31 14.25 15.50 55.94
