#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
iz10 14A 4 even-skipped Kruppel bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - bcd>
184 19.30 53.13 37.56 16.16 88.57
185 19.24 63.53 36.66 16.91 76.30
186 19.46 27.41 32.72 12.40 96.80
187 19.35 55.84 38.04 15.99 81.57
188 19.47 73.16 32.55 11.78 55.72
189 19.51 40.12 30.67 13.98 86.65
190 19.69 66.34 39.81 16.19 71.48
191 19.64 58.79 35.61 15.92 77.01
192 19.83 36.62 32.10 13.64 87.89
193 19.50 68.96 36.92 14.60 63.52
194 19.79 49.75 37.53 15.91 83.88
195 19.96 18.26 19.83 8.58 73.15
196 19.86 33.86 34.93 14.40 94.50
197 19.96 70.79 36.86 13.33 58.63
198 19.99 61.53 37.82 16.40 71.58
199 20.04 44.24 36.02 15.58 86.95
200 20.01 75.81 30.84 10.65 49.02
201 20.29 29.65 32.52 13.08 89.72
202 20.19 20.96 26.09 10.54 82.67
203 20.45 47.09 37.22 15.40 86.35
204 20.37 23.47 28.92 11.74 92.94
205 20.52 54.65 36.45 16.63 78.96
206 20.55 68.48 42.37 16.55 65.35
207 20.70 38.79 30.92 13.72 83.87
208 20.81 41.72 33.71 15.10 83.92
209 20.66 51.96 34.21 16.13 77.28
210 20.63 64.26 40.27 16.24 72.80
211 20.76 57.22 39.62 16.62 76.22
212 20.94 25.55 32.93 12.59 87.50
213 21.00 27.71 31.17 12.62 89.31
214 20.98 59.79 38.98 17.77 72.51
215 21.08 32.30 33.50 13.99 85.73
216 21.02 72.76 38.54 12.87 59.23
217 20.99 75.21 37.99 11.19 54.88
218 21.09 35.17 34.16 14.34 84.32
219 21.25 49.41 36.60 14.27 79.98
220 20.99 66.49 40.63 15.60 68.33
221 21.38 19.38 24.55 9.27 78.47
222 21.35 16.79 21.33 7.34 57.51
223 21.41 62.37 43.58 16.36 70.16
224 21.32 44.22 34.44 15.06 81.97
225 21.54 70.73 43.98 14.12 58.96
226 21.51 22.61 30.46 10.81 79.90
227 21.78 29.99 32.83 13.84 87.87
228 21.91 53.34 39.61 15.48 72.08
229 21.91 37.25 40.34 16.65 101.34
230 21.90 40.17 33.06 13.68 81.27
231 21.91 46.71 36.51 15.80 80.02
232 21.95 55.79 42.41 17.00 75.11
233 21.63 66.45 46.50 16.42 63.83
234 22.04 68.69 46.38 16.10 65.29
235 22.15 58.08 40.53 17.17 71.25
236 22.23 64.74 44.54 16.24 65.17
237 22.34 27.50 32.84 12.45 86.17
238 22.17 51.05 33.50 14.00 68.52
239 22.39 60.62 42.99 17.23 68.10
240 22.44 25.14 33.88 12.83 84.35
241 22.38 34.24 33.45 13.10 81.86
242 22.53 20.83 29.49 10.28 76.00
243 22.62 73.05 54.71 13.62 52.36
244 22.64 48.79 36.13 16.20 72.22
245 22.62 75.87 49.39 13.38 48.20
246 22.70 15.74 19.28 7.59 59.26
247 22.60 44.35 34.63 15.88 78.44
248 22.68 78.28 45.96 11.18 47.15
249 22.87 41.87 35.87 14.43 78.11
250 22.83 18.21 26.77 8.74 71.40
251 22.82 31.91 32.46 13.23 80.66
252 22.99 66.95 51.85 17.56 59.73
253 23.07 23.03 32.75 11.00 78.03
254 23.06 62.89 46.76 15.04 63.14
255 22.92 51.25 37.77 14.94 70.87
256 23.12 38.65 37.34 14.49 78.07
257 23.28 29.30 33.27 12.20 82.44
258 23.26 70.10 59.88 14.74 55.03
259 23.28 55.46 39.52 15.94 67.29
260 23.47 36.03 39.83 14.20 76.76
261 23.59 46.17 41.36 15.27 76.46
262 23.58 53.00 40.05 17.54 70.49
263 23.51 58.12 43.90 16.87 63.98
264 23.76 64.66 55.62 17.93 60.56
265 23.71 60.67 48.60 17.68 66.07
266 23.83 74.87 70.43 14.22 53.28
267 23.87 27.01 28.72 12.93 77.23
268 23.87 79.85 56.02 10.26 42.38
269 23.85 20.79 32.76 10.64 73.16
270 24.02 24.90 34.34 12.86 73.59
271 24.05 33.88 34.00 13.24 75.58
272 24.01 48.49 39.98 15.73 72.99
273 24.18 43.67 37.26 14.10 68.52
274 24.10 15.36 19.96 6.70 51.19
275 24.15 40.87 39.50 14.69 74.14
276 24.20 50.85 40.51 16.51 69.36
277 24.13 72.45 74.50 16.10 51.77
278 24.22 31.32 33.65 13.56 80.55
279 24.28 77.33 72.65 14.08 47.42
280 24.31 18.00 28.82 9.52 67.99
281 24.22 67.55 72.41 15.35 56.25
282 24.50 38.00 37.91 15.03 73.14
283 24.36 55.02 43.95 15.60 66.35
284 24.76 62.44 59.06 17.16 59.48
285 24.78 57.09 47.35 17.88 64.28
286 24.78 28.99 38.54 13.51 74.80
287 24.82 70.26 90.94 15.46 54.39
288 24.92 59.74 58.57 17.02 64.12
289 25.11 35.56 39.52 13.77 71.69
290 24.99 46.54 41.84 15.54 66.34
291 24.88 54.26 48.64 15.64 59.88
292 24.99 23.20 35.54 13.23 73.97
293 25.06 64.97 76.37 17.80 56.25
294 25.21 79.71 89.12 12.31 45.00
295 25.19 20.46 32.40 10.73 70.67
296 25.38 52.48 47.51 16.18 64.72
297 25.08 75.37 85.68 14.38 47.17
298 25.35 26.90 37.77 13.69 72.33
299 25.37 39.96 37.71 14.43 69.68
300 25.44 49.61 48.55 15.57 65.96
301 25.52 82.16 84.18 10.14 33.58
302 25.46 15.81 26.59 8.44 58.89
303 25.38 32.38 38.68 13.14 71.58
304 25.52 42.76 41.04 13.49 66.95
305 25.49 67.93 99.20 17.20 53.97
306 25.52 72.99 102.90 17.08 52.34
307 25.86 24.66 37.52 12.53 73.13
308 25.84 18.28 32.85 10.21 67.01
309 25.93 77.71 108.85 14.05 42.46
310 26.10 37.76 38.44 14.55 67.13
311 25.93 55.32 54.28 16.54 59.86
312 25.70 75.82 105.04 14.26 45.43
313 26.10 44.98 44.29 15.15 66.19
314 26.11 58.09 64.61 15.91 60.90
315 26.18 60.83 79.13 16.83 57.84
316 26.16 29.36 35.66 13.30 67.24
317 26.24 22.29 37.41 11.75 70.96
318 26.26 63.42 99.21 18.49 56.97
319 26.32 47.57 45.75 15.19 65.83
320 26.25 65.71 115.63 16.89 56.10
321 26.33 70.22 140.68 14.98 52.60
322 26.41 34.57 39.62 13.06 67.93
323 26.57 51.04 53.70 16.12 59.34
324 26.68 20.07 39.95 10.94 65.80
325 26.60 31.79 39.56 12.76 68.03
326 26.52 40.11 39.91 15.75 65.97
327 26.66 80.37 140.39 15.67 45.64
328 26.82 75.69 154.57 16.00 46.62
329 26.69 41.33 41.32 13.59 64.70
330 26.75 26.42 38.29 12.92 69.48
331 26.80 72.80 159.48 16.81 49.18
332 26.79 14.32 30.01 7.92 53.15
333 26.98 53.53 63.21 16.66 57.25
334 26.94 16.71 37.44 9.06 63.42
335 26.92 67.51 162.39 18.64 54.29
336 26.89 83.37 98.05 10.52 31.72
337 27.26 43.55 48.48 15.27 63.04
338 27.11 36.67 43.06 15.06 67.93
339 27.48 48.95 59.24 16.11 61.63
340 27.38 24.07 40.86 12.81 64.08
341 27.36 58.62 97.89 16.13 54.59
342 27.37 56.31 84.51 17.73 58.47
343 27.39 61.81 125.60 18.50 52.59
344 27.46 78.27 149.99 14.48 42.32
345 27.64 28.30 46.53 13.07 65.01
346 27.56 38.85 45.73 14.94 62.08
347 27.59 46.18 56.13 16.72 63.51
348 27.65 21.73 41.32 12.08 65.95
349 27.77 18.81 44.74 11.18 61.37
350 27.75 32.99 47.18 13.74 65.42
351 27.71 65.02 171.70 16.86 50.73
352 27.48 59.84 108.25 16.84 53.72
353 27.72 69.15 201.45 17.90 52.03
354 27.93 85.87 79.62 9.81 23.24
355 27.94 30.58 49.08 13.82 65.60
356 27.90 71.59 186.86 18.17 49.26
357 27.96 41.33 51.45 16.01 64.61
358 28.01 51.35 73.83 17.80 59.66
359 27.99 35.51 48.41 14.92 64.44
360 28.10 80.68 143.42 14.39 38.28
361 28.00 74.31 169.99 18.32 47.55
362 28.07 14.39 39.94 8.61 52.63
363 28.16 26.08 46.58 13.42 58.23
364 28.25 83.59 123.76 12.41 32.68
365 28.32 54.01 91.99 17.77 58.32
366 28.43 16.69 51.27 9.21 57.31
367 28.48 62.80 186.34 18.94 51.44
368 28.56 77.06 156.92 17.50 41.45
369 28.55 57.03 116.63 17.65 54.81
370 28.81 67.19 208.55 18.00 47.90
371 28.71 23.23 54.23 11.63 63.15
372 28.77 59.70 158.54 17.67 49.90
373 28.94 37.59 57.68 14.62 58.88
374 28.88 43.28 61.85 15.92 56.66
375 28.86 20.48 65.15 11.74 62.86
376 28.62 39.64 53.89 14.89 55.33
377 28.82 45.79 71.58 17.63 63.31
378 28.80 48.58 76.08 16.11 57.45
379 28.95 34.09 56.45 15.06 62.18
380 29.02 69.86 210.67 17.61 48.55
381 29.16 29.14 62.53 13.42 59.40
382 29.14 72.53 196.78 18.50 44.60
383 29.39 31.84 68.35 14.13 54.61
384 29.38 79.53 147.54 16.66 38.16
385 29.17 40.66 63.10 16.51 57.16
386 29.24 74.99 191.23 18.46 45.46
387 29.50 18.48 80.41 10.65 54.54
388 29.24 51.72 110.95 16.94 55.53
389 29.40 14.64 74.92 8.28 52.41
390 29.39 26.49 69.32 12.93 66.17
391 29.44 64.70 213.12 18.19 48.04
392 29.50 82.43 125.85 14.72 35.32
393 29.55 54.58 147.05 18.56 54.06
394 29.54 85.32 100.74 11.90 30.55
395 29.81 24.44 80.86 11.90 56.14
396 29.74 61.86 222.01 19.61 51.40
397 29.73 12.03 72.32 7.68 43.77
398 29.86 57.24 185.07 19.13 52.03
399 30.07 49.57 124.12 18.22 52.21
400 29.97 35.32 81.93 14.50 59.34
401 29.90 47.02 103.86 16.56 58.14
402 30.06 21.61 104.73 12.68 57.50
403 30.12 44.47 98.06 16.09 57.80
404 30.26 16.45 100.93 10.16 52.24
405 30.11 39.84 86.22 15.81 60.70
406 30.00 77.61 154.50 18.16 43.84
407 30.34 68.50 196.68 20.02 45.02
408 30.23 70.99 205.66 19.88 47.31
409 30.29 59.76 191.78 19.78 48.92
410 30.28 27.83 98.45 12.88 58.16
411 30.53 37.51 100.64 15.40 56.93
412 30.60 42.24 111.07 15.02 57.84
413 30.46 30.67 96.72 13.32 56.32
414 30.49 52.77 180.22 19.10 57.45
415 30.52 75.48 187.84 19.63 44.72
416 30.66 66.16 203.34 18.89 48.23
417 30.69 73.10 182.62 20.01 42.88
418 30.78 13.61 130.32 9.63 45.71
419 30.75 63.46 210.27 20.27 46.94
420 30.76 84.44 109.46 16.23 34.88
421 30.98 55.55 196.63 18.10 49.84
422 30.89 82.01 132.55 17.45 38.35
423 30.91 18.64 137.97 11.68 51.04
424 30.91 33.62 117.20 14.94 55.61
425 31.00 79.55 140.89 18.28 40.36
426 31.16 86.67 91.61 13.79 26.81
427 30.93 23.76 140.44 12.34 56.82
428 30.78 77.54 146.62 17.19 36.34
429 31.06 46.53 163.51 17.89 55.69
430 31.40 26.05 156.17 11.91 51.43
431 31.31 39.66 133.08 16.58 55.53
432 31.34 50.78 202.71 18.70 54.33
433 31.36 58.54 199.97 18.30 48.14
434 31.32 28.72 159.09 14.33 58.41
435 31.47 21.19 164.81 11.82 54.35
436 31.68 48.47 202.85 19.19 50.93
437 31.61 11.05 128.97 6.93 37.00
438 31.61 15.77 159.35 10.56 49.27
439 31.59 44.22 176.93 17.70 53.24
440 31.59 61.28 210.12 19.75 47.40
441 31.42 35.97 158.46 14.96 53.44
442 31.46 70.08 162.90 18.55 44.60
443 31.68 31.82 159.10 14.32 55.82
444 31.96 53.17 209.01 20.72 53.07
445 31.88 76.08 150.38 19.83 41.09
446 31.96 67.09 164.86 20.70 44.53
447 32.07 41.79 173.33 17.19 54.60
448 31.84 37.13 167.56 15.89 46.06
449 31.94 64.35 182.83 20.04 45.51
450 31.99 73.51 150.93 19.53 41.36
451 32.22 78.40 138.34 20.49 38.55
452 32.17 13.35 174.99 9.64 44.10
453 32.18 56.66 193.86 18.69 46.97
454 32.08 84.04 99.64 17.56 32.43
455 32.28 19.35 197.53 12.64 49.76
456 32.15 23.44 183.23 12.33 51.36
457 32.39 34.30 185.13 14.73 48.67
458 32.31 81.04 124.14 20.30 35.42
459 32.47 46.07 224.55 22.46 60.58
460 32.60 17.35 203.26 11.77 50.40
461 32.40 30.08 205.74 14.36 55.37
462 32.51 38.99 199.36 15.08 50.04
463 32.54 71.50 150.43 22.11 40.76
464 32.68 27.30 218.34 13.54 50.46
465 32.72 50.40 224.71 20.11 50.54
466 32.79 59.23 193.34 19.40 46.20
467 32.77 69.14 152.43 20.71 42.55
468 32.83 86.77 102.92 17.81 27.03
469 32.80 54.56 206.62 19.62 47.41
470 32.90 62.06 180.70 19.58 42.06
471 32.88 10.10 157.97 6.97 34.01
472 33.04 25.10 212.91 13.45 50.80
473 32.95 21.20 195.29 12.30 50.89
474 33.15 36.81 211.34 15.48 52.20
475 33.21 43.79 214.09 18.06 50.24
476 33.24 15.06 184.15 10.54 43.31
477 33.27 41.43 209.45 17.84 53.16
478 33.37 32.24 217.00 13.81 46.99
479 33.27 64.75 167.78 22.07 45.75
480 33.30 75.87 128.84 21.65 38.16
481 33.24 83.04 121.73 24.41 35.09
482 33.39 47.87 215.84 20.05 51.44
483 33.63 12.25 180.11 8.28 37.26
484 33.44 73.33 133.32 23.60 39.51
485 33.60 67.25 150.94 22.00 43.61
486 33.67 56.59 182.74 20.56 46.62
487 33.52 78.27 141.43 24.65 38.68
488 33.53 29.40 223.75 14.54 49.84
489 33.71 51.80 211.26 18.49 50.42
490 33.79 23.02 205.63 12.24 47.92
491 33.82 18.70 205.84 12.32 48.00
492 33.76 80.74 134.66 23.83 37.36
493 34.01 39.26 219.41 17.06 51.78
494 33.99 34.87 212.76 16.04 47.02
495 33.89 85.24 128.16 23.43 30.61
496 34.02 45.80 215.83 19.43 50.19
497 33.97 53.98 209.41 20.51 48.55
498 33.97 70.50 124.80 22.79 39.52
499 34.03 59.29 172.72 21.06 45.43
500 34.28 88.88 116.13 23.14 23.82
501 34.33 9.49 122.25 6.97 29.96
502 34.29 49.63 197.23 21.89 49.89
503 34.34 27.59 217.18 13.68 47.61
504 34.20 62.47 154.30 21.42 42.18
505 34.61 16.56 192.67 11.84 44.24
506 34.38 20.89 192.73 12.49 47.12
507 34.54 25.22 198.11 13.34 46.30
508 34.44 41.66 207.83 16.28 48.16
509 34.55 14.28 169.13 10.99 40.69
510 34.55 30.65 205.18 16.29 47.79
511 34.79 37.60 215.04 16.99 46.59
512 34.63 65.36 128.65 23.53 40.60
513 34.75 82.85 141.03 27.04 33.56
514 34.72 76.29 136.60 26.44 37.37
515 34.83 68.18 121.53 25.22 41.80
516 34.55 78.85 139.89 26.75 37.66
517 34.88 7.19 76.29 5.37 19.07
518 34.95 32.95 204.04 15.47 46.29
519 34.86 43.98 199.37 19.07 47.02
520 34.74 73.46 121.83 24.60 37.88
521 34.94 87.14 141.53 29.88 29.83
522 35.04 47.71 181.87 19.25 47.57
523 35.04 11.79 140.92 9.04 37.14
524 35.02 57.27 166.23 20.63 42.49
525 35.15 51.27 176.50 20.94 48.32
526 35.17 60.49 137.23 22.04 41.82
527 35.14 54.02 169.05 19.62 44.77
528 35.17 70.72 123.08 25.19 38.29
529 35.31 23.26 180.09 14.39 45.20
530 35.34 18.71 169.01 12.49 44.17
531 35.51 84.96 161.56 32.43 32.08
532 35.13 78.88 151.30 29.50 35.60
533 35.53 35.15 189.89 16.59 46.13
534 35.53 63.21 118.22 22.88 41.17
535 35.36 80.60 162.64 29.80 35.30
536 35.49 27.13 181.83 15.07 43.82
537 35.57 41.33 190.94 18.58 44.62
538 35.74 20.93 161.12 13.21 46.03
539 35.71 30.17 163.29 14.53 41.87
540 35.77 46.03 167.93 20.87 47.22
541 35.85 15.07 152.45 11.09 38.63
542 36.09 89.93 127.78 36.91 22.66
543 35.81 74.52 142.23 31.53 38.48
544 36.04 9.21 99.81 7.58 30.38
545 35.92 66.11 115.98 25.00 39.76
546 35.99 37.57 180.86 16.15 46.75
547 36.08 55.50 150.15 21.40 41.22
548 36.03 77.87 167.55 32.97 35.55
549 36.24 58.36 124.05 23.65 40.08
550 36.20 12.56 125.39 10.47 37.07
551 36.24 69.16 133.74 28.45 38.13
552 36.21 72.03 145.46 30.74 39.09
553 36.29 25.27 148.00 14.07 38.90
554 36.38 44.17 153.34 18.66 46.25
555 36.35 48.35 152.02 22.21 47.26
556 36.03 80.81 172.71 33.71 32.25
557 36.33 50.62 143.61 20.89 47.06
558 36.31 87.02 172.77 42.10 30.57
559 36.49 17.20 132.10 12.70 39.57
560 36.46 53.02 140.55 22.10 45.01
561 36.42 82.71 177.60 38.05 33.41
562 36.33 32.85 172.72 15.85 45.08
563 36.54 39.55 174.26 17.79 46.96
564 36.51 28.18 158.48 14.57 45.18
565 36.64 60.87 117.08 24.65 41.25
566 36.76 22.36 133.52 14.55 43.37
567 36.79 63.82 110.46 25.36 39.43
568 36.82 19.67 127.61 13.60 42.86
569 36.84 41.94 157.34 19.37 47.48
570 36.90 35.56 146.00 16.38 42.33
571 36.97 75.82 178.98 39.21 35.71
572 37.08 80.25 193.26 46.43 33.44
573 37.12 73.53 167.19 35.96 37.52
574 37.20 30.41 134.07 14.96 42.31
575 37.15 11.14 91.56 9.61 34.44
576 37.32 46.22 125.68 21.57 44.43
577 37.13 66.98 129.04 28.91 39.64
578 37.17 6.79 57.53 6.69 23.51
579 37.24 14.12 126.77 11.82 42.22
580 37.19 56.39 119.94 23.84 43.28
581 37.42 88.17 159.26 53.19 27.16
582 37.43 24.38 122.84 14.66 42.30
583 37.57 78.04 206.28 46.50 36.19
584 37.63 38.04 135.32 18.19 41.09
585 37.47 70.43 149.72 32.10 34.81
586 37.55 27.09 124.76 15.39 41.85
587 37.48 51.08 131.86 26.13 47.54
588 37.64 53.93 111.56 24.01 41.70
589 37.78 9.03 78.95 8.85 29.45
590 37.64 33.29 135.52 16.20 44.04
591 37.66 48.46 125.66 23.19 50.48
592 37.75 90.96 114.90 51.69 20.23
593 37.87 59.05 115.78 25.61 41.24
594 37.51 85.03 181.33 48.97 29.44
595 37.91 15.88 115.35 13.21 38.51
596 37.78 43.75 134.67 21.13 44.96
597 37.88 82.20 198.33 55.41 32.25
598 37.85 18.32 110.94 13.14 42.05
599 37.86 61.85 117.22 27.10 37.12
600 37.99 40.73 133.62 19.97 43.27
601 37.92 64.80 125.47 27.69 39.82
602 38.00 20.80 105.92 14.32 40.07
603 38.40 12.07 95.48 10.77 34.81
604 38.37 35.69 120.05 17.24 38.64
605 38.30 68.01 167.21 36.42 35.93
606 38.33 56.39 116.39 25.63 43.05
607 38.37 73.34 188.11 44.29 35.39
608 38.53 22.78 106.65 15.68 39.80
609 38.52 28.82 103.41 16.16 39.33
610 38.52 31.41 110.93 16.25 40.43
611 38.57 6.79 57.75 8.54 25.90
612 38.50 76.04 201.64 55.69 34.48
613 38.55 86.37 165.15 68.01 29.90
614 38.58 25.30 110.44 15.32 40.00
615 38.57 52.19 117.95 27.66 43.70
616 38.59 49.74 116.47 26.19 45.25
617 38.70 79.42 194.39 57.67 32.10
