#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
pe3 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
222 18.73 41.33 18.50 20.38 116.73
223 18.81 32.83 17.52 18.79 96.08
224 18.83 45.65 19.30 21.28 131.31
225 18.97 52.42 21.87 20.66 136.21
226 19.00 27.26 16.05 16.29 82.99
227 18.75 67.15 23.05 16.64 82.33
228 19.07 35.56 17.89 18.94 101.06
229 19.12 64.99 23.10 19.70 95.38
230 18.97 71.84 22.59 17.29 67.85
231 19.20 59.01 23.20 20.89 129.60
232 19.25 38.39 17.85 20.40 112.17
233 19.34 19.67 14.93 12.79 84.39
234 19.40 47.88 21.66 20.97 128.36
235 19.23 61.69 23.12 19.80 112.34
236 19.45 24.74 16.22 15.49 96.73
237 19.42 69.16 23.58 17.09 86.30
238 19.40 43.24 20.03 21.75 132.72
239 19.64 30.14 17.46 17.67 101.16
240 19.71 50.55 22.16 22.81 138.91
241 19.75 56.30 24.09 21.78 142.68
242 19.84 22.28 15.55 14.34 91.92
243 19.79 77.04 21.07 14.84 62.22
244 19.85 73.55 25.62 16.62 73.13
245 20.08 40.52 20.67 21.23 129.07
246 20.15 66.61 26.43 19.53 101.91
247 20.08 33.09 18.13 19.46 112.24
248 20.11 45.26 22.17 21.26 134.68
249 20.23 53.68 22.92 21.59 136.59
250 20.23 36.78 20.48 20.03 127.62
251 20.20 63.17 24.30 19.44 118.02
252 20.33 26.78 17.34 15.98 110.26
253 20.38 60.04 25.53 21.52 127.79
254 20.41 71.35 27.93 18.38 83.65
255 20.81 17.32 13.60 12.48 83.49
256 20.63 49.02 23.38 23.78 145.32
257 20.69 57.52 25.86 21.86 146.64
258 20.75 42.68 21.38 20.55 137.09
259 20.77 74.84 30.09 16.83 77.26
260 20.86 28.80 17.93 17.68 114.48
261 20.88 20.21 16.59 13.73 93.61
262 20.95 34.90 20.93 19.91 123.02
263 20.99 38.70 22.12 21.28 141.62
264 21.06 46.98 21.95 22.78 152.29
265 20.96 68.83 32.28 18.25 100.61
266 20.73 25.68 16.95 14.95 101.23
267 21.09 23.70 17.11 15.45 104.28
268 21.14 31.16 18.13 18.88 119.99
