#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
cq3 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
179 16.79 27.67 23.50 9.66 49.20
180 16.91 36.34 27.92 12.77 66.39
181 16.92 52.24 29.51 15.37 111.24
182 17.24 56.35 29.03 15.70 100.44
183 17.27 30.77 26.13 10.95 61.05
184 17.49 25.15 22.82 9.33 57.40
185 17.35 49.93 29.95 15.30 124.76
186 17.47 60.81 29.24 15.50 76.39
187 17.60 33.65 26.19 12.38 76.91
188 17.63 40.84 28.12 13.93 111.86
189 17.85 22.55 21.50 7.17 58.95
190 17.59 66.68 28.01 13.36 65.26
191 17.67 70.17 26.50 11.77 59.50
192 17.75 47.58 31.26 15.45 127.74
193 17.83 75.45 24.82 10.45 52.26
194 17.79 38.21 28.93 13.75 97.81
195 17.98 45.49 32.05 15.16 121.71
196 17.87 54.25 31.48 15.83 119.02
197 17.67 43.43 30.69 15.68 116.63
198 18.09 63.37 28.53 14.29 76.61
199 18.28 57.58 29.69 16.08 98.58
200 18.34 72.51 28.66 11.24 61.67
201 18.31 29.03 24.35 10.23 85.40
202 18.12 35.86 27.23 13.31 101.15
203 18.68 20.37 21.85 7.12 62.48
204 18.59 52.23 31.35 16.81 151.24
205 18.76 32.08 27.66 12.02 97.49
206 18.61 49.68 32.69 15.68 154.04
207 18.72 59.99 32.31 15.38 89.92
208 18.85 42.33 29.35 15.25 132.40
209 18.94 68.49 30.13 13.36 71.81
210 18.71 35.07 28.69 14.27 110.31
211 19.07 39.88 30.74 13.64 134.60
212 18.74 24.97 21.44 8.95 86.33
213 18.87 65.73 28.45 14.96 78.05
214 19.19 77.15 29.01 9.83 60.40
215 19.22 37.48 29.33 14.70 131.31
216 19.24 47.35 32.20 16.18 151.08
217 19.13 54.95 32.57 16.13 123.46
218 19.38 44.41 31.86 15.92 152.83
219 19.56 17.56 18.52 5.73 69.29
220 19.53 27.28 24.74 10.26 105.09
221 19.40 74.18 29.79 12.68 65.30
222 19.37 24.27 25.68 9.05 82.64
223 19.46 61.85 33.24 16.59 93.69
224 19.64 57.35 31.27 16.03 117.59
225 19.63 70.86 32.09 12.81 71.66
226 19.88 63.97 32.71 15.09 94.68
227 19.90 29.82 26.82 11.73 126.08
228 19.84 34.71 31.05 13.40 138.54
229 19.82 50.18 33.77 17.45 166.78
230 20.00 52.74 33.75 17.03 157.51
231 20.13 59.56 34.77 16.74 117.48
232 20.21 20.51 22.11 7.41 87.93
233 20.24 32.06 26.82 12.96 129.50
234 20.42 23.32 23.75 8.41 97.29
235 20.18 66.71 32.44 14.77 87.72
236 20.36 42.51 31.56 15.87 153.00
237 20.34 45.74 33.23 16.41 162.76
238 20.45 55.21 36.30 18.99 148.08
239 20.44 78.36 33.92 10.01 59.97
240 20.49 40.08 30.64 15.15 162.63
241 20.52 37.47 32.28 14.95 153.24
242 20.77 15.54 18.02 5.96 78.16
243 20.80 26.16 27.73 10.11 119.59
244 20.69 48.26 33.79 16.99 168.70
245 20.51 75.55 39.76 11.86 74.69
246 20.74 74.08 37.82 13.14 80.47
247 20.89 69.13 38.38 15.02 83.06
248 20.88 71.80 38.81 14.79 85.63
249 20.88 61.47 36.65 17.06 105.58
250 20.99 57.61 33.95 16.52 125.39
251 21.05 50.99 35.35 17.68 162.00
252 21.32 18.46 21.41 6.77 96.71
253 21.22 33.69 28.66 13.80 149.03
254 21.29 29.20 28.02 11.93 141.94
255 21.20 63.90 37.02 16.72 103.01
256 21.34 53.39 38.29 18.77 163.43
257 21.53 35.91 31.07 14.87 153.21
258 21.39 44.25 34.66 15.77 174.39
259 21.46 66.57 39.41 15.94 99.21
260 21.57 46.63 36.30 18.64 174.02
261 21.72 76.14 50.55 12.94 83.59
262 21.65 41.09 32.93 14.34 163.47
263 21.73 59.44 38.31 16.71 128.84
264 21.78 21.55 24.03 8.14 111.02
265 21.84 79.00 48.76 10.75 80.78
266 21.85 38.48 30.98 15.08 157.84
267 21.79 55.58 39.79 18.39 155.88
268 22.17 31.70 31.96 12.79 149.78
269 22.13 24.46 26.88 9.33 128.67
270 21.96 49.07 37.76 18.07 165.74
271 22.08 72.77 52.86 13.90 93.23
272 22.38 27.00 27.84 11.70 137.21
273 22.18 61.66 41.87 17.73 131.38
274 22.37 81.26 49.44 10.49 75.39
275 22.44 16.58 19.78 6.28 94.15
276 22.28 69.56 51.70 16.11 99.97
277 22.43 42.99 34.99 17.73 176.73
278 22.30 51.44 39.87 18.81 167.39
279 22.45 57.44 39.55 17.80 148.24
280 22.46 64.12 49.82 17.15 123.40
281 22.75 33.85 33.21 14.83 156.09
282 22.62 53.60 43.56 19.09 173.78
283 22.78 45.24 36.53 17.68 177.01
284 22.72 29.51 28.45 12.23 148.14
285 22.85 13.78 18.03 5.61 90.87
286 22.67 66.80 52.16 17.27 107.81
287 22.97 19.79 25.37 7.89 112.41
288 22.95 36.13 32.54 15.05 159.82
289 22.97 47.37 39.28 17.28 168.22
290 23.05 41.00 35.58 16.46 160.26
291 23.05 59.43 48.79 18.71 153.62
292 23.08 74.77 67.93 13.98 110.03
293 23.16 38.76 34.79 15.76 161.72
294 23.22 49.53 41.65 17.03 175.84
295 23.23 55.51 46.63 19.76 184.90
296 23.47 23.17 28.99 9.20 122.79
297 23.33 71.78 79.01 15.72 114.63
298 23.34 77.61 74.65 13.71 111.72
299 23.41 61.79 55.85 17.80 145.62
300 23.58 51.69 43.72 19.22 183.31
301 23.71 68.99 82.10 16.45 125.04
302 23.71 80.87 74.18 11.91 101.47
303 23.67 64.13 76.24 18.05 142.23
304 23.99 26.15 30.13 11.36 138.17
305 23.95 31.09 32.69 13.34 146.01
306 23.82 43.23 38.38 17.66 179.50
307 24.02 28.67 31.50 12.63 149.25
308 23.93 57.62 54.43 19.26 180.84
309 24.03 16.96 24.82 7.09 100.83
310 23.91 66.53 90.96 18.37 133.43
311 24.05 53.55 49.27 19.13 188.56
312 24.15 33.24 33.56 14.30 140.59
313 24.15 36.80 33.54 15.10 154.83
314 24.06 45.60 38.45 18.55 184.85
315 24.29 59.87 70.74 20.46 173.60
316 24.31 48.65 44.95 17.78 179.75
317 24.24 13.53 21.13 5.56 85.40
318 24.35 41.14 38.12 18.29 181.52
319 24.35 83.79 72.76 11.12 84.83
320 24.35 20.36 27.42 9.04 117.75
321 24.41 74.68 104.20 15.74 137.08
322 24.60 39.05 36.67 16.67 172.09
323 24.54 55.62 56.21 19.22 187.28
324 24.53 71.34 117.04 18.23 140.12
325 24.65 78.31 103.33 14.46 129.10
326 24.64 62.01 92.06 19.62 163.66
327 24.96 34.82 36.59 15.72 151.79
328 24.74 51.18 49.38 19.60 194.94
329 25.00 24.20 28.34 10.82 134.33
330 25.20 15.29 24.57 6.37 99.09
331 24.89 64.40 120.41 19.10 169.02
332 25.07 46.94 45.92 19.77 194.12
333 25.03 44.01 38.98 18.66 192.41
334 25.22 69.16 131.93 18.38 151.63
335 25.17 66.87 131.48 20.16 156.36
336 25.26 58.10 95.62 20.16 191.49
337 25.34 28.63 35.33 14.42 160.37
338 25.58 81.33 101.59 13.51 115.98
339 25.32 53.47 56.40 19.52 187.66
340 25.54 21.71 28.75 10.12 120.60
341 25.43 30.96 36.15 14.60 154.54
342 25.36 36.90 39.13 16.26 160.08
343 25.49 41.66 40.92 18.74 183.66
344 25.76 18.58 28.82 8.46 108.60
345 25.56 49.40 55.82 20.40 203.29
346 25.59 60.16 125.77 21.93 180.88
347 25.58 72.72 148.83 17.53 159.74
348 25.88 26.55 32.70 11.83 143.97
349 25.81 33.03 36.01 15.97 154.42
350 25.69 75.62 128.99 16.72 155.70
351 25.72 84.25 82.71 11.79 101.23
352 25.69 55.93 84.53 19.66 198.76
353 25.87 39.30 39.12 16.65 167.68
354 25.84 62.47 142.54 20.37 172.51
355 26.09 45.52 53.45 19.87 197.60
356 26.04 51.65 68.40 20.88 215.14
357 26.10 78.57 126.50 16.03 143.67
358 26.07 65.06 161.50 20.47 184.78
359 26.27 12.48 26.98 6.67 101.15
360 26.30 43.46 47.76 18.13 193.57
361 26.31 47.57 53.07 19.32 205.89
362 26.50 70.50 177.91 19.52 180.91
363 26.50 67.89 183.20 21.15 170.15
364 26.57 23.93 33.71 11.16 131.80
365 26.48 36.60 41.47 16.40 165.90
366 26.57 58.54 145.74 20.96 201.29
367 26.64 53.80 90.37 21.20 206.23
368 26.80 86.39 57.88 10.17 72.42
369 26.69 29.03 37.42 13.19 150.39
370 26.77 34.41 40.16 16.41 158.34
371 26.82 15.74 30.80 7.58 109.38
372 26.63 41.10 45.61 19.05 188.35
373 26.95 31.75 41.72 15.33 159.92
374 26.74 56.19 124.48 22.38 215.41
375 26.99 21.16 34.73 10.19 121.14
376 26.90 60.83 182.01 19.48 194.33
377 26.89 72.99 165.24 18.96 175.54
378 26.85 49.86 79.20 20.05 209.47
379 27.07 38.40 47.53 18.03 187.42
380 26.99 76.14 139.15 17.71 159.50
381 27.02 83.30 81.35 13.38 108.99
382 27.07 63.17 195.76 22.90 194.93
383 27.28 18.55 34.19 9.13 125.44
384 27.29 65.36 206.38 22.31 192.50
385 27.31 26.21 38.65 12.40 144.36
386 27.32 79.86 110.79 16.88 138.32
387 27.31 44.92 61.92 20.79 201.14
388 27.49 52.04 121.31 22.08 216.93
