#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mu12 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
321 21.33 40.79 4.17 6.17 29.83
322 21.57 44.38 5.33 6.13 30.22
323 21.63 56.27 5.10 5.71 29.94
324 21.62 78.31 3.24 6.36 22.47
325 21.57 34.12 4.35 6.00 26.65
326 21.88 69.22 4.26 6.87 26.94
327 21.84 77.14 3.16 7.41 22.66
328 21.75 55.17 5.54 6.62 32.69
329 21.77 31.36 3.92 6.23 28.69
330 22.08 28.69 3.58 5.31 23.58
331 21.95 40.11 4.52 6.74 32.04
332 22.05 32.81 4.18 5.09 26.87
333 22.14 26.58 3.72 4.63 22.67
334 22.02 59.23 4.49 6.71 29.41
335 22.11 62.18 4.47 7.84 30.24
336 22.15 48.91 4.15 7.18 30.55
337 22.19 53.89 4.44 7.10 30.17
338 22.25 37.98 4.80 5.96 32.78
339 22.30 44.74 4.97 8.77 31.68
340 22.39 64.35 4.37 6.93 28.51
341 22.32 36.41 4.41 6.94 26.76
342 22.70 41.58 4.11 5.45 29.73
343 22.44 47.48 4.81 7.44 30.69
344 22.46 75.10 3.33 7.63 25.98
345 22.58 78.35 3.08 7.54 24.56
346 22.35 24.40 3.12 4.12 27.12
347 22.50 39.70 4.74 5.74 30.65
348 22.67 25.49 3.60 4.83 21.48
349 22.50 59.26 3.22 8.67 36.44
350 22.73 23.34 3.10 4.22 21.17
351 22.93 35.12 3.74 5.39 28.17
352 22.71 38.88 4.50 8.90 28.70
353 22.72 44.11 4.67 5.67 34.33
354 22.98 70.16 4.30 9.18 31.00
355 23.18 48.36 4.55 7.34 29.27
356 22.93 58.62 4.51 7.56 31.00
357 22.88 72.75 3.79 6.12 25.79
358 23.13 37.05 3.87 6.76 28.89
359 22.88 76.10 4.00 7.83 29.00
360 23.06 18.81 2.88 3.44 14.25
361 23.20 32.87 3.73 6.42 25.84
362 22.88 63.10 4.80 9.00 28.00
363 23.53 55.55 4.69 7.74 32.81
364 23.11 50.58 4.86 5.86 31.50
365 23.32 60.15 4.35 8.00 30.77
366 23.17 39.61 4.65 6.88 29.18
367 23.46 45.46 5.11 6.90 29.19
368 23.33 51.75 5.60 7.50 31.23
369 23.21 79.06 2.75 9.46 24.96
370 23.26 24.26 3.22 5.63 21.41
371 23.34 77.10 3.76 8.72 25.28
372 23.34 22.27 3.86 5.82 24.27
373 23.41 26.22 4.17 5.26 25.09
374 23.59 67.26 4.19 8.96 28.60
375 23.52 63.29 4.98 7.24 30.05
376 23.53 65.38 4.87 7.53 29.29
377 23.50 69.55 4.14 8.23 29.64
378 23.69 20.95 3.09 4.36 19.82
379 23.40 52.82 3.77 6.77 33.15
380 23.86 53.87 4.65 10.11 30.47
381 23.65 80.21 3.20 9.75 21.31
382 23.61 30.72 4.61 7.09 25.00
383 23.38 56.58 3.50 5.75 39.25
384 23.72 38.11 4.20 5.45 27.61
385 23.46 47.71 4.75 5.50 33.00
386 23.64 57.62 4.32 9.46 28.50
387 23.65 72.86 3.53 11.42 26.36
388 23.54 40.15 2.43 4.86 35.57
389 23.68 41.60 4.87 7.17 30.79
390 24.19 35.72 4.19 7.49 28.58
391 23.81 58.62 4.62 8.25 28.81
392 23.97 24.73 3.31 5.27 21.83
393 24.06 50.01 5.26 7.82 31.94
394 24.03 77.08 3.21 19.15 23.58
395 24.09 46.96 4.29 6.29 32.29
396 23.96 29.63 3.10 6.05 26.86
397 24.14 43.42 4.54 7.26 29.89
398 24.30 71.70 4.14 11.67 28.73
399 24.16 78.46 3.11 13.95 25.43
400 24.33 22.59 2.94 4.80 22.37
401 24.01 70.24 4.25 10.75 25.38
402 24.15 60.46 4.56 9.08 30.85
403 24.37 39.99 4.60 8.45 32.65
404 24.19 74.58 4.24 17.76 24.88
405 24.52 56.56 4.10 8.95 30.90
406 24.41 69.59 3.68 13.34 27.02
407 24.62 73.69 4.22 22.25 23.73
408 24.53 20.46 3.28 7.30 20.78
409 24.44 30.68 3.73 6.17 24.46
410 24.32 57.68 5.75 5.62 28.75
411 24.53 38.11 4.44 8.62 30.56
412 24.64 51.86 4.95 8.88 32.58
413 24.57 28.64 3.65 6.85 26.75
414 24.68 32.50 4.09 8.43 28.05
415 24.70 44.92 4.17 8.17 33.13
416 24.76 48.26 4.35 7.83 35.02
417 24.94 65.75 4.76 13.29 30.89
418 25.04 79.22 3.58 32.57 20.49
419 25.19 76.32 3.84 33.21 24.10
420 25.02 59.72 4.66 10.82 32.70
421 25.12 63.25 4.64 12.23 30.52
422 25.13 70.82 4.82 20.88 29.98
423 24.90 22.85 3.00 9.00 27.40
424 25.13 53.28 4.94 8.90 34.48
425 25.19 39.09 4.53 7.37 30.92
426 25.16 57.88 5.00 10.89 30.36
427 25.27 29.05 3.54 6.90 27.23
